region,year,en_sav_ren,shr_acc,eff,shr_floor,f_hours
AFR,2015,0.0,0.06100805478703704,2.7,0.41,0.16666666666666666
AFR,2020,0.0,0.09838132630555556,2.835294118,0.41,0.16666666666666666
AFR,2025,0.0,0.13418842387962962,2.970588235,0.41,0.16666666666666666
AFR,2030,0.0,0.17074733462962963,3.105882353,0.41,0.16666666666666666
AFR,2035,0.0,0.2025818388888889,3.241176471,0.41,0.16666666666666666
AFR,2040,0.0,0.23236374349074074,3.376470588,0.41,0.16666666666666666
AFR,2045,0.0,0.2536145522314815,3.511764706,0.41,0.16666666666666666
AFR,2050,0.0,0.2822154028981481,3.647058824,0.41,0.16666666666666666
AFR,2055,0.0,0.3134371326851852,3.782352941,0.41,0.16666666666666666
AFR,2060,0.0,0.3491681045648148,3.917647059,0.41,0.16666666666666666
AFR,2065,0.0,0.3890278013240741,4.052941176,0.41,0.16666666666666666
AFR,2070,0.0,0.43209736400925924,4.188235294,0.41,0.16666666666666666
AFR,2075,0.0,0.47647073672222223,4.323529412,0.41,0.16666666666666666
AFR,2080,0.0,0.52339452475,4.458823529,0.41,0.16666666666666666
AFR,2085,0.0,0.5671185838518519,4.594117647,0.41,0.16666666666666666
AFR,2090,0.0,0.6138487926666666,4.729411765,0.41,0.16666666666666666
AFR,2095,0.0,0.6543064874166666,4.864705882,0.41,0.16666666666666666
AFR,2100,0.0,0.6927481305648149,5.0,0.41,0.16666666666666666
CPA,2015,0.0,0.28150967916666664,3.2,0.58,0.25
CPA,2020,0.0,0.3123907819912281,3.305882353,0.58,0.25
CPA,2025,0.0,0.3358355988070175,3.411764706,0.58,0.25
CPA,2030,0.0,0.3520276730789474,3.517647059,0.58,0.25
CPA,2035,0.0,0.369907413377193,3.623529412,0.58,0.25
CPA,2040,0.0,0.38954966842105265,3.729411765,0.58,0.25
CPA,2045,0.0,0.42100551106140355,3.835294118,0.58,0.25
CPA,2050,0.0,0.4467156748245614,3.941176471,0.58,0.25
CPA,2055,0.0,0.46970705283333336,4.047058824,0.58,0.25
CPA,2060,0.0,0.4914718713684211,4.152941176,0.58,0.25
CPA,2065,0.0,0.5110807610350877,4.258823529,0.58,0.25
CPA,2070,0.0,0.5303571992017544,4.364705882,0.58,0.25
CPA,2075,0.0,0.5454661505526316,4.470588235,0.58,0.25
CPA,2080,0.0,0.5610459400263158,4.576470588,0.58,0.25
CPA,2085,0.0,0.5728184859561403,4.682352941,0.58,0.25
CPA,2090,0.0,0.5823542036842105,4.788235294,0.58,0.25
CPA,2095,0.0,0.5895106382280701,4.894117647,0.58,0.25
CPA,2100,0.0,0.5942421295701754,5.0,0.58,0.25
EEU,2015,0.0,0.15914961796825397,3.0,0.86,0.3333333333333333
EEU,2020,0.0,0.1743267421111111,3.117647059,0.86,0.3333333333333333
EEU,2025,0.0,0.18808307246031747,3.235294118,0.86,0.3333333333333333
EEU,2030,0.0,0.201044167515873,3.352941176,0.86,0.3333333333333333
EEU,2035,0.0,0.21330214495238095,3.470588235,0.86,0.3333333333333333
EEU,2040,0.0,0.22438643776190476,3.588235294,0.86,0.3333333333333333
EEU,2045,0.0,0.2368326486031746,3.705882353,0.86,0.3333333333333333
EEU,2050,0.0,0.24700071231746032,3.823529412,0.86,0.3333333333333333
EEU,2055,0.0,0.25838027639682537,3.941176471,0.86,0.3333333333333333
EEU,2060,0.0,0.2670624411825397,4.058823529,0.86,0.3333333333333333
EEU,2065,0.0,0.2754720202142857,4.176470588,0.86,0.3333333333333333
EEU,2070,0.0,0.28221792926984124,4.294117647,0.86,0.3333333333333333
EEU,2075,0.0,0.28832078781746034,4.411764706,0.86,0.3333333333333333
EEU,2080,0.0,0.29426214096031744,4.529411765,0.86,0.3333333333333333
EEU,2085,0.0,0.2989169965793651,4.647058824,0.86,0.3333333333333333
EEU,2090,0.0,0.3029994837936508,4.764705882,0.86,0.3333333333333333
EEU,2095,0.0,0.3058991650634921,4.882352941,0.86,0.3333333333333333
EEU,2100,0.0,0.3091844306031746,5.0,0.86,0.3333333333333333
FSU,2015,0.0,0.14189052190196078,3.0,0.8,0.3333333333333333
FSU,2020,0.0,0.17039521119607845,3.117647059,0.8,0.3333333333333333
FSU,2025,0.0,0.20096504107843138,3.235294118,0.8,0.3333333333333333
FSU,2030,0.0,0.23252814999019605,3.352941176,0.8,0.3333333333333333
FSU,2035,0.0,0.2628702941666667,3.470588235,0.8,0.3333333333333333
FSU,2040,0.0,0.2857881892352941,3.588235294,0.8,0.3333333333333333
FSU,2045,0.0,0.3032800131568627,3.705882353,0.8,0.3333333333333333
FSU,2050,0.0,0.3174909191960784,3.823529412,0.8,0.3333333333333333
FSU,2055,0.0,0.331039196127451,3.941176471,0.8,0.3333333333333333
FSU,2060,0.0,0.3454570860294118,4.058823529,0.8,0.3333333333333333
FSU,2065,0.0,0.36059491070588234,4.176470588,0.8,0.3333333333333333
FSU,2070,0.0,0.37482818215686275,4.294117647,0.8,0.3333333333333333
FSU,2075,0.0,0.392776622372549,4.411764706,0.8,0.3333333333333333
FSU,2080,0.0,0.40838327038235295,4.529411765,0.8,0.3333333333333333
FSU,2085,0.0,0.4223211015392157,4.647058824,0.8,0.3333333333333333
FSU,2090,0.0,0.43363452755882353,4.764705882,0.8,0.3333333333333333
FSU,2095,0.0,0.4440794344901961,4.882352941,0.8,0.3333333333333333
FSU,2100,0.0,0.4517042865392157,5.0,0.8,0.3333333333333333
LAM,2015,0.0,0.14290182406666666,2.9,0.78,0.3333333333333333
LAM,2020,0.0,0.20068437120666666,3.023529412,0.78,0.3333333333333333
LAM,2025,0.0,0.26118577762,3.147058824,0.78,0.3333333333333333
LAM,2030,0.0,0.32149134379333333,3.270588235,0.78,0.3333333333333333
LAM,2035,0.0,0.3774023636,3.394117647,0.78,0.3333333333333333
LAM,2040,0.0,0.42731712312000003,3.517647059,0.78,0.3333333333333333
LAM,2045,0.0,0.4595057708466666,3.641176471,0.78,0.3333333333333333
LAM,2050,0.0,0.4924062557,3.764705882,0.78,0.3333333333333333
LAM,2055,0.0,0.5274560041,3.888235294,0.78,0.3333333333333333
LAM,2060,0.0,0.5637743572599999,4.011764706,0.78,0.3333333333333333
LAM,2065,0.0,0.5961063743933334,4.135294118,0.78,0.3333333333333333
LAM,2070,0.0,0.6274780933133334,4.258823529,0.78,0.3333333333333333
LAM,2075,0.0,0.65377919724,4.382352941,0.78,0.3333333333333333
LAM,2080,0.0,0.6777936700666667,4.505882353,0.78,0.3333333333333333
LAM,2085,0.0,0.69673787504,4.629411765,0.78,0.3333333333333333
LAM,2090,0.0,0.7111714147533333,4.752941176,0.78,0.3333333333333333
LAM,2095,0.0,0.7239303403533333,4.876470588,0.78,0.3333333333333333
LAM,2100,0.0,0.7346396825533333,5.0,0.78,0.3333333333333333
MEA,2015,0.0,0.20824470404166667,2.9,0.93,0.5
MEA,2020,0.0,0.25322863290833336,3.023529412,0.93,0.5
MEA,2025,0.0,0.2989993317083333,3.147058824,0.93,0.5
MEA,2030,0.0,0.345987294225,3.270588235,0.93,0.5
MEA,2035,0.0,0.3892348145416667,3.394117647,0.93,0.5
MEA,2040,0.0,0.42643958441666663,3.517647059,0.93,0.5
MEA,2045,0.0,0.461011716125,3.641176471,0.93,0.5
MEA,2050,0.0,0.4906237492166667,3.764705882,0.93,0.5
MEA,2055,0.0,0.5229783698416667,3.888235294,0.93,0.5
MEA,2060,0.0,0.55772219755,4.011764706,0.93,0.5
MEA,2065,0.0,0.5935064142333334,4.135294118,0.93,0.5
MEA,2070,0.0,0.6305974683833334,4.258823529,0.93,0.5
MEA,2075,0.0,0.6660062796833334,4.382352941,0.93,0.5
MEA,2080,0.0,0.6964811084333333,4.505882353,0.93,0.5
MEA,2085,0.0,0.7252178302,4.629411765,0.93,0.5
MEA,2090,0.0,0.7501654192499999,4.752941176,0.93,0.5
MEA,2095,0.0,0.7713149599666667,4.876470588,0.93,0.5
