,exporter,fuel_type,model,region,scenario,supply_type,unit,value,variable,year
0,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.022225528784055055,Domestic|Gas Extraction|Category 1,1990
1,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.15557870148838537,Domestic|Gas Extraction|Category 2,1990
2,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.0,Domestic|Gas Extraction|Category 5,1990
3,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.028356747503108203,Domestic|Gas Extraction|Category 1,1995
4,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.1984972325217574,Domestic|Gas Extraction|Category 2,1995
5,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.056261815667850726,Domestic|Gas Extraction|Category 1,2000
6,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.39383270967495504,Domestic|Gas Extraction|Category 2,2000
7,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.11206321919781524,Domestic|Gas Extraction|Category 1,2005
8,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.7844425343847066,Domestic|Gas Extraction|Category 2,2005
9,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.16370583696575286,Domestic|Gas Extraction|Category 1,2010
10,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,1.1459408587602697,Domestic|Gas Extraction|Category 2,2010
11,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.000261782,Domestic|Synthetic Gas from Biomass,2010
12,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.2172863856700641,Domestic|Gas Extraction|Category 1,2015
13,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,1.5210046996904485,Domestic|Gas Extraction|Category 2,2015
14,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.00222357,Domestic|Synthetic Gas from Biomass,2015
15,,Piped Gas,alps_hhi,R12_AFR,SSP_SSP2_v6.2,Domestic,EJ/yr,0.263252038216027,Domestic|Gas Extraction|Category 1,2020
