node_loc,technology,year_act,time,value,unit
R12_AFR,LNG_shipped_exp_rcpa,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_chn,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_eeu,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_fsu,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_lam,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_mea,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_nam,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_pao,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_pas,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_sas,broadcast,year,2,GWa
R12_AFR,LNG_shipped_exp_weu,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_afr,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_chn,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_eeu,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_fsu,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_lam,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_mea,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_nam,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_pao,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_pas,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_sas,broadcast,year,2,GWa
R12_RCPA,LNG_shipped_exp_weu,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_afr,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_rcpa,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_eeu,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_fsu,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_lam,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_mea,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_nam,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_pao,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_pas,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_sas,broadcast,year,2,GWa
R12_CHN,LNG_shipped_exp_weu,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_afr,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_rcpa,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_chn,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_fsu,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_lam,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_mea,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_nam,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_pao,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_pas,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_sas,broadcast,year,2,GWa
R12_EEU,LNG_shipped_exp_weu,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_afr,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_rcpa,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_chn,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_eeu,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_lam,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_mea,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_nam,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_pao,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_pas,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_sas,broadcast,year,2,GWa
R12_FSU,LNG_shipped_exp_weu,broadcast,year,2,GWa
R12_LAM,LNG_shipped_exp_afr,broadcast,year,2,GWa
R12_LAM,LNG_shipped_exp_rcpa,broadcast,year,2,GWa
R12_LAM,LNG_shipped_exp_chn,broadcast,year,2,GWa
