node_loc,technology,year_act,value,unit,mode,time
R12_AFR,LNG_tanker_LNG,2025,23770057.434148803,Mt-km,AFR-CHN,year
R12_AFR,LNG_tanker_LNG,2025,2691.1928368000004,Mt-km,AFR-EEU,year
R12_AFR,LNG_tanker_LNG,2025,19544966.751332,Mt-km,AFR-LAM,year
R12_AFR,LNG_tanker_LNG,2025,14141833.821108801,Mt-km,AFR-MEA,year
R12_AFR,LNG_tanker_LNG,2025,35066845.6386512,Mt-km,AFR-NAM,year
R12_AFR,LNG_tanker_LNG,2025,4037795.5969248,Mt-km,AFR-PAO,year
R12_AFR,LNG_tanker_LNG,2025,115730690.50641602,Mt-km,AFR-PAS,year
R12_AFR,LNG_tanker_LNG,2025,1805.8817976,Mt-km,AFR-RCPA,year
R12_AFR,LNG_tanker_LNG,2025,95889509.96541601,Mt-km,AFR-SAS,year
R12_AFR,LNG_tanker_LNG,2025,265874001.44632322,Mt-km,AFR-WEU,year
R12_CHN,LNG_tanker_LNG,2025,6010789.684900001,Mt-km,CHN-AFR,year
R12_CHN,LNG_tanker_LNG,2025,2232180.8176064,Mt-km,CHN-FSU,year
R12_CHN,LNG_tanker_LNG,2025,209115112.824492,Mt-km,CHN-LAM,year
R12_CHN,LNG_tanker_LNG,2025,208701113.4795672,Mt-km,CHN-MEA,year
R12_CHN,LNG_tanker_LNG,2025,3113499.9851472005,Mt-km,CHN-NAM,year
R12_CHN,LNG_tanker_LNG,2025,955744100.987928,Mt-km,CHN-PAO,year
R12_CHN,LNG_tanker_LNG,2025,1544708586.490821,Mt-km,CHN-PAS,year
R12_CHN,LNG_tanker_LNG,2025,77056.78230240001,Mt-km,CHN-RCPA,year
R12_CHN,LNG_tanker_LNG,2025,671712.4916784,Mt-km,CHN-SAS,year
R12_CHN,LNG_tanker_LNG,2025,45464.653728000005,Mt-km,CHN-WEU,year
R12_EEU,LNG_tanker_LNG,2025,5965.0540416,Mt-km,EEU-AFR,year
R12_EEU,LNG_tanker_LNG,2025,1850237.8247632002,Mt-km,EEU-FSU,year
