node_loc,technology,year_vtg,year_act,value,unit
R12_AFR,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_AFR,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_RCPA,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_CHN,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_EEU,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_FSU,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_LAM,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_MEA,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_NAM,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_PAO,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
R12_PAS,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_SAS,LNG_tanker_weu,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_afr,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_rcpa,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_chn,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_eeu,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_fsu,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_lam,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_mea,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_nam,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_pao,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_pas,broadcast,broadcast,,USD/Mt-km
R12_WEU,LNG_tanker_sas,broadcast,broadcast,,USD/Mt-km
