value,node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,unit
1,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_LAM,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_MEA,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_NAM,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_PAO,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_PAS,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_SAS,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_WEU,LNG_tanker_LNG,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_AFR,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_RCPA,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_CHN,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_EEU,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_FSU,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_LAM,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_MEA,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_NAM,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_PAO,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_PAS,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_SAS,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
1,R12_WEU,bunker_global_LNG,broadcast,broadcast,M1,R12_GLB,LNG,bunker,year,year,GWa
,R12_AFR,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_RCPA,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_CHN,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_EEU,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_FSU,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_LAM,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_MEA,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_NAM,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_PAO,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_PAS,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_SAS,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
,R12_WEU,LNG_tanker_loil,broadcast,broadcast,M1,R12_GLB,LNG_tanker_capacity,shipped,year,year,Mt-km
1,R12_AFR,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_RCPA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_CHN,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_EEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_FSU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_LAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_MEA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_NAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_PAO,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_PAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_SAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
1,R12_WEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_AFR,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
