node_loc,technology,node_rel,relation,year_rel,year_act,mode,commodity,value,unit
R12_AFR,LNG_shipped_exp_rcpa,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_chn,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_eeu,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_fsu,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_lam,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_mea,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_nam,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_pao,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_pas,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_sas,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_AFR,LNG_shipped_exp_weu,R12_AFR,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_afr,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_chn,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_eeu,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_fsu,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_lam,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_mea,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_nam,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_pao,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_pas,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_sas,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_RCPA,LNG_shipped_exp_weu,R12_RCPA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_afr,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_rcpa,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_eeu,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_fsu,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_lam,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_mea,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_nam,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_pao,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_pas,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_sas,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_CHN,LNG_shipped_exp_weu,R12_CHN,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_afr,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_rcpa,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_chn,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_fsu,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_lam,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_mea,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_nam,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_pao,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_pas,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_sas,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_EEU,LNG_shipped_exp_weu,R12_EEU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_afr,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_rcpa,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_chn,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_eeu,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_lam,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_mea,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_nam,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_pao,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_pas,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_sas,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_FSU,LNG_shipped_exp_weu,R12_FSU,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_afr,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_rcpa,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_chn,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_eeu,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_fsu,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_mea,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_nam,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_pao,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_pas,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_sas,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_LAM,LNG_shipped_exp_weu,R12_LAM,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_MEA,LNG_shipped_exp_afr,R12_MEA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_MEA,LNG_shipped_exp_rcpa,R12_MEA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_MEA,LNG_shipped_exp_chn,R12_MEA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_MEA,LNG_shipped_exp_eeu,R12_MEA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_MEA,LNG_shipped_exp_fsu,R12_MEA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
R12_MEA,LNG_shipped_exp_lam,R12_MEA,LNG_tanker,broadcast,broadcast,M1,LNG,3153.3477321814253,
