node_loc,technology,year_vtg,value,unit
R12_AFR,LNG_shipped_exp_chn,broadcast,260.0,USD/GWa
R12_AFR,LNG_shipped_exp_eeu,broadcast,620.0,USD/GWa
R12_AFR,LNG_shipped_exp_lam,broadcast,315.0,USD/GWa
R12_AFR,LNG_shipped_exp_mea,broadcast,620.0,USD/GWa
R12_AFR,LNG_shipped_exp_nam,broadcast,277.0,USD/GWa
R12_AFR,LNG_shipped_exp_pao,broadcast,342.0,USD/GWa
R12_AFR,LNG_shipped_exp_pas,broadcast,286.0,USD/GWa
R12_AFR,LNG_shipped_exp_sas,broadcast,309.0,USD/GWa
R12_AFR,LNG_shipped_exp_weu,broadcast,356.0,USD/GWa
R12_CHN,LNG_shipped_exp_mea,broadcast,620.0,USD/GWa
R12_CHN,LNG_shipped_exp_pao,broadcast,620.0,USD/GWa
R12_CHN,LNG_shipped_exp_pas,broadcast,620.0,USD/GWa
R12_CHN,LNG_shipped_exp_rcpa,broadcast,129.0,USD/GWa
R12_CHN,LNG_shipped_exp_weu,broadcast,620.0,USD/GWa
R12_EEU,LNG_shipped_exp_fsu,broadcast,620.0,USD/GWa
R12_EEU,LNG_shipped_exp_weu,broadcast,620.0,USD/GWa
R12_FSU,LNG_shipped_exp_chn,broadcast,296.0,USD/GWa
R12_FSU,LNG_shipped_exp_eeu,broadcast,287.0,USD/GWa
R12_FSU,LNG_shipped_exp_mea,broadcast,299.0,USD/GWa
R12_FSU,LNG_shipped_exp_nam,broadcast,579.0,USD/GWa
R12_FSU,LNG_shipped_exp_pao,broadcast,233.0,USD/GWa
R12_FSU,LNG_shipped_exp_pas,broadcast,233.0,USD/GWa
R12_FSU,LNG_shipped_exp_rcpa,broadcast,278.0,USD/GWa
R12_FSU,LNG_shipped_exp_sas,broadcast,171.0,USD/GWa
R12_FSU,LNG_shipped_exp_weu,broadcast,360.0,USD/GWa
R12_LAM,LNG_shipped_exp_chn,broadcast,350.0,USD/GWa
R12_LAM,LNG_shipped_exp_eeu,broadcast,389.0,USD/GWa
R12_LAM,LNG_shipped_exp_mea,broadcast,93.0,USD/GWa
R12_LAM,LNG_shipped_exp_nam,broadcast,261.0,USD/GWa
R12_LAM,LNG_shipped_exp_pao,broadcast,332.0,USD/GWa
R12_LAM,LNG_shipped_exp_pas,broadcast,366.0,USD/GWa
R12_LAM,LNG_shipped_exp_sas,broadcast,300.0,USD/GWa
R12_LAM,LNG_shipped_exp_weu,broadcast,294.0,USD/GWa
R12_MEA,LNG_shipped_exp_afr,broadcast,237.0,USD/GWa
R12_MEA,LNG_shipped_exp_chn,broadcast,262.0,USD/GWa
R12_MEA,LNG_shipped_exp_eeu,broadcast,567.0,USD/GWa
R12_MEA,LNG_shipped_exp_fsu,broadcast,93.0,USD/GWa
R12_MEA,LNG_shipped_exp_lam,broadcast,220.0,USD/GWa
R12_MEA,LNG_shipped_exp_nam,broadcast,247.0,USD/GWa
R12_MEA,LNG_shipped_exp_pao,broadcast,264.0,USD/GWa
R12_MEA,LNG_shipped_exp_pas,broadcast,294.0,USD/GWa
R12_MEA,LNG_shipped_exp_sas,broadcast,293.0,USD/GWa
R12_MEA,LNG_shipped_exp_weu,broadcast,323.0,USD/GWa
R12_NAM,LNG_shipped_exp_afr,broadcast,414.0,USD/GWa
R12_NAM,LNG_shipped_exp_chn,broadcast,275.0,USD/GWa
R12_NAM,LNG_shipped_exp_eeu,broadcast,612.0,USD/GWa
R12_NAM,LNG_shipped_exp_lam,broadcast,315.0,USD/GWa
R12_NAM,LNG_shipped_exp_mea,broadcast,326.0,USD/GWa
R12_NAM,LNG_shipped_exp_pao,broadcast,326.0,USD/GWa
R12_NAM,LNG_shipped_exp_pas,broadcast,347.0,USD/GWa
R12_NAM,LNG_shipped_exp_sas,broadcast,326.0,USD/GWa
R12_NAM,LNG_shipped_exp_weu,broadcast,487.0,USD/GWa
R12_PAO,LNG_shipped_exp_chn,broadcast,229.0,USD/GWa
R12_PAO,LNG_shipped_exp_lam,broadcast,226.0,USD/GWa
R12_PAO,LNG_shipped_exp_pas,broadcast,357.0,USD/GWa
R12_PAO,LNG_shipped_exp_sas,broadcast,286.0,USD/GWa
R12_PAO,LNG_shipped_exp_weu,broadcast,548.0,USD/GWa
R12_PAS,LNG_shipped_exp_afr,broadcast,200.0,USD/GWa
R12_PAS,LNG_shipped_exp_chn,broadcast,223.0,USD/GWa
R12_PAS,LNG_shipped_exp_eeu,broadcast,219.0,USD/GWa
R12_PAS,LNG_shipped_exp_lam,broadcast,135.0,USD/GWa
R12_PAS,LNG_shipped_exp_mea,broadcast,249.0,USD/GWa
R12_PAS,LNG_shipped_exp_nam,broadcast,620.0,USD/GWa
R12_PAS,LNG_shipped_exp_pao,broadcast,263.0,USD/GWa
R12_PAS,LNG_shipped_exp_rcpa,broadcast,317.0,USD/GWa
R12_PAS,LNG_shipped_exp_sas,broadcast,287.0,USD/GWa
R12_PAS,LNG_shipped_exp_weu,broadcast,484.0,USD/GWa
R12_SAS,LNG_shipped_exp_afr,broadcast,620.0,USD/GWa
R12_WEU,LNG_shipped_exp_afr,broadcast,231.0,USD/GWa
R12_WEU,LNG_shipped_exp_chn,broadcast,396.0,USD/GWa
R12_WEU,LNG_shipped_exp_eeu,broadcast,620.0,USD/GWa
