node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,value,unit
R12_AFR,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,R12_RCPA,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_chn,broadcast,broadcast,M1,R12_CHN,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_eeu,broadcast,broadcast,M1,R12_EEU,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_fsu,broadcast,broadcast,M1,R12_FSU,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_lam,broadcast,broadcast,M1,R12_LAM,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_mea,broadcast,broadcast,M1,R12_MEA,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_nam,broadcast,broadcast,M1,R12_NAM,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_pao,broadcast,broadcast,M1,R12_PAO,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_pas,broadcast,broadcast,M1,R12_PAS,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_sas,broadcast,broadcast,M1,R12_SAS,biomass,shipped,year,year,1,GWa
R12_AFR,biomass_shipped_exp_weu,broadcast,broadcast,M1,R12_WEU,biomass,shipped,year,year,1,GWa
R12_RCPA,biomass_shipped_exp_afr,broadcast,broadcast,M1,R12_AFR,biomass,shipped,year,year,1,GWa
R12_RCPA,biomass_shipped_exp_chn,broadcast,broadcast,M1,R12_CHN,biomass,shipped,year,year,1,GWa
R12_RCPA,biomass_shipped_exp_eeu,broadcast,broadcast,M1,R12_EEU,biomass,shipped,year,year,1,GWa
R12_RCPA,biomass_shipped_exp_fsu,broadcast,broadcast,M1,R12_FSU,biomass,shipped,year,year,1,GWa
R12_RCPA,biomass_shipped_exp_lam,broadcast,broadcast,M1,R12_LAM,biomass,shipped,year,year,1,GWa
R12_RCPA,biomass_shipped_exp_mea,broadcast,broadcast,M1,R12_MEA,biomass,shipped,year,year,1,GWa
R12_RCPA,biomass_shipped_exp_nam,broadcast,broadcast,M1,R12_NAM,biomass,shipped,year,year,1,GWa
