node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_AFR,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_AFR,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_AFR,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,56.0,USD/GWa
R12_AFR,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_AFR,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,70.0,USD/GWa
R12_AFR,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_AFR,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,45.0,USD/GWa
R12_AFR,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_AFR,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_AFR,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_AFR,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,50.0,USD/GWa
R12_RCPA,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,118.0,USD/GWa
R12_RCPA,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_RCPA,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_CHN,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_CHN,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_CHN,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,61.0,USD/GWa
R12_CHN,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_CHN,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,182.0,USD/GWa
R12_CHN,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,86.0,USD/GWa
R12_CHN,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,38.0,USD/GWa
R12_CHN,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,121.0,USD/GWa
R12_CHN,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,103.0,USD/GWa
R12_CHN,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,186.0,USD/GWa
R12_CHN,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,280.0,USD/GWa
R12_EEU,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,67.0,USD/GWa
R12_EEU,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,58.0,USD/GWa
R12_EEU,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,67.0,USD/GWa
R12_EEU,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,64.0,USD/GWa
R12_EEU,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,95.0,USD/GWa
R12_EEU,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,69.0,USD/GWa
R12_EEU,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,163.0,USD/GWa
R12_EEU,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,85.0,USD/GWa
R12_EEU,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,71.0,USD/GWa
R12_EEU,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,72.0,USD/GWa
R12_EEU,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,32.0,USD/GWa
R12_FSU,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_FSU,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,73.0,USD/GWa
R12_FSU,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,80.0,USD/GWa
R12_FSU,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,31.0,USD/GWa
R12_FSU,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,67.0,USD/GWa
R12_FSU,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,38.0,USD/GWa
R12_FSU,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,221.0,USD/GWa
R12_FSU,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,79.0,USD/GWa
R12_FSU,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,23.0,USD/GWa
R12_FSU,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,81.0,USD/GWa
R12_FSU,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,32.0,USD/GWa
R12_LAM,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_LAM,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_LAM,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_LAM,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,58.0,USD/GWa
R12_LAM,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_LAM,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_LAM,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,172.0,USD/GWa
R12_LAM,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_LAM,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_LAM,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_LAM,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_MEA,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,87.0,USD/GWa
R12_MEA,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_MEA,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,49.0,USD/GWa
R12_MEA,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,81.0,USD/GWa
R12_MEA,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,77.0,USD/GWa
R12_MEA,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_MEA,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,72.0,USD/GWa
R12_MEA,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_MEA,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_MEA,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,68.0,USD/GWa
R12_MEA,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,48.0,USD/GWa
R12_NAM,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,1395.0,USD/GWa
R12_NAM,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_NAM,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,106.0,USD/GWa
R12_NAM,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_NAM,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,298.0,USD/GWa
R12_NAM,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,156.0,USD/GWa
R12_NAM,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,112.0,USD/GWa
R12_NAM,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,105.0,USD/GWa
R12_NAM,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,161.0,USD/GWa
R12_NAM,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,94.0,USD/GWa
R12_NAM,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,305.0,USD/GWa
R12_PAO,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAO,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAO,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,39.0,USD/GWa
R12_PAO,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAO,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAO,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAO,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,81.0,USD/GWa
R12_PAO,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,103.0,USD/GWa
R12_PAO,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,32.0,USD/GWa
R12_PAO,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAO,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,429.0,USD/GWa
R12_PAS,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,115.0,USD/GWa
R12_PAS,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_PAS,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,226.0,USD/GWa
R12_SAS,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,164.0,USD/GWa
R12_SAS,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_SAS,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_SAS,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,140.0,USD/GWa
R12_SAS,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,123.0,USD/GWa
R12_SAS,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,292.0,USD/GWa
R12_SAS,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,171.0,USD/GWa
R12_SAS,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,14.0,USD/GWa
R12_SAS,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,188.0,USD/GWa
R12_SAS,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,114.0,USD/GWa
R12_SAS,biomass_shipped_exp_weu,broadcast,broadcast,M1,year,100.0,USD/GWa
R12_WEU,biomass_shipped_exp_afr,broadcast,broadcast,M1,year,50.0,USD/GWa
R12_WEU,biomass_shipped_exp_rcpa,broadcast,broadcast,M1,year,89.0,USD/GWa
R12_WEU,biomass_shipped_exp_chn,broadcast,broadcast,M1,year,98.0,USD/GWa
R12_WEU,biomass_shipped_exp_eeu,broadcast,broadcast,M1,year,64.0,USD/GWa
R12_WEU,biomass_shipped_exp_fsu,broadcast,broadcast,M1,year,103.0,USD/GWa
R12_WEU,biomass_shipped_exp_lam,broadcast,broadcast,M1,year,121.0,USD/GWa
R12_WEU,biomass_shipped_exp_mea,broadcast,broadcast,M1,year,89.0,USD/GWa
R12_WEU,biomass_shipped_exp_nam,broadcast,broadcast,M1,year,86.0,USD/GWa
R12_WEU,biomass_shipped_exp_pao,broadcast,broadcast,M1,year,69.0,USD/GWa
R12_WEU,biomass_shipped_exp_pas,broadcast,broadcast,M1,year,84.0,USD/GWa
R12_WEU,biomass_shipped_exp_sas,broadcast,broadcast,M1,year,107.0,USD/GWa
