node_origin,node_loc,technology,year_vtg,year_act,mode,commodity,level,value,time,time_origin,unit
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-RCPA,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-CHN,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-EEU,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-FSU,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-LAM,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-MEA,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-NAM,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-PAO,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-PAS,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-SAS,fueloil,secondary,1.23E-07,year,year,GWa
R12_AFR,R12_AFR,crudeoil_tanker_foil,broadcast,broadcast,AFR-WEU,fueloil,secondary,1.23E-07,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-AFR,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-CHN,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-EEU,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-FSU,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-LAM,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-MEA,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-NAM,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-PAO,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-PAS,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-SAS,fueloil,secondary,3.26E-06,year,year,GWa
R12_RCPA,R12_RCPA,crudeoil_tanker_foil,broadcast,broadcast,RCPA-WEU,fueloil,secondary,3.26E-06,year,year,GWa
R12_CHN,R12_CHN,crudeoil_tanker_foil,broadcast,broadcast,CHN-AFR,fueloil,secondary,9.24E-07,year,year,GWa
R12_CHN,R12_CHN,crudeoil_tanker_foil,broadcast,broadcast,CHN-RCPA,fueloil,secondary,9.24E-07,year,year,GWa
R12_CHN,R12_CHN,crudeoil_tanker_foil,broadcast,broadcast,CHN-EEU,fueloil,secondary,9.24E-07,year,year,GWa
