node_loc,technology,year_act,value,unit,mode,time
R12_AFR,oil_tanker_eth,2025,1588.29528762,Mt-km,AFR-CHN,year
R12_AFR,oil_tanker_eth,2025,244.51074599999998,Mt-km,AFR-EEU,year
R12_AFR,oil_tanker_eth,2025,813.75129549,Mt-km,AFR-FSU,year
R12_AFR,oil_tanker_eth,2025,44492.41047167999,Mt-km,AFR-LAM,year
R12_AFR,oil_tanker_eth,2025,4536078.0282405,Mt-km,AFR-MEA,year
R12_AFR,oil_tanker_eth,2025,9606.896108219998,Mt-km,AFR-NAM,year
R12_AFR,oil_tanker_eth,2025,253.79427075,Mt-km,AFR-PAO,year
R12_AFR,oil_tanker_eth,2025,137300.97636009,Mt-km,AFR-PAS,year
R12_AFR,oil_tanker_eth,2025,130082.22270056998,Mt-km,AFR-SAS,year
R12_AFR,oil_tanker_eth,2025,2900163.37670496,Mt-km,AFR-WEU,year
R12_CHN,oil_tanker_eth,2025,14.32304055,Mt-km,CHN-AFR,year
R12_CHN,oil_tanker_eth,2025,22185.314069879998,Mt-km,CHN-FSU,year
R12_CHN,oil_tanker_eth,2025,3806.2006170299996,Mt-km,CHN-LAM,year
R12_CHN,oil_tanker_eth,2025,21647.632082399996,Mt-km,CHN-MEA,year
R12_CHN,oil_tanker_eth,2025,5904.277859999999,Mt-km,CHN-NAM,year
R12_CHN,oil_tanker_eth,2025,350877.11786535,Mt-km,CHN-PAO,year
R12_CHN,oil_tanker_eth,2025,8448762.928583879,Mt-km,CHN-PAS,year
R12_CHN,oil_tanker_eth,2025,696.3104073,Mt-km,CHN-RCPA,year
R12_CHN,oil_tanker_eth,2025,5998.326889499999,Mt-km,CHN-SAS,year
R12_CHN,oil_tanker_eth,2025,31.60435005,Mt-km,CHN-WEU,year
R12_EEU,oil_tanker_eth,2025,4790.1551208,Mt-km,EEU-AFR,year
R12_EEU,oil_tanker_eth,2025,132590.1013857,Mt-km,EEU-FSU,year
R12_EEU,oil_tanker_eth,2025,218.73944024999997,Mt-km,EEU-LAM,year
R12_EEU,oil_tanker_eth,2025,1100.6181726300001,Mt-km,EEU-MEA,year
R12_EEU,oil_tanker_eth,2025,3622.4180534399998,Mt-km,EEU-NAM,year
R12_EEU,oil_tanker_eth,2025,147752.36425619997,Mt-km,EEU-WEU,year
R12_FSU,oil_tanker_eth,2025,27.6342957,Mt-km,FSU-AFR,year
R12_FSU,oil_tanker_eth,2025,4693.14554544,Mt-km,FSU-CHN,year
R12_FSU,oil_tanker_eth,2025,65261.910808559995,Mt-km,FSU-EEU,year
R12_FSU,oil_tanker_eth,2025,201.23856216,Mt-km,FSU-LAM,year
R12_FSU,oil_tanker_eth,2025,3448.97830011,Mt-km,FSU-MEA,year
R12_FSU,oil_tanker_eth,2025,7427.35488285,Mt-km,FSU-NAM,year
R12_FSU,oil_tanker_eth,2025,3597.61413396,Mt-km,FSU-PAO,year
R12_FSU,oil_tanker_eth,2025,109477.49342979,Mt-km,FSU-PAS,year
R12_FSU,oil_tanker_eth,2025,2.1943423799999997,Mt-km,FSU-RCPA,year
R12_FSU,oil_tanker_eth,2025,107.0610717,Mt-km,FSU-SAS,year
R12_FSU,oil_tanker_eth,2025,4108927.3689312,Mt-km,FSU-WEU,year
R12_LAM,oil_tanker_eth,2025,37424.93003859,Mt-km,LAM-AFR,year
R12_LAM,oil_tanker_eth,2025,5932.37136132,Mt-km,LAM-CHN,year
R12_LAM,oil_tanker_eth,2025,50.9586255,Mt-km,LAM-EEU,year
R12_LAM,oil_tanker_eth,2025,84.3047268,Mt-km,LAM-FSU,year
R12_LAM,oil_tanker_eth,2025,15222.92233728,Mt-km,LAM-MEA,year
R12_LAM,oil_tanker_eth,2025,10024227.23223012,Mt-km,LAM-NAM,year
R12_LAM,oil_tanker_eth,2025,84116.19368501999,Mt-km,LAM-PAO,year
R12_LAM,oil_tanker_eth,2025,251593.13954931,Mt-km,LAM-PAS,year
R12_LAM,oil_tanker_eth,2025,853.32716604,Mt-km,LAM-SAS,year
R12_LAM,oil_tanker_eth,2025,1340363.12913936,Mt-km,LAM-WEU,year
R12_MEA,oil_tanker_eth,2025,3719906.3975535,Mt-km,MEA-AFR,year
R12_MEA,oil_tanker_eth,2025,72022.92212009999,Mt-km,MEA-CHN,year
R12_MEA,oil_tanker_eth,2025,181.67262123,Mt-km,MEA-EEU,year
R12_MEA,oil_tanker_eth,2025,1349.42281539,Mt-km,MEA-FSU,year
R12_MEA,oil_tanker_eth,2025,9263.666903039999,Mt-km,MEA-LAM,year
R12_MEA,oil_tanker_eth,2025,39315.3029028,Mt-km,MEA-NAM,year
R12_MEA,oil_tanker_eth,2025,404613.12220185,Mt-km,MEA-PAO,year
R12_MEA,oil_tanker_eth,2025,9686535.09462264,Mt-km,MEA-PAS,year
R12_MEA,oil_tanker_eth,2025,1.39132404,Mt-km,MEA-RCPA,year
R12_MEA,oil_tanker_eth,2025,4259463.68263248,Mt-km,MEA-SAS,year
R12_MEA,oil_tanker_eth,2025,5143084.756448519,Mt-km,MEA-WEU,year
R12_NAM,oil_tanker_eth,2025,13138.86617316,Mt-km,NAM-AFR,year
R12_NAM,oil_tanker_eth,2025,3644.04415977,Mt-km,NAM-CHN,year
R12_NAM,oil_tanker_eth,2025,255.41827343999998,Mt-km,NAM-EEU,year
R12_NAM,oil_tanker_eth,2025,8132.66610024,Mt-km,NAM-FSU,year
R12_NAM,oil_tanker_eth,2025,12997747.64805111,Mt-km,NAM-LAM,year
R12_NAM,oil_tanker_eth,2025,10960.40620665,Mt-km,NAM-MEA,year
R12_NAM,oil_tanker_eth,2025,8295.924035099999,Mt-km,NAM-PAO,year
R12_NAM,oil_tanker_eth,2025,222871.61641875,Mt-km,NAM-PAS,year
R12_NAM,oil_tanker_eth,2025,2959898.72871168,Mt-km,NAM-WEU,year
R12_PAO,oil_tanker_eth,2025,221.21257484999998,Mt-km,PAO-AFR,year
R12_PAO,oil_tanker_eth,2025,319024.03285124997,Mt-km,PAO-CHN,year
R12_PAO,oil_tanker_eth,2025,2786.01473241,Mt-km,PAO-FSU,year
R12_PAO,oil_tanker_eth,2025,27929.970091529998,Mt-km,PAO-LAM,year
R12_PAO,oil_tanker_eth,2025,17262.74787507,Mt-km,PAO-MEA,year
R12_PAO,oil_tanker_eth,2025,11088.189930359998,Mt-km,PAO-NAM,year
R12_PAO,oil_tanker_eth,2025,10164863.36867364,Mt-km,PAO-PAS,year
