node_loc,technology,year_vtg,year_act,time,value,unit
R12_AFR,foil_piped_exp_mea,broadcast,broadcast,year,1,%
R12_AFR,foil_piped_exp_weu,broadcast,broadcast,year,1,%
R12_CHN,foil_piped_exp_fsu,broadcast,broadcast,year,1,%
R12_EEU,foil_piped_exp_fsu,broadcast,broadcast,year,1,%
R12_EEU,foil_piped_exp_weu,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_exp_rcpa,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_exp_chn,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_exp_eeu,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_exp_mea,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_exp_pao,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_exp_pas,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_exp_sas,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_exp_weu,broadcast,broadcast,year,1,%
R12_LAM,foil_piped_exp_nam,broadcast,broadcast,year,1,%
R12_MEA,foil_piped_exp_afr,broadcast,broadcast,year,1,%
R12_MEA,foil_piped_exp_eeu,broadcast,broadcast,year,1,%
R12_MEA,foil_piped_exp_fsu,broadcast,broadcast,year,1,%
R12_MEA,foil_piped_exp_sas,broadcast,broadcast,year,1,%
R12_MEA,foil_piped_exp_weu,broadcast,broadcast,year,1,%
R12_NAM,foil_piped_exp_lam,broadcast,broadcast,year,1,%
R12_PAO,foil_piped_exp_fsu,broadcast,broadcast,year,1,%
R12_PAS,foil_piped_exp_rcpa,broadcast,broadcast,year,1,%
R12_PAS,foil_piped_exp_chn,broadcast,broadcast,year,1,%
R12_PAS,foil_piped_exp_fsu,broadcast,broadcast,year,1,%
R12_PAS,foil_piped_exp_pao,broadcast,broadcast,year,1,%
R12_SAS,foil_piped_exp_fsu,broadcast,broadcast,year,1,%
R12_SAS,foil_piped_exp_mea,broadcast,broadcast,year,1,%
R12_SAS,foil_piped_exp_pas,broadcast,broadcast,year,1,%
R12_WEU,foil_piped_exp_afr,broadcast,broadcast,year,1,%
R12_WEU,foil_piped_exp_eeu,broadcast,broadcast,year,1,%
R12_WEU,foil_piped_exp_fsu,broadcast,broadcast,year,1,%
R12_WEU,foil_piped_exp_mea,broadcast,broadcast,year,1,%
R12_MEA,foil_piped_imp,broadcast,broadcast,year,1,%
R12_WEU,foil_piped_imp,broadcast,broadcast,year,1,%
R12_FSU,foil_piped_imp,broadcast,broadcast,year,1,%
R12_RCPA,foil_piped_imp,broadcast,broadcast,year,1,%
R12_CHN,foil_piped_imp,broadcast,broadcast,year,1,%
R12_EEU,foil_piped_imp,broadcast,broadcast,year,1,%
R12_PAO,foil_piped_imp,broadcast,broadcast,year,1,%
R12_PAS,foil_piped_imp,broadcast,broadcast,year,1,%
R12_SAS,foil_piped_imp,broadcast,broadcast,year,1,%
R12_NAM,foil_piped_imp,broadcast,broadcast,year,1,%
R12_AFR,foil_piped_imp,broadcast,broadcast,year,1,%
R12_LAM,foil_piped_imp,broadcast,broadcast,year,1,%
