node_loc,technology,year_vtg,value,unit
R12_AFR,foil_piped_exp_mea,broadcast,,USD/GWa
R12_AFR,foil_piped_exp_weu,broadcast,,USD/GWa
R12_CHN,foil_piped_exp_fsu,broadcast,,USD/GWa
R12_EEU,foil_piped_exp_fsu,broadcast,,USD/GWa
R12_EEU,foil_piped_exp_weu,broadcast,,USD/GWa
R12_FSU,foil_piped_exp_rcpa,broadcast,,USD/GWa
R12_FSU,foil_piped_exp_chn,broadcast,,USD/GWa
R12_FSU,foil_piped_exp_eeu,broadcast,,USD/GWa
R12_FSU,foil_piped_exp_mea,broadcast,,USD/GWa
R12_FSU,foil_piped_exp_pao,broadcast,,USD/GWa
R12_FSU,foil_piped_exp_pas,broadcast,,USD/GWa
R12_FSU,foil_piped_exp_sas,broadcast,,USD/GWa
R12_FSU,foil_piped_exp_weu,broadcast,,USD/GWa
R12_LAM,foil_piped_exp_nam,broadcast,,USD/GWa
R12_MEA,foil_piped_exp_afr,broadcast,,USD/GWa
R12_MEA,foil_piped_exp_eeu,broadcast,,USD/GWa
R12_MEA,foil_piped_exp_fsu,broadcast,,USD/GWa
R12_MEA,foil_piped_exp_sas,broadcast,,USD/GWa
R12_MEA,foil_piped_exp_weu,broadcast,,USD/GWa
R12_NAM,foil_piped_exp_lam,broadcast,,USD/GWa
R12_PAO,foil_piped_exp_fsu,broadcast,,USD/GWa
R12_PAS,foil_piped_exp_rcpa,broadcast,,USD/GWa
R12_PAS,foil_piped_exp_chn,broadcast,,USD/GWa
R12_PAS,foil_piped_exp_fsu,broadcast,,USD/GWa
R12_PAS,foil_piped_exp_pao,broadcast,,USD/GWa
R12_SAS,foil_piped_exp_fsu,broadcast,,USD/GWa
R12_SAS,foil_piped_exp_mea,broadcast,,USD/GWa
R12_SAS,foil_piped_exp_pas,broadcast,,USD/GWa
R12_WEU,foil_piped_exp_afr,broadcast,,USD/GWa
R12_WEU,foil_piped_exp_eeu,broadcast,,USD/GWa
R12_WEU,foil_piped_exp_fsu,broadcast,,USD/GWa
R12_WEU,foil_piped_exp_mea,broadcast,,USD/GWa
R12_MEA,foil_piped_imp,broadcast,,USD/GWa
R12_WEU,foil_piped_imp,broadcast,,USD/GWa
R12_FSU,foil_piped_imp,broadcast,,USD/GWa
R12_RCPA,foil_piped_imp,broadcast,,USD/GWa
R12_CHN,foil_piped_imp,broadcast,,USD/GWa
R12_EEU,foil_piped_imp,broadcast,,USD/GWa
R12_PAO,foil_piped_imp,broadcast,,USD/GWa
R12_PAS,foil_piped_imp,broadcast,,USD/GWa
R12_SAS,foil_piped_imp,broadcast,,USD/GWa
R12_NAM,foil_piped_imp,broadcast,,USD/GWa
R12_AFR,foil_piped_imp,broadcast,,USD/GWa
R12_LAM,foil_piped_imp,broadcast,,USD/GWa
