relation,node_rel,year_rel,node_loc,technology,year_act,mode,value,unit
foil_piped_exp_global,R12_AFR,broadcast,R12_AFR,foil_piped_exp_mea,broadcast,M1,1,???
foil_piped_exp_global,R12_AFR,broadcast,R12_AFR,foil_piped_exp_weu,broadcast,M1,1,???
foil_piped_exp_global,R12_CHN,broadcast,R12_CHN,foil_piped_exp_fsu,broadcast,M1,1,???
foil_piped_exp_global,R12_EEU,broadcast,R12_EEU,foil_piped_exp_fsu,broadcast,M1,1,???
foil_piped_exp_global,R12_EEU,broadcast,R12_EEU,foil_piped_exp_weu,broadcast,M1,1,???
foil_piped_exp_global,R12_FSU,broadcast,R12_FSU,foil_piped_exp_rcpa,broadcast,M1,1,???
foil_piped_exp_global,R12_FSU,broadcast,R12_FSU,foil_piped_exp_chn,broadcast,M1,1,???
foil_piped_exp_global,R12_FSU,broadcast,R12_FSU,foil_piped_exp_eeu,broadcast,M1,1,???
foil_piped_exp_global,R12_FSU,broadcast,R12_FSU,foil_piped_exp_mea,broadcast,M1,1,???
foil_piped_exp_global,R12_FSU,broadcast,R12_FSU,foil_piped_exp_pao,broadcast,M1,1,???
foil_piped_exp_global,R12_FSU,broadcast,R12_FSU,foil_piped_exp_pas,broadcast,M1,1,???
foil_piped_exp_global,R12_FSU,broadcast,R12_FSU,foil_piped_exp_sas,broadcast,M1,1,???
foil_piped_exp_global,R12_FSU,broadcast,R12_FSU,foil_piped_exp_weu,broadcast,M1,1,???
foil_piped_exp_global,R12_LAM,broadcast,R12_LAM,foil_piped_exp_nam,broadcast,M1,1,???
foil_piped_exp_global,R12_MEA,broadcast,R12_MEA,foil_piped_exp_afr,broadcast,M1,1,???
foil_piped_exp_global,R12_MEA,broadcast,R12_MEA,foil_piped_exp_eeu,broadcast,M1,1,???
foil_piped_exp_global,R12_MEA,broadcast,R12_MEA,foil_piped_exp_fsu,broadcast,M1,1,???
foil_piped_exp_global,R12_MEA,broadcast,R12_MEA,foil_piped_exp_sas,broadcast,M1,1,???
foil_piped_exp_global,R12_MEA,broadcast,R12_MEA,foil_piped_exp_weu,broadcast,M1,1,???
foil_piped_exp_global,R12_NAM,broadcast,R12_NAM,foil_piped_exp_lam,broadcast,M1,1,???
foil_piped_exp_global,R12_PAO,broadcast,R12_PAO,foil_piped_exp_fsu,broadcast,M1,1,???
foil_piped_exp_global,R12_PAS,broadcast,R12_PAS,foil_piped_exp_rcpa,broadcast,M1,1,???
foil_piped_exp_global,R12_PAS,broadcast,R12_PAS,foil_piped_exp_chn,broadcast,M1,1,???
foil_piped_exp_global,R12_PAS,broadcast,R12_PAS,foil_piped_exp_fsu,broadcast,M1,1,???
foil_piped_exp_global,R12_PAS,broadcast,R12_PAS,foil_piped_exp_pao,broadcast,M1,1,???
foil_piped_exp_global,R12_SAS,broadcast,R12_SAS,foil_piped_exp_fsu,broadcast,M1,1,???
foil_piped_exp_global,R12_SAS,broadcast,R12_SAS,foil_piped_exp_mea,broadcast,M1,1,???
foil_piped_exp_global,R12_SAS,broadcast,R12_SAS,foil_piped_exp_pas,broadcast,M1,1,???
foil_piped_exp_global,R12_WEU,broadcast,R12_WEU,foil_piped_exp_afr,broadcast,M1,1,???
foil_piped_exp_global,R12_WEU,broadcast,R12_WEU,foil_piped_exp_eeu,broadcast,M1,1,???
foil_piped_exp_global,R12_WEU,broadcast,R12_WEU,foil_piped_exp_fsu,broadcast,M1,1,???
foil_piped_exp_global,R12_WEU,broadcast,R12_WEU,foil_piped_exp_mea,broadcast,M1,1,???
