node_loc,technology,year_vtg,year_act,value,unit
R12_AFR,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_AFR,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_RCPA,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_CHN,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_EEU,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_FSU,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_LAM,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_MEA,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_NAM,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_PAO,foil_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_PAS,foil_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_PAS,foil_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_PAS,foil_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_PAS,foil_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_PAS,foil_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_PAS,foil_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_PAS,foil_shipped_exp_mea,broadcast,broadcast,,USD/GWa
