node_loc,technology,year_act,time,value,unit
R12_AFR,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_chn,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_lam,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_mea,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_nam,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_pao,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_pas,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_sas,broadcast,year,,GWa
R12_AFR,foil_shipped_exp_weu,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_afr,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_chn,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_lam,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_mea,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_nam,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_pao,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_pas,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_sas,broadcast,year,,GWa
R12_RCPA,foil_shipped_exp_weu,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_afr,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_lam,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_mea,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_nam,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_pao,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_pas,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_sas,broadcast,year,,GWa
R12_CHN,foil_shipped_exp_weu,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_afr,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_chn,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_lam,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_mea,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_nam,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_pao,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_pas,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_sas,broadcast,year,,GWa
R12_EEU,foil_shipped_exp_weu,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_afr,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_chn,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_lam,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_mea,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_nam,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_pao,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_pas,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_sas,broadcast,year,,GWa
R12_FSU,foil_shipped_exp_weu,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_afr,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_chn,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_mea,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_nam,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_pao,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_pas,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_sas,broadcast,year,,GWa
R12_LAM,foil_shipped_exp_weu,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_afr,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_chn,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_lam,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_nam,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_pao,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_pas,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_sas,broadcast,year,,GWa
R12_MEA,foil_shipped_exp_weu,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_afr,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_chn,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_lam,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_mea,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_pao,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_pas,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_sas,broadcast,year,,GWa
R12_NAM,foil_shipped_exp_weu,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_afr,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_chn,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_lam,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_mea,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_nam,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_pas,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_sas,broadcast,year,,GWa
R12_PAO,foil_shipped_exp_weu,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_afr,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_chn,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_lam,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_mea,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_nam,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_pao,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_sas,broadcast,year,,GWa
R12_PAS,foil_shipped_exp_weu,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_afr,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_chn,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_lam,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_mea,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_nam,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_pao,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_pas,broadcast,year,,GWa
R12_SAS,foil_shipped_exp_weu,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_afr,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_rcpa,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_chn,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_eeu,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_fsu,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_lam,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_mea,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_nam,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_pao,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_pas,broadcast,year,,GWa
R12_WEU,foil_shipped_exp_sas,broadcast,year,,GWa
