node_loc,technology,year_act,value,unit,time
R12_AFR,gas_exp_eeu,broadcast,,GWa,year
R12_AFR,gas_exp_weu,broadcast,,GWa,year
R12_MEA,gas_exp_afr,broadcast,,GWa,year
R12_MEA,gas_exp_sas,broadcast,,GWa,year
R12_MEA,gas_exp_rcpa,broadcast,,GWa,year
R12_MEA,gas_exp_chn,broadcast,,GWa,year
R12_MEA,gas_exp_eeu,broadcast,,GWa,year
R12_MEA,gas_exp_weu,broadcast,,GWa,year
R12_LAM,gas_exp_nam,broadcast,,GWa,year
R12_FSU,gas_exp_sas,broadcast,,GWa,year
R12_FSU,gas_exp_rcpa,broadcast,,GWa,year
R12_FSU,gas_exp_chn,broadcast,,GWa,year
R12_FSU,gas_exp_pao,broadcast,,GWa,year
R12_FSU,gas_exp_eeu,broadcast,,GWa,year
R12_FSU,gas_exp_weu,broadcast,,GWa,year
R12_EEU,gas_imp,broadcast,,GWa,year
R12_WEU,gas_imp,broadcast,,GWa,year
R12_AFR,gas_imp,broadcast,,GWa,year
R12_SAS,gas_imp,broadcast,,GWa,year
R12_RCPA,gas_imp,broadcast,,GWa,year
R12_CHN,gas_imp,broadcast,,GWa,year
R12_NAM,gas_imp,broadcast,50,GWa,year
R12_PAO,gas_imp,broadcast,,GWa,year
