node_loc,technology,year_act,value,unit,mode,time
R12_MEA,gas_exp_weu,2020,34.3989,GWa,M1,year
R12_LAM,gas_exp_nam,2020,0.0513,GWa,M1,year
R12_FSU,gas_exp_sas,2020,47.4494,GWa,M1,year
R12_FSU,gas_exp_chn,2020,47.2241,GWa,M1,year
R12_FSU,gas_exp_eeu,2020,48.7869,GWa,M1,year
R12_FSU,gas_exp_weu,2020,142.967,GWa,M1,year
R12_EEU,gas_imp,2020,48.7869,GWa,M1,year
R12_WEU,gas_imp,2020,177.366,GWa,M1,year
R12_SAS,gas_imp,2020,47.4494,GWa,M1,year
R12_CHN,gas_imp,2020,47.2241,GWa,M1,year
R12_NAM,gas_imp,2020,0.0513,GWa,M1,year
R12_MEA,gas_exp_rcpa,2025,2.87537,GWa,M1,year
R12_MEA,gas_exp_chn,2025,6.07555,GWa,M1,year
R12_MEA,gas_exp_eeu,2025,10.3684,GWa,M1,year
R12_MEA,gas_exp_weu,2025,62.2765,GWa,M1,year
R12_FSU,gas_exp_sas,2025,63.3216,GWa,M1,year
R12_FSU,gas_exp_chn,2025,63.0341,GWa,M1,year
R12_FSU,gas_exp_eeu,2025,46.189,GWa,M1,year
R12_FSU,gas_exp_weu,2025,134.747,GWa,M1,year
R12_EEU,gas_imp,2025,56.5574,GWa,M1,year
R12_WEU,gas_imp,2025,197.023,GWa,M1,year
R12_SAS,gas_imp,2025,63.3216,GWa,M1,year
R12_RCPA,gas_imp,2025,2.87537,GWa,M1,year
R12_CHN,gas_imp,2025,69.1096,GWa,M1,year
