node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-RCPA,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-CHN,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-EEU,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-FSU,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-LAM,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-MEA,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-NAM,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-PAO,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-PAS,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-SAS,year,0.002,USD/Mt-km
R12_AFR,lh2_tanker_lh2,broadcast,broadcast,AFR-WEU,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-AFR,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-CHN,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-EEU,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-FSU,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-LAM,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-MEA,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-NAM,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-PAO,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-PAS,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-SAS,year,0.002,USD/Mt-km
R12_RCPA,lh2_tanker_lh2,broadcast,broadcast,RCPA-WEU,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-AFR,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-RCPA,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-EEU,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-FSU,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-LAM,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-MEA,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-NAM,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-PAO,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-PAS,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-SAS,year,0.002,USD/Mt-km
R12_CHN,lh2_tanker_lh2,broadcast,broadcast,CHN-WEU,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-AFR,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-RCPA,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-CHN,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-FSU,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-LAM,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-MEA,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-NAM,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-PAO,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-PAS,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-SAS,year,0.002,USD/Mt-km
R12_EEU,lh2_tanker_lh2,broadcast,broadcast,EEU-WEU,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-AFR,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-RCPA,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-CHN,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-EEU,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-LAM,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-MEA,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-NAM,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-PAO,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-PAS,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-SAS,year,0.002,USD/Mt-km
R12_FSU,lh2_tanker_lh2,broadcast,broadcast,FSU-WEU,year,0.002,USD/Mt-km
R12_LAM,lh2_tanker_lh2,broadcast,broadcast,LAM-AFR,year,0.002,USD/Mt-km
