relation,node_rel,year_rel,node_loc,technology,year_act,mode,value,unit
PE_total_traditional,R12_AFR,broadcast,R12_AFR,loil_piped_exp_mea,broadcast,M1,-1,???
PE_total_traditional,R12_AFR,broadcast,R12_AFR,loil_piped_exp_weu,broadcast,M1,-1,???
PE_total_traditional,R12_CHN,broadcast,R12_CHN,loil_piped_exp_fsu,broadcast,M1,-1,???
PE_total_traditional,R12_EEU,broadcast,R12_EEU,loil_piped_exp_fsu,broadcast,M1,-1,???
PE_total_traditional,R12_EEU,broadcast,R12_EEU,loil_piped_exp_weu,broadcast,M1,-1,???
PE_total_traditional,R12_FSU,broadcast,R12_FSU,loil_piped_exp_rcpa,broadcast,M1,-1,???
PE_total_traditional,R12_FSU,broadcast,R12_FSU,loil_piped_exp_chn,broadcast,M1,-1,???
PE_total_traditional,R12_FSU,broadcast,R12_FSU,loil_piped_exp_eeu,broadcast,M1,-1,???
PE_total_traditional,R12_FSU,broadcast,R12_FSU,loil_piped_exp_mea,broadcast,M1,-1,???
PE_total_traditional,R12_FSU,broadcast,R12_FSU,loil_piped_exp_pao,broadcast,M1,-1,???
PE_total_traditional,R12_FSU,broadcast,R12_FSU,loil_piped_exp_pas,broadcast,M1,-1,???
PE_total_traditional,R12_FSU,broadcast,R12_FSU,loil_piped_exp_sas,broadcast,M1,-1,???
PE_total_traditional,R12_FSU,broadcast,R12_FSU,loil_piped_exp_weu,broadcast,M1,-1,???
PE_total_traditional,R12_LAM,broadcast,R12_LAM,loil_piped_exp_nam,broadcast,M1,-1,???
PE_total_traditional,R12_MEA,broadcast,R12_MEA,loil_piped_exp_afr,broadcast,M1,-1,???
PE_total_traditional,R12_MEA,broadcast,R12_MEA,loil_piped_exp_eeu,broadcast,M1,-1,???
PE_total_traditional,R12_MEA,broadcast,R12_MEA,loil_piped_exp_fsu,broadcast,M1,-1,???
PE_total_traditional,R12_MEA,broadcast,R12_MEA,loil_piped_exp_sas,broadcast,M1,-1,???
PE_total_traditional,R12_MEA,broadcast,R12_MEA,loil_piped_exp_weu,broadcast,M1,-1,???
PE_total_traditional,R12_NAM,broadcast,R12_NAM,loil_piped_exp_lam,broadcast,M1,-1,???
PE_total_traditional,R12_PAO,broadcast,R12_PAO,loil_piped_exp_fsu,broadcast,M1,-1,???
PE_total_traditional,R12_PAS,broadcast,R12_PAS,loil_piped_exp_rcpa,broadcast,M1,-1,???
PE_total_traditional,R12_PAS,broadcast,R12_PAS,loil_piped_exp_chn,broadcast,M1,-1,???
PE_total_traditional,R12_PAS,broadcast,R12_PAS,loil_piped_exp_fsu,broadcast,M1,-1,???
PE_total_traditional,R12_PAS,broadcast,R12_PAS,loil_piped_exp_pao,broadcast,M1,-1,???
PE_total_traditional,R12_SAS,broadcast,R12_SAS,loil_piped_exp_fsu,broadcast,M1,-1,???
PE_total_traditional,R12_SAS,broadcast,R12_SAS,loil_piped_exp_mea,broadcast,M1,-1,???
PE_total_traditional,R12_SAS,broadcast,R12_SAS,loil_piped_exp_pas,broadcast,M1,-1,???
PE_total_traditional,R12_WEU,broadcast,R12_WEU,loil_piped_exp_afr,broadcast,M1,-1,???
PE_total_traditional,R12_WEU,broadcast,R12_WEU,loil_piped_exp_eeu,broadcast,M1,-1,???
PE_total_traditional,R12_WEU,broadcast,R12_WEU,loil_piped_exp_fsu,broadcast,M1,-1,???
PE_total_traditional,R12_WEU,broadcast,R12_WEU,loil_piped_exp_mea,broadcast,M1,-1,???
