relation,node_rel,year_rel,node_loc,technology,year_act,mode,value,unit
loil_piped_imp_to_mea,R12_MEA,broadcast,R12_MEA,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_weu,R12_WEU,broadcast,R12_WEU,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_fsu,R12_FSU,broadcast,R12_FSU,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_rcpa,R12_RCPA,broadcast,R12_RCPA,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_chn,R12_CHN,broadcast,R12_CHN,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_eeu,R12_EEU,broadcast,R12_EEU,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_pao,R12_PAO,broadcast,R12_PAO,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_pas,R12_PAS,broadcast,R12_PAS,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_sas,R12_SAS,broadcast,R12_SAS,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_nam,R12_NAM,broadcast,R12_NAM,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_afr,R12_AFR,broadcast,R12_AFR,loil_piped_imp,broadcast,M1,1,???
loil_piped_imp_to_lam,R12_LAM,broadcast,R12_LAM,loil_piped_imp,broadcast,M1,1,???
