node_loc,technology,year_vtg,year_act,value,unit
R12_AFR,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_FSU,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_LAM,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_MEA,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_NAM,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_PAO,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_PAS,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_SAS,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
R12_WEU,oil_tanker_loil,broadcast,broadcast,0.04,USD/Mt-km
