node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,value,unit
R12_AFR,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_RCPA,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_CHN,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_EEU,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_FSU,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_LAM,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_MEA,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_NAM,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_PAO,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_PAS,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_SAS,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_WEU,oil_tanker_loil,broadcast,broadcast,M1,R12_GLB,oil_tanker_capacity,shipped,year,year,1,Mt-km
R12_AFR,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_RCPA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_CHN,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_EEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_FSU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_LAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_MEA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_NAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_PAO,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_PAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_SAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
R12_WEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,1,GWa
