model,scenario,node,variable,unit,sensitivity,output_2020,output_2025,output_2030,output_2035,output_2040,output_2045,output_2050,output_2055,output_2060,output_2065,output_2070,output_2075,output_2080,output_2085,output_2090,output_2095,output_2100,output_2110
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Bridges|Aluminum,Mt/yr,high,.000071800001,.000073900002,.000111385,.000161031,.000205323,.000241238,.00029527,.00035886301,.00043061899,.00043061899,.00043061899,.00043061899,.00043061899,.00043061899,.00043061899,.00043061899,.00043061899,.00043061899
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Bridges|Asphalt,Mt/yr,high,.78422034,.861633,1.2160717,1.6997411,2.1851659,2.6420615,3.2692788,4.0158324,4.8782907,4.8782907,4.8782907,4.8782907,4.8782907,4.8782907,4.8782907,4.8782907,4.8782907,4.8782907
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Bridges|Concrete,Mt/yr,high,2.3585916,2.4295325,3.6595428,5.2906275,6.7458363,7.9258361,9.7010298,11.790367,14.147901,14.147901,14.147901,14.147901,14.147901,14.147901,14.147901,14.147901,14.147901,14.147901
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Bridges|Iron_steel,Mt/yr,high,.62085551,.63952941,.96330684,1.3926595,1.7757163,2.0863295,2.5536163,3.1035957,3.7241726,3.7241726,3.7241726,3.7241726,3.7241726,3.7241726,3.7241726,3.7241726,3.7241726,3.7241726
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Buildings|Aluminum,Mt/yr,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Buildings|Concrete,Mt/yr,high,.75053781,.77692139,1.1644691,1.6793525,2.1425323,2.5225935,3.0901024,3.7586296,4.5143924,4.5143924,4.5143924,4.5143924,4.5143924,4.5143924,4.5143924,4.5143924,4.5143924,4.5143924
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Buildings|Iron_steel,Mt/yr,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Charging stations|Aluminum,Mt/yr,high,9.0599997e-08,1.0300000e-07,1.4000000e-07,1.9200000e-07,2.4900001e-07,3.0600000e-07,3.7999999e-07,4.7000000e-07,5.7400001e-07,5.7400001e-07,5.7400001e-07,5.7400001e-07,5.7400001e-07,5.7400001e-07,5.7400001e-07,5.7400001e-07,5.7400001e-07,5.7400001e-07
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Charging stations|Concrete,Mt/yr,high,.000014,.000015899999,.0000217,.0000298,.000038499998,.0000473,.000058900001,.000072700001,.0000889,.0000889,.0000889,.0000889,.0000889,.0000889,.0000889,.0000889,.0000889,.0000889
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Charging stations|Iron_steel,Mt/yr,high,2.3400000e-06,2.6499999e-06,3.6199999e-06,4.9700002e-06,6.4100000e-06,7.8800003e-06,9.8099999e-06,.0000121,.0000148,.0000148,.0000148,.0000148,.0000148,.0000148,.0000148,.0000148,.0000148,.0000148
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Fuel stations|Aluminum,Mt/yr,high,.00012559,.000136373,.00019476999,.00027398701,.00035167899,.000422913,.00052225002,.00064025202,.000776014,.000776014,.000776014,.000776014,.000776014,.000776014,.000776014,.000776014,.000776014,.000776014
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Fuel stations|Concrete,Mt/yr,high,.46901637,.50928497,.72737181,1.0232093,1.3133495,1.5793728,1.9503491,2.3910291,2.8980336,2.8980336,2.8980336,2.8980336,2.8980336,2.8980336,2.8980336,2.8980336,2.8980336,2.8980336
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Fuel stations|Iron_steel,Mt/yr,high,.018737329,.020346072,.0290587,.040877488,.052468665,.063096367,.077916972,.095522255,.11577722,.11577722,.11577722,.11577722,.11577722,.11577722,.11577722,.11577722,.11577722,.11577722
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Parking|Aluminum,Mt/yr,high,.00032754001,.00034139099,.00050815102,.000730303,.00093250599,.00110117,.00135044,.001644441,.001977673,.001977673,.001977673,.001977673,.001977673,.001977673,.001977673,.001977673,.001977673,.001977673
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Parking|Asphalt,Mt/yr,high,.63196844,.69134694,.9800179,1.3730603,1.7641547,2.1287429,2.6321251,3.2308447,3.921474,3.921474,3.921474,3.921474,3.921474,3.921474,3.921474,3.921474,3.921474,3.921474
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Parking|Concrete,Mt/yr,high,1.1001513,1.1466749,1.7067957,2.4529657,3.1321325,3.698647,4.5359039,5.523406,6.6426778,6.6426778,6.6426778,6.6426778,6.6426778,6.6426778,6.6426778,6.6426778,6.6426778,6.6426778
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Parking|Iron_steel,Mt/yr,high,.013134216,.01368964,.020376671,.029284863,.03739313,.044156495,.054152131,.065941475,.079303965,.079303965,.079303965,.079303965,.079303965,.079303965,.079303965,.079303965,.079303965,.079303965
