# Data on GDP per capita under SSP2 scenario
#
# This data was directly copied from the "GDP per Capita" sheet in https://github.com/iiasa/message_data/blob/dev/data/model/investment_cost/SSP2_techinput.xlsx
# Based on the source provided in the spreadsheet, this seems to have been taken from an older version of the SSP database (v0.9.3)
Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD Env-Growth,SSP2_v9_130325,R11AFR,GDP|PPP per capita,billion US$2005/yr / million,1.549352262,1.743882122,1.995983842,2.297690299,2.725814679,3.238279014,3.838748269,4.531326487,5.391055082,6.46091014,7.781359555,9.41956062,11.4215205,13.81854143,16.64811869,19.9411129,23.72210916,28.01725973,32.85640243,38.24051034,44.16111017
OECD Env-Growth,SSP2_v9_130325,R11CPA,GDP|PPP per capita,billion US$2005/yr / million,2.708875744,4.112901079,6.678358764,9.86555667,14.18989557,18.77564601,23.13550957,27.05495733,30.87488562,34.66990877,38.23686691,41.54832132,44.95908087,48.45488081,52.01146123,55.54070856,59.23450963,62.97068065,66.78450975,70.64976026,74.57154937
OECD Env-Growth,SSP2_v9_130325,R11EEU,GDP|PPP per capita,billion US$2005/yr / million,10.31530922,12.87307521,14.95213152,16.95341583,19.79885436,22.7273271,25.78339544,28.96622564,32.16816892,35.23148856,38.26006798,41.37422871,44.85847782,48.81839099,53.08938684,57.44776264,61.88451451,66.40177844,71.05529944,75.95975033,81.19302687
OECD Env-Growth,SSP2_v9_130325,R11FSU,GDP|PPP per capita,billion US$2005/yr / million,6.007114653,8.432759167,10.2341646,12.52159857,15.17525319,18.18793525,21.37925876,24.53220206,27.48658382,30.09407144,32.40208599,34.82958464,37.80095567,41.10590648,44.52494506,47.85531065,51.18717281,54.64897929,58.31839508,62.18379504,66.12450481
OECD Env-Growth,SSP2_v9_130325,R11LAM,GDP|PPP per capita,billion US$2005/yr / million,8.192959284,8.717269573,9.984726407,11.45443954,13.22579486,15.05018664,16.93263426,18.89396439,21.0182644,23.33081087,25.86530395,28.6707768,31.74571926,35.08064278,38.67836531,42.58695033,46.80246731,51.33380521,56.19152376,61.37883815,66.88364817
OECD Env-Growth,SSP2_v9_130325,R11MEA,GDP|PPP per capita,billion US$2005/yr / million,7.00055933,7.794248947,8.761779883,9.777929935,11.31162966,12.99375607,14.84699171,16.73127284,18.69178785,20.70486572,22.7898162,25.0761953,27.65424084,30.54021708,33.67084083,37.04230691,40.69310739,44.64516408,48.92112718,53.50760058,58.3709393
OECD Env-Growth,SSP2_v9_130325,R11NAM,GDP|PPP per capita,billion US$2005/yr / million,38.76291024,41.53008096,41.2286658,44.64885374,49.43060203,53.24547011,56.46813653,59.28140449,61.87643207,64.2645396,66.33840114,68.34718701,70.44840308,72.75805285,75.05608958,77.35307806,79.86267721,82.43059638,85.07662191,87.8400429,90.74150825
OECD Env-Growth,SSP2_v9_130325,R11PAO,GDP|PPP per capita,billion US$2005/yr / million,28.94805771,30.95611902,31.37500979,33.50768456,35.79090535,38.40113901,41.02975807,43.45503016,45.838259,48.48544092,51.20220876,54.14889822,57.44927133,61.09511766,65.04925513,69.16866201,73.47486894,78.11399664,83.1273194,88.5568446,94.3997436
OECD Env-Growth,SSP2_v9_130325,R11PAS,GDP|PPP per capita,billion US$2005/yr / million,5.104102482,6.032120269,8.159771724,9.730506912,11.78031541,13.97451326,16.22680651,18.55602038,21.07035167,23.73787064,26.55531993,29.58205971,32.79985402,36.2626011,39.9530495,43.88035951,48.06821333,52.48252351,57.12740145,62.00368096,67.12793391
OECD Env-Growth,SSP2_v9_130325,R11SAS,GDP|PPP per capita,billion US$2005/yr / million,1.608239692,2.018294752,2.737935629,3.457864337,4.460669727,5.656975005,6.981887365,8.437479843,10.07889531,11.89015951,13.88268754,16.09570235,18.5715254,21.3137576,24.30303526,27.53395118,31.01680912,34.76396332,38.79605867,43.13247627,47.71524449
OECD Env-Growth,SSP2_v9_130325,R11WEU,GDP|PPP per capita,billion US$2005/yr / million,26.09284489,27.72972812,28.10125353,29.64624669,31.87273724,34.00293139,36.23133689,38.66682598,41.42902724,44.3984995,47.51781247,50.89274941,54.64676526,58.74483771,63.05327065,67.48057209,72.09875519,76.92524686,82.02684365,87.44371042,93.20594029
