message_technology,reg_diff_source,reg_diff_technology,base_year_reference_region_cost,fix_ratio,first_year_original
CH2O_synth,"","",,,
CH2O_to_resin,"","",,,
DUMMY_alumina_supply,"","",,,
DUMMY_coal_supply,"","",,,
DUMMY_gas_supply,"","",,,
DUMMY_limestone_supply_cement,"","",,,
DUMMY_limestone_supply_steel,"","",,,
DUMMY_ore_supply,"","",,,
MTO_petro,intratec,"",870.3849175,0.037,2020
NH3_to_N_fertil,"","",2537.625418,0.04,1995
agg_ref,"","",,,
atm_distillation_ref,"","",30.25954286,0.021,1980
bf_steel,"","",90.65,0.1,1990
biomass_NH3,energy,igcc,3646.957331,0.036,1995
biomass_NH3_ccs,energy,igcc,3876.680306,0.038,1995
bof_steel,"","",160.71,0.089,1990
catalytic_cracking_ref,"","",181.5572571,0.022,1980
catalytic_reforming_ref,"","",181.5572571,0.003,1980
clinker_dry_ccs_cement,"","",180,0.167,1980
clinker_dry_cement,"","",131.5,0.001,1980
clinker_wet_ccs_cement,"","",180,0.167,1980
clinker_wet_cement,"","",131.5,0.001,1980
coal_NH3,energy,igcc,2917.565865,0.036,1995
coal_NH3_ccs,energy,igcc,3087.128546,0.038,1995
cokeoven_steel,"","",21.51,0.001,1990
coking_ref,"","",235.4813143,0.021,1980
dheat_aluminum,energy,heat_i,27.69,0.271,2030
dheat_cement,energy,heat_i,27.69,0.271,2030
dheat_petro,energy,heat_i,27.69,0.271,2030
dheat_refining,energy,heat_i,27.69,0.271,2030
dheat_resins,energy,heat_i,27.69,0.271,2030
dheat_steel,energy,heat_i,27.69,0.271,2030
dri_steel,"","",145,0,1990
eaf_steel,"","",107.6768,0.496,1990
electr_NH3,"","",3824.857689,0.04,1995
ethanol_to_ethylene_petro,"","",1176.470588,0.025,1980
export_NFert,"","",500,0,2005
export_NH3,"","",500,0,2005
export_aluminum,"","",500,0,1985
export_petro,"","",250,0,1980
export_steel,"","",250,0,1990
fc_h2_aluminum,energy,h2_fc_I,1909,0,2030
fc_h2_cement,energy,h2_fc_I,1909,0,2030
fc_h2_petro,energy,h2_fc_I,1909,0,2030
fc_h2_refining,energy,h2_fc_I,1909,0,2030
fc_h2_resins,energy,h2_fc_I,1909,0,2030
fc_h2_steel,energy,h2_fc_I,1909,0,2030
feedstock_t/d,"","",,,
finishing_aluminum,"","",,,
finishing_steel,"","",228.92,0.1,1990
fueloil_NH3,energy,igcc,3282.261598,0.036,1995
fueloil_NH3_ccs,energy,igcc,3473.019614,0.038,1995
furnace_biomass_aluminum,energy,biomass_i,154.32,0.267,1980
furnace_biomass_cement,energy,biomass_i,154.32,0.267,1980
furnace_biomass_petro,energy,biomass_i,154.32,0.267,1980
furnace_biomass_refining,energy,biomass_i,154.32,0.267,1980
furnace_biomass_resins,energy,biomass_i,154.32,0.267,1980
furnace_biomass_steel,energy,biomass_i,154.32,0.267,1980
