node_loc,technology,year_act,time,value,unit
R12_WEU,crudeoil_piped_exp_afr,broadcast,year,-0.05,GWa
R12_WEU,crudeoil_piped_exp_eeu,broadcast,year,-0.05,GWa
R12_WEU,crudeoil_piped_exp_fsu,broadcast,year,-0.05,GWa
R12_WEU,crudeoil_piped_exp_mea,broadcast,year,-0.05,GWa
R12_SAS,crudeoil_piped_exp_fsu,broadcast,year,-0.05,GWa
R12_SAS,crudeoil_piped_exp_mea,broadcast,year,-0.05,GWa
R12_SAS,crudeoil_piped_exp_pas,broadcast,year,-0.05,GWa
R12_PAS,crudeoil_piped_exp_rcpa,broadcast,year,-0.05,GWa
R12_PAS,crudeoil_piped_exp_chn,broadcast,year,-0.05,GWa
R12_PAS,crudeoil_piped_exp_fsu,broadcast,year,-0.05,GWa
R12_NAM,crudeoil_piped_exp_lam,broadcast,year,-0.05,GWa
R12_MEA,crudeoil_piped_exp_afr,broadcast,year,-0.05,GWa
R12_MEA,crudeoil_piped_exp_eeu,broadcast,year,-0.05,GWa
R12_MEA,crudeoil_piped_exp_fsu,broadcast,year,-0.05,GWa
R12_MEA,crudeoil_piped_exp_sas,broadcast,year,-0.05,GWa
R12_MEA,crudeoil_piped_exp_weu,broadcast,year,-0.05,GWa
R12_LAM,crudeoil_piped_exp_nam,broadcast,year,-0.05,GWa
R12_FSU,crudeoil_piped_exp_rcpa,broadcast,year,-0.05,GWa
R12_FSU,crudeoil_piped_exp_chn,broadcast,year,-0.05,GWa
R12_FSU,crudeoil_piped_exp_eeu,broadcast,year,-0.05,GWa
R12_FSU,crudeoil_piped_exp_mea,broadcast,year,-0.05,GWa
R12_FSU,crudeoil_piped_exp_pas,broadcast,year,-0.05,GWa
R12_FSU,crudeoil_piped_exp_sas,broadcast,year,-0.05,GWa
R12_FSU,crudeoil_piped_exp_weu,broadcast,year,-0.05,GWa
R12_EEU,crudeoil_piped_exp_fsu,broadcast,year,-0.05,GWa
R12_EEU,crudeoil_piped_exp_weu,broadcast,year,-0.05,GWa
R12_CHN,crudeoil_piped_exp_fsu,broadcast,year,-0.05,GWa
R12_AFR,crudeoil_piped_exp_mea,broadcast,year,-0.05,GWa
R12_AFR,crudeoil_piped_exp_weu,broadcast,year,-0.05,GWa
R12_AFR,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_EEU,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_FSU,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_MEA,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_PAS,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_RCPA,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_CHN,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_LAM,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_SAS,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_WEU,crudeoil_piped_imp,broadcast,year,-0.05,GWa
R12_NAM,crudeoil_piped_imp,broadcast,year,-0.05,GWa
