"code","msg_reg","xval","avgIC"
"ensemble_2p6_2030-2070","WEU",0,1549.22436590406
"ensemble_2p6_2030-2070","WEU",17.1515,1549.22436590406
"ensemble_2p6_2030-2070","WEU",28.146,3489.61993581225
"ensemble_2p6_2030-2070","WEU",33.4233,6067.60959424781
"ensemble_2p6_2030-2070","WEU",37.8212,9376.24966206435
"ensemble_2p6_2030-2070","WEU",40.0201,12949.2143869616
"ensemble_2p6_2030-2070","WEU",42.219,17958.4915191969
"ensemble_2p6_2030-2070","WEU",43.0985,25145.1933320216
"ensemble_2p6_2030-2070","WEU",43.9781,34143.8432059803
"ensemble_2p6_2071-2100","WEU",0,1564.32695978724
"ensemble_2p6_2071-2100","WEU",17.9001,1564.32695978724
"ensemble_2p6_2071-2100","WEU",29.5351,3604.75116113141
"ensemble_2p6_2071-2100","WEU",34.9052,6510.81779391423
"ensemble_2p6_2071-2100","WEU",38.9327,9868.60609435298
"ensemble_2p6_2071-2100","WEU",41.6177,13736.7599215294
"ensemble_2p6_2071-2100","WEU",43.4077,19939.2635737889
"ensemble_2p6_2071-2100","WEU",43.8552,25886.0058935595
"ensemble_2p6_2071-2100","WEU",44.7502,36075.7369248605
"ensemble_6p0_2030-2070","WEU",0,1592.41157729012
"ensemble_6p0_2030-2070","WEU",18.0259,1592.41157729012
"ensemble_6p0_2030-2070","WEU",29.4569,3735.24095981573
"ensemble_6p0_2030-2070","WEU",35.1725,7034.48139672969
"ensemble_6p0_2030-2070","WEU",38.6897,10445.3634009271
"ensemble_6p0_2030-2070","WEU",40.888,14445.3287732735
"ensemble_6p0_2030-2070","WEU",42.6466,20650.3911643595
"ensemble_6p0_2030-2070","WEU",43.0863,26300.6266314071
"ensemble_6p0_2030-2070","WEU",43.9656,34505.4811344968
"ensemble_6p0_2071-2100","WEU",0,1723.1793564899
"ensemble_6p0_2071-2100","WEU",18.3074,1723.1793564899
"ensemble_6p0_2071-2100","WEU",27.6646,4098.22530112662
"ensemble_6p0_2071-2100","WEU",32.5465,7456.16021452933
"ensemble_6p0_2071-2100","WEU",35.8012,11169.2580280559
"ensemble_6p0_2071-2100","WEU",38.2422,15842.7612195295
"ensemble_6p0_2071-2100","WEU",39.0559,21463.3905422896
"ensemble_6p0_2071-2100","WEU",39.8695,26584.5653989899
"ensemble_6p0_2071-2100","WEU",40.6832,42094.9608037201
"ensemble_hist_historical","WEU",0,1635.56535056406
"ensemble_hist_historical","WEU",18.7435,1635.56535056406
"ensemble_hist_historical","WEU",28.7691,3750.50189032144
"ensemble_hist_historical","WEU",33.5639,6512.87518716573
"ensemble_hist_historical","WEU",38.3587,10035.4960193358
"ensemble_hist_historical","WEU",40.9741,14816.7842028552
"ensemble_hist_historical","WEU",41.8459,20269.4321636458
"ensemble_hist_historical","WEU",42.7177,23959.4575559648
"ensemble_hist_historical","WEU",43.5895,36192.4000676625
"GFDL-ESM2M_2p6_2030-2070","WEU",0,1599.11353102738
"GFDL-ESM2M_2p6_2030-2070","WEU",17.8693,1599.11353102738
"GFDL-ESM2M_2p6_2030-2070","WEU",28.7652,3691.19919759148
"GFDL-ESM2M_2p6_2030-2070","WEU",33.9952,6613.78733210595
"GFDL-ESM2M_2p6_2030-2070","WEU",37.4819,9735.43117068057
"GFDL-ESM2M_2p6_2030-2070","WEU",40.0969,13552.4649529772
"GFDL-ESM2M_2p6_2030-2070","WEU",41.8403,19053.1830290348
"GFDL-ESM2M_2p6_2030-2070","WEU",42.712,26086.5116511841
"GFDL-ESM2M_2p6_2030-2070","WEU",43.5836,35890.5255792726
"GFDL-ESM2M_2p6_2071-2100","WEU",0,1506.48053808935
"GFDL-ESM2M_2p6_2071-2100","WEU",16.8254,1506.48053808935
"GFDL-ESM2M_2p6_2071-2100","WEU",28.3376,3375.82162772008
"GFDL-ESM2M_2p6_2071-2100","WEU",34.9792,6358.28472194288
"GFDL-ESM2M_2p6_2071-2100","WEU",38.5214,10087.7458170038
"GFDL-ESM2M_2p6_2071-2100","WEU",41.6208,14115.9782150367
"GFDL-ESM2M_2p6_2071-2100","WEU",42.5063,19426.6268141258
"GFDL-ESM2M_2p6_2071-2100","WEU",43.3919,23861.8772546849
"GFDL-ESM2M_2p6_2071-2100","WEU",44.2774,36320.500287344
"GFDL-ESM2M_6p0_2030-2070","WEU",0,1544.7758625538
"GFDL-ESM2M_6p0_2030-2070","WEU",16.1575,1544.7758625538
"GFDL-ESM2M_6p0_2030-2070","WEU",27.2126,3488.33605026314
"GFDL-ESM2M_6p0_2030-2070","WEU",31.8897,6155.19509560563
"GFDL-ESM2M_6p0_2030-2070","WEU",36.1417,9121.5059891544
"GFDL-ESM2M_6p0_2030-2070","WEU",39.1181,13716.1776723217
"GFDL-ESM2M_6p0_2030-2070","WEU",40.8188,19601.0034863232
"GFDL-ESM2M_6p0_2030-2070","WEU",41.6692,26575.976388661
"GFDL-ESM2M_6p0_2030-2070","WEU",42.5196,36522.4387294581
