"code","msg_reg","xval","avgIC"
"ensemble_2p6_2030-2070","LAM",0,861.410723504451
"ensemble_2p6_2030-2070","LAM",38158.0283,861.410723504451
"ensemble_2p6_2030-2070","LAM",59838.7261,1963.96260512413
"ensemble_2p6_2030-2070","LAM",71112.689,3977.34035614572
"ensemble_2p6_2030-2070","LAM",74581.6007,6356.8825121256
"ensemble_2p6_2030-2070","LAM",78050.5123,8113.1896578606
"ensemble_2p6_2030-2070","LAM",81519.424,11150.9612398682
"ensemble_2p6_2030-2070","LAM",84988.3357,17341.7552475177
"ensemble_2p6_2030-2070","LAM",86722.7915,148276.73160376
"ensemble_2p6_2071-2100","LAM",0,857.751657933783
"ensemble_2p6_2071-2100","LAM",38104.3157,857.751657933783
"ensemble_2p6_2071-2100","LAM",58022.4807,1882.5258212727
"ensemble_2p6_2071-2100","LAM",72744.6026,4135.50938389838
"ensemble_2p6_2071-2100","LAM",77074.6385,7633.58619547097
"ensemble_2p6_2071-2100","LAM",81404.6743,10624.8550602805
"ensemble_2p6_2071-2100","LAM",84002.6959,15683.5049820568
"ensemble_2p6_2071-2100","LAM",84868.703,20235.7697832858
"ensemble_2p6_2071-2100","LAM",86600.7174,86871.4417977665
"ensemble_6p0_2030-2070","LAM",0,852.502234455854
"ensemble_6p0_2030-2070","LAM",38007.4468,852.502234455854
"ensemble_6p0_2030-2070","LAM",57874.9758,1895.63861291233
"ensemble_6p0_2030-2070","LAM",65649.2263,3335.65745907004
"ensemble_6p0_2030-2070","LAM",73423.4767,5168.81903593892
"ensemble_6p0_2030-2070","LAM",79470.116,8586.38719852208
"ensemble_6p0_2030-2070","LAM",82925.3384,13451.4368297146
"ensemble_6p0_2030-2070","LAM",84652.9496,17912.9128897381
"ensemble_6p0_2030-2070","LAM",86380.5609,73004.4411804698
"ensemble_6p0_2071-2100","LAM",0,839.683764667088
"ensemble_6p0_2071-2100","LAM",38952.7726,839.683764667088
"ensemble_6p0_2071-2100","LAM",60199.7395,1894.83940391852
"ensemble_6p0_2071-2100","LAM",69937.9326,3597.9514165604
"ensemble_6p0_2071-2100","LAM",76134.9646,5625.45034831884
"ensemble_6p0_2071-2100","LAM",83217.2869,9250.02575379276
"ensemble_6p0_2071-2100","LAM",84987.8675,14331.6391160477
