"code","msg_reg","xval","avgIC"
"ensemble_2p6_2030-2070","RCPA",0,1963.27092119375
"ensemble_2p6_2030-2070","RCPA",1996.5613,1963.27092119375
"ensemble_2p6_2030-2070","RCPA",2693.0362,3358.57763646059
"ensemble_2p6_2030-2070","RCPA",3157.3528,5035.60393764293
"ensemble_2p6_2030-2070","RCPA",3760.9643,7354.69068696097
"ensemble_2p6_2030-2070","RCPA",4132.4176,10667.9923379164
"ensemble_2p6_2030-2070","RCPA",4457.4392,14455.8522375499
"ensemble_2p6_2030-2070","RCPA",4550.3025,19571.5053463269
"ensemble_2p6_2030-2070","RCPA",4643.1658,26597.4145566005
"ensemble_2p6_2071-2100","RCPA",0,1912.82219561708
"ensemble_2p6_2071-2100","RCPA",1675.045,1912.82219561708
"ensemble_2p6_2071-2100","RCPA",2716.2892,3342.80445657481
"ensemble_2p6_2071-2100","RCPA",3214.2756,5609.86067912896
"ensemble_2p6_2071-2100","RCPA",3666.9905,7740.55525575297
"ensemble_2p6_2071-2100","RCPA",4164.9768,11335.3639967689
"ensemble_2p6_2071-2100","RCPA",4391.3343,16282.542664595
"ensemble_2p6_2071-2100","RCPA",4436.6058,19905.409471893
"ensemble_2p6_2071-2100","RCPA",4527.1487,28131.6652551692
"ensemble_6p0_2030-2070","RCPA",0,1852.73611286055
"ensemble_6p0_2030-2070","RCPA",1620.7624,1852.73611286055
"ensemble_6p0_2030-2070","RCPA",2685.8348,3139.86498621521
"ensemble_6p0_2030-2070","RCPA",3565.6772,5937.44064193967
"ensemble_6p0_2030-2070","RCPA",3936.1372,9248.1846366608
"ensemble_6p0_2030-2070","RCPA",4213.9822,11992.8087431747
"ensemble_6p0_2030-2070","RCPA",4399.2121,14622.2888223476
"ensemble_6p0_2030-2070","RCPA",4538.1346,18448.1031740234
"ensemble_6p0_2030-2070","RCPA",4630.7496,52937.7549118512
"ensemble_6p0_2071-2100","RCPA",0,1867.72942422702
"ensemble_6p0_2071-2100","RCPA",1932.031,1867.72942422702
"ensemble_6p0_2071-2100","RCPA",2849.7458,3244.76028181898
"ensemble_6p0_2071-2100","RCPA",3429.3551,5331.52291269642
