region,technology,parameter,Unit,value,availability,Description,Source
R12_LAM,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.919,1985,,
R12_EEU,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.919,1985,,
R12_AFR,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.919,1985,,
R12_FSU,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.919,1985,,
R12_WEU,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.94,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),
R12_PAS,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.919,1985,,
R12_SAS,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.65,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_PAO,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.94,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_NAM,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.94,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_MEA,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.65,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_CHN,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.919,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_RCPA,soderberg_aluminum,input|electr|final,GWyr/MtonAl,1.919,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_RCPA,soderberg_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_RCPA,soderberg_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,to match the final energy they are assumed less efficient (1.65 - 1.940),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_SAS,prebake_aluminum,input|electr|final,GWyr/MtonAl,1.47,1985,to match the final energy they are assumed less efficient based on the range provided by IEA (1.47 - 1.76),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_PAS,prebake_aluminum,input|electr|final,GWyr/MtonAl,1.63,1985,to match the final energy they are assumed less efficient based on the range provided by IEA (1.47 - 1.76),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_LAM,prebake_aluminum,input|electr|final,GWyr/MtonAl,1.63,1985,to match the final energy they are assumed less efficient based on the range provided by IEA (1.47 - 1.76),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_MEA,prebake_aluminum,input|electr|final,GWyr/MtonAl,1.47,1985,to match the final energy they are assumed less efficient based on the range provided by IEA (1.47 - 1.76),IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
