Model,Scenario,Region,Variable,Unit,Note,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100,Description,Source
MESSAGEix-GLOBIOM_1.0,,WEU,Capital Cost|Ammonia|Biomass,USD2005/tNH3/yr,,,3646.9573311125264,,Verified,,,,,,,,,,,,"50 MW biomass gasification plant, original data provided in 2011 prices corrected with World Bank GDP deflator for USA to 2005 USD (https://data.worldbank.org/indicator/NY.GDP.DEFL.ZS.AD?locations=US)","Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,OM Cost|Fixed|Ammonia|Biomass,USD2005/(tNH3/yr)/yr,,,145.87829324450107,,Derived,,,,,,,,,,,,4% of capital costs,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,OM Cost|Variable|Ammonia|Biomass,USD2005/tNH3,,,0.0,,Constant,,,,,,,,,,,,,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,Lifetime|Ammonia|Biomass,year,,,15.0,,Assumed,,,,,,,,,,,,"50 MW biomass gasification plant, economic lifetime","Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Biomass|Mode1|Biomass,GJ/tNH3,,,50.17301038062284,,Dummy,,,,,,,,,,,,50 MW biomass gasification plant,"Table 4, Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Biomass|Mode1|Electricity,GJ/tNH3,,,7.826989619377162,,,,,,,,,,,,,,50 MW biomass gasification plant,"Table 4, Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Biomass|Mode1|Water,t/tNH3,,,2.1045296167247387,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Biomass|Mode1|Ammonia,tNH3,,,1.0,,,,,,,,,,,,,,,
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Biomass|Mode1|Wastewater,t/tNH3,,,2.0452961672473866,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Biomass|Mode1|Heat,GJ/tNH3,,,16.936,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Emission Factor|Ammonia|Biomass|Mode1|CO2,tCO2/tNH3,,,0.0,,,,,,,,,,,,,,biomass emissions balanced in land-use model,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,Capacity Factor|Ammonia|Biomass|Mode1,-,,,0.91324200913242,,,,,,,,,,,,,,8000 hours per year,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Capital Cost|Ammonia|Electricity,USD2005/tNH3/yr,,,3824.857688727772,,,,,,,,,,,,,,"10 MW electrolysis plant, original data provided in 2011 prices corrected with World Bank GDP deflator for USA to 2005 USD (https://data.worldbank.org/indicator/NY.GDP.DEFL.ZS.AD?locations=US)","Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
