Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_BL,AFR,Product Stock|Buildings|Residential|Informal Houses,m^2,2026080500,2245786455,2170433856,2214833507,2107637390,1997718994,1898392596,1734880675,1568693483,1259375943,984001416,626208637,223780740
MESSAGEix-buildings,SSP2_BL,AFR,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,620540460,813981440,1127740803,1384782819,1795978340,2203152394,2602602338,3069050236,3571355921,4638982401,5631087948,6535103883,7274421963
MESSAGEix-buildings,SSP2_BL,AFR,Product Stock|Buildings|Residential|Single-Family Houses,m^2,10965616356,14001761152,18103287320,21729320818,26616305626,31381111132,35957006741,40928784386,46022361693,56226929094,65127501392,72704802832,78450446271
MESSAGEix-buildings,SSP2_BL,CHN,Product Stock|Buildings|Residential|Informal Houses,m^2,3415845576,3042074611,2638209992,2224673956,1818650890,1431783729,1067919458,727128393,401037098,0,0,0,0
MESSAGEix-buildings,SSP2_BL,CHN,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,35259388568,37904020163,40161806710,41914193659,43097348057,43713191863,43789623682,43391352136,42613560898,40176048208,36927119134,33545099843,30507957991
MESSAGEix-buildings,SSP2_BL,CHN,Product Stock|Buildings|Residential|Single-Family Houses,m^2,16410044874,16560727188,16554495567,16378951119,16040140304,15561505818,14967337934,14288769385,13559161612,12050704547,10567690531,9219813409,8097194079
MESSAGEix-buildings,SSP2_BL,EEU,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,1498259982,1608989766,1711466715,1802742657,1883839208,1955681487,2017580985,2067725110,2104365901,2127026306,2102067969,2057222625,2000368369
MESSAGEix-buildings,SSP2_BL,EEU,Product Stock|Buildings|Residential|Single-Family Houses,m^2,2375817904,2440606441,2493526232,2532056684,2558998378,2576511837,2584440079,2581193233,2565278727,2486008862,2369564109,2247466726,2126644336
MESSAGEix-buildings,SSP2_BL,FSU,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,2973335242,3297704243,3611696855,3916191865,4213638968,4494334135,4750989192,4979027958,5179795466,5486143932,5667230971,5738110006,5725593918
MESSAGEix-buildings,SSP2_BL,FSU,Product Stock|Buildings|Residential|Single-Family Houses,m^2,3475130313,3699038395,3896517822,4071525603,4229185263,4362816180,4468059075,4543996284,4594624413,4622492142,4564749220,4444041510,4286750862
MESSAGEix-buildings,SSP2_BL,LAM,Product Stock|Buildings|Residential|Informal Houses,m^2,1114912839,1159948592,1177704662,1179760460,1156467679,1101165746,1010206697,899295567,778017013,472827602,251982429,85673059,1576714
MESSAGEix-buildings,SSP2_BL,LAM,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,777260068,906648649,1043490447,1181092461,1317223712,1448977127,1574039312,1685800118,1784717453,1942974013,2043781473,2089823889,2091551306
