scenario,R12,year,material,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
SH1,AFR,2020,aluminum,1489.97553546745,36.187301499818005,10.337532594374,3.0609066720627025,0.07521941272826756,0.021169354611787275
SH1,AFR,2020,cement,1489.97553546745,36.187301499818005,10.337532594374,214.16078100739153,5.1579146775636815,1.4891913914225052
SH1,AFR,2020,concrete,1489.97553546745,36.187301499818005,10.337532594374,1427.738540049277,34.38609785042454,9.927942609483368
SH1,AFR,2020,copper,1489.97553546745,36.187301499818005,10.337532594374,0.26675083531906857,0.00545907309524111,0.0019289251173391483
SH1,AFR,2020,glass,1489.97553546745,36.187301499818005,10.337532594374,8.196792815034534,0.19255485563354144,0.057370005593792614
SH1,AFR,2020,steel,1489.97553546745,36.187301499818005,10.337532594374,129.06662479122093,3.3177686229004064,0.8814284372695766
SH1,AFR,2020,wood,1489.97553546745,36.187301499818005,10.337532594374,68.72162514089018,1.7194639477284142,0.4729283415042263
SH1,AFR,2025,aluminum,1747.37488490069,62.94461258674801,11.4647427001,3.5942527761400256,0.1301695771487157,0.02350035633325096
SH1,AFR,2025,cement,1747.37488490069,62.94461258674801,11.4647427001,250.9323473284813,9.004765208187024,1.6504519439690633
SH1,AFR,2025,concrete,1747.37488490069,62.94461258674801,11.4647427001,1672.882315523209,60.03176805458017,11.003012959793756
SH1,AFR,2025,copper,1747.37488490069,62.94461258674801,11.4647427001,0.3075394236247784,0.01027065154456434,0.002112933883422392
SH1,AFR,2025,glass,1747.37488490069,62.94461258674801,11.4647427001,9.578958157660756,0.3398903458098984,0.06345727728465393
SH1,AFR,2025,steel,1747.37488490069,62.94461258674801,11.4647427001,152.31412356995818,5.631766919972343,0.9822671642248915
SH1,AFR,2025,wood,1747.37488490069,62.94461258674801,11.4647427001,80.85530217712687,2.95253355758459,0.5257981503372512
SH1,AFR,2030,aluminum,2419.39186723942,147.192200877538,12.788804409792,4.9827858427873055,0.3039515788336354,0.02624496550417946
SH1,AFR,2030,cement,2419.39186723942,147.192200877538,12.788804409792,347.129428418197,21.078967719404943,1.8395515014618142
SH1,AFR,2030,concrete,2419.39186723942,147.192200877538,12.788804409792,2314.1961894546466,140.52645146269964,12.263676676412096
SH1,AFR,2030,copper,2419.39186723942,147.192200877538,12.788804409792,0.41858388931344115,0.0245303926013409,0.002321499463608354
SH1,AFR,2030,glass,2419.39186723942,147.192200877538,12.788804409792,13.216639712649863,0.798095442265722,0.07055913126790042
SH1,AFR,2030,steel,2419.39186723942,147.192200877538,12.788804409792,212.190747638226,13.077401703244286,1.1020768895907265
SH1,AFR,2030,wood,2419.39186723942,147.192200877538,12.788804409792,112.30869401954735,6.878953972588947,0.5882756041048529
SH1,AFR,2035,aluminum,3633.38785919401,257.704531669982,14.905333279064,7.492126887838236,0.5324978383771661,0.030629629366980146
SH1,AFR,2035,cement,3633.38785919401,257.704531669982,14.905333279064,520.8615209909664,36.88837790248304,2.141959387929172
SH1,AFR,2035,concrete,3633.38785919401,257.704531669982,14.905333279064,3472.410139939776,245.92251934988695,14.279729252861145
SH1,AFR,2035,copper,3633.38785919401,257.704531669982,14.905333279064,0.6180694257531788,0.042555050356722246,0.002657943068774738
SH1,AFR,2035,glass,3633.38785919401,257.704531669982,14.905333279064,19.780958783733947,1.3947948504824406,0.08193103626562423
SH1,AFR,2035,steel,3633.38785919401,257.704531669982,14.905333279064,320.55802802648975,22.966502707696115,1.2930466300433594
SH1,AFR,2035,wood,3633.38785919401,257.704531669982,14.905333279064,169.18429131656902,12.063115289202388,0.6879958297980556
SH1,AFR,2040,aluminum,5615.0778769935205,415.179612019064,18.841608459162,11.591884161097084,0.8587270773590476,0.038775622707277864
SH1,AFR,2040,cement,5615.0778769935205,415.179612019064,18.841608459162,804.2791915890366,59.38832608032587,2.7047919607118143
SH1,AFR,2040,concrete,5615.0778769935205,415.179612019064,18.841608459162,5361.861277260245,395.92217386883914,18.03194640474543
SH1,AFR,2040,copper,5615.0778769935205,415.179612019064,18.841608459162,0.9395429264133548,0.067588229761717,0.0032935296296817884
SH1,AFR,2040,glass,5615.0778769935205,415.179612019064,18.841608459162,30.4697374220336,2.2408991666311917,0.1031434389712607
SH1,AFR,2040,steel,5615.0778769935205,415.179612019064,18.841608459162,498.20068568533435,37.17496595691363,1.646434425144705
SH1,AFR,2040,wood,5615.0778769935205,415.179612019064,18.841608459162,262.2319932141854,19.482505460520017,0.872965080996739
SH1,AFR,2045,aluminum,8601.19945356347,623.1515603991539,25.927245085164,17.776016694565307,1.2902621124767153,0.05343560578307047
SH1,AFR,2045,cement,8601.19945356347,623.1515603991539,25.927245085164,1231.0329210984592,89.06885891956682,3.7181130176823136
SH1,AFR,2045,concrete,8601.19945356347,623.1515603991539,25.927245085164,8206.886140656394,593.7923927971121,24.787420117882093
SH1,AFR,2045,copper,8601.19945356347,623.1515603991539,25.927245085164,1.416544025394245,0.09984193477416572,0.004441714977987675
SH1,AFR,2045,glass,8601.19945356347,623.1515603991539,25.927245085164,46.52876564942669,3.353159312857,0.14135366737838126
