TIME,R12,TECHNOLOGY,Value
1990,R12_AFR,sp_el_I,8.1861
1990,R12_AFR,sp_liq_I,0.7137
1990,R12_CHN,sp_el_I,21.6147
1990,R12_CHN,sp_liq_I,2.4858
1990,R12_EEU,sp_el_I,13.6902
1990,R12_EEU,sp_liq_I,2.0977
1990,R12_FSU,sp_el_I,47.3644
1990,R12_FSU,sp_liq_I,6.2217
1990,R12_LAM,sp_el_I,16.1154
1990,R12_LAM,sp_liq_I,2.5643
1990,R12_MEA,sp_el_I,6.3948
1990,R12_MEA,sp_liq_I,4.3852
1990,R12_NAM,sp_el_I,78.0757
1990,R12_NAM,sp_liq_I,11.6798
1990,R12_PAO,sp_el_I,32.2723
1990,R12_PAO,sp_liq_I,5.5418
1990,R12_PAS,sp_el_I,12.285
1990,R12_PAS,sp_liq_I,3.8076
1990,R12_RCPA,sp_el_I,1.4436
1990,R12_RCPA,sp_liq_I,0.1959
1990,R12_SAS,sp_el_I,10.5519
1990,R12_SAS,sp_liq_I,1.3508
1990,R12_WEU,sp_el_I,62.3596
1990,R12_WEU,sp_liq_I,5.3486
1995,R12_AFR,sp_el_I,8.0509
1995,R12_AFR,sp_liq_I,0.8283
1995,R12_CHN,sp_el_I,32.2453
1995,R12_CHN,sp_liq_I,3.1525
1995,R12_EEU,sp_el_I,8.7754
1995,R12_EEU,sp_liq_I,0.9459
1995,R12_FSU,sp_el_I,23.0144
1995,R12_FSU,sp_liq_I,3.3149
1995,R12_LAM,sp_el_I,19.9067
1995,R12_LAM,sp_liq_I,3.3086
1995,R12_MEA,sp_el_I,8.5912
1995,R12_MEA,sp_liq_I,3.9367
1995,R12_NAM,sp_el_I,92.4063
1995,R12_NAM,sp_liq_I,8.8765
1995,R12_PAO,sp_el_I,31.9221
1995,R12_PAO,sp_liq_I,6.212
1995,R12_PAS,sp_el_I,19.0185
1995,R12_PAS,sp_liq_I,4.7969
1995,R12_RCPA,sp_el_I,1.2891
1995,R12_RCPA,sp_liq_I,0.1586
1995,R12_SAS,sp_el_I,13.7257
1995,R12_SAS,sp_liq_I,1.9063
1995,R12_WEU,sp_el_I,64.7883
1995,R12_WEU,sp_liq_I,6.1269
2000,R12_AFR,sp_el_I,9.025
2000,R12_AFR,sp_liq_I,1.007
2000,R12_CHN,sp_el_I,40.5928
2000,R12_CHN,sp_liq_I,5.3088
2000,R12_EEU,sp_el_I,8.1186
2000,R12_EEU,sp_liq_I,0.8106
2000,R12_FSU,sp_el_I,19.7801
2000,R12_FSU,sp_liq_I,2.059
2000,R12_LAM,sp_el_I,24.9595
2000,R12_LAM,sp_liq_I,3.3479
2000,R12_MEA,sp_el_I,11.2292
2000,R12_MEA,sp_liq_I,4.7809
2000,R12_NAM,sp_el_I,101.5091
2000,R12_NAM,sp_liq_I,10.2119
2000,R12_PAO,sp_el_I,33.011
2000,R12_PAO,sp_liq_I,5.6585
2000,R12_PAS,sp_el_I,27.673
2000,R12_PAS,sp_liq_I,4.4213
2000,R12_RCPA,sp_el_I,1.5544
2000,R12_RCPA,sp_liq_I,0.3169
2000,R12_SAS,sp_el_I,16.0162
2000,R12_SAS,sp_liq_I,1.9798
2000,R12_WEU,sp_el_I,73.9433
2000,R12_WEU,sp_liq_I,6.6401
2005,R12_AFR,sp_el_I,9.9121
2005,R12_AFR,sp_liq_I,1.1602
2005,R12_CHN,sp_el_I,75.7279
2005,R12_CHN,sp_liq_I,6.4144
2005,R12_EEU,sp_el_I,8.9664
2005,R12_EEU,sp_liq_I,0.8129
2005,R12_FSU,sp_el_I,25.5912
2005,R12_FSU,sp_liq_I,1.74
2005,R12_LAM,sp_el_I,31.6286
2005,R12_LAM,sp_liq_I,3.7187
2005,R12_MEA,sp_el_I,13.696
2005,R12_MEA,sp_liq_I,5.5889
2005,R12_NAM,sp_el_I,82.5784
2005,R12_NAM,sp_liq_I,12.2296
2005,R12_PAO,sp_el_I,31.8918
2005,R12_PAO,sp_liq_I,5.0696
2005,R12_PAS,sp_el_I,34.955
2005,R12_PAS,sp_liq_I,5.7698
2005,R12_RCPA,sp_el_I,2.9275
2005,R12_RCPA,sp_liq_I,0.5611
2005,R12_SAS,sp_el_I,21.7252
2005,R12_SAS,sp_liq_I,1.8288
2005,R12_WEU,sp_el_I,79.179
2005,R12_WEU,sp_liq_I,6.647
2010,R12_AFR,sp_el_I,11.4728
2010,R12_AFR,sp_liq_I,1.6116
2010,R12_CHN,sp_el_I,125.4672
2010,R12_CHN,sp_liq_I,8.5528
2010,R12_EEU,sp_el_I,9.2434
2010,R12_EEU,sp_liq_I,0.5766
2010,R12_FSU,sp_el_I,22.9176
2010,R12_FSU,sp_liq_I,1.8666
2010,R12_LAM,sp_el_I,37.0328
2010,R12_LAM,sp_liq_I,4.5238
2010,R12_MEA,sp_el_I,18.6722
2010,R12_MEA,sp_liq_I,6.4544
2010,R12_NAM,sp_el_I,78.1289
2010,R12_NAM,sp_liq_I,12.902
2010,R12_PAO,sp_el_I,30.0677
2010,R12_PAO,sp_liq_I,3.6407
2010,R12_PAS,sp_el_I,41.5423
2010,R12_PAS,sp_liq_I,4.2862
2010,R12_RCPA,sp_el_I,4.7238
2010,R12_RCPA,sp_liq_I,0.6951
2010,R12_SAS,sp_el_I,24.9455
2010,R12_SAS,sp_liq_I,2.5266
2010,R12_WEU,sp_el_I,74.3625
2010,R12_WEU,sp_liq_I,5.2915
2015,R12_AFR,sp_el_I,10.1949
2015,R12_AFR,sp_liq_I,2.5277
2015,R12_CHN,sp_el_I,169.0203
2015,R12_CHN,sp_liq_I,6.8392
2015,R12_EEU,sp_el_I,10.7614
2015,R12_EEU,sp_liq_I,0.6141
2015,R12_FSU,sp_el_I,21.4074
2015,R12_FSU,sp_liq_I,2.7504
2015,R12_LAM,sp_el_I,39.4455
2015,R12_LAM,sp_liq_I,4.7173
2015,R12_MEA,sp_el_I,20.8243
2015,R12_MEA,sp_liq_I,6.2225
2015,R12_NAM,sp_el_I,72.3628
2015,R12_NAM,sp_liq_I,8.711
2015,R12_PAO,sp_el_I,27.8176
2015,R12_PAO,sp_liq_I,3.8879
2015,R12_PAS,sp_el_I,48.9018
2015,R12_PAS,sp_liq_I,7.0393
2015,R12_RCPA,sp_el_I,0.9612
2015,R12_RCPA,sp_liq_I,0.7565
2015,R12_SAS,sp_el_I,36.4546
2015,R12_SAS,sp_liq_I,2.6211
2015,R12_WEU,sp_el_I,72.6834
2015,R12_WEU,sp_liq_I,4.5085
2020,R12_AFR,sp_el_I,10.3129
2020,R12_AFR,sp_liq_I,2.3764
2020,R12_CHN,sp_el_I,212.99
2020,R12_CHN,sp_liq_I,4.7787
2020,R12_EEU,sp_el_I,11.6811
2020,R12_EEU,sp_liq_I,0.6492
2020,R12_FSU,sp_el_I,21.9053
2020,R12_FSU,sp_liq_I,3.3834
2020,R12_LAM,sp_el_I,39.3321
2020,R12_LAM,sp_liq_I,4.477
2020,R12_MEA,sp_el_I,24.7131
2020,R12_MEA,sp_liq_I,5.3224
2020,R12_NAM,sp_el_I,67.3167
2020,R12_NAM,sp_liq_I,10.2258
2020,R12_PAO,sp_el_I,26.4789
2020,R12_PAO,sp_liq_I,3.961
2020,R12_PAS,sp_el_I,55.419
2020,R12_PAS,sp_liq_I,4.6701
2020,R12_RCPA,sp_el_I,9.7759
2020,R12_RCPA,sp_liq_I,0.7207
2020,R12_SAS,sp_el_I,40.9281
2020,R12_SAS,sp_liq_I,3.0111
2020,R12_WEU,sp_el_I,70.9061
2020,R12_WEU,sp_liq_I,4.6246
