node_loc,year_act,0
R12_AFR,1990,9.884
R12_AFR,1995,11.42
R12_AFR,2000,11.729
R12_AFR,2005,11.084
R12_AFR,2010,10.884
R12_AFR,2015,11.361
R12_AFR,2020,12.689
R12_AFR,2025,13.329
R12_AFR,2030,13.948
R12_AFR,2035,14.621
R12_AFR,2040,15.547
R12_AFR,2045,16.768
R12_AFR,2050,18.355
R12_AFR,2055,20.395
R12_AFR,2060,23.025
R12_AFR,2070,30.756
R12_AFR,2080,43.522
R12_AFR,2090,64.893
R12_AFR,2100,101.725
R12_AFR,2110,173.554
R12_RCPA,1990,1.742
R12_RCPA,1995,2.379
R12_RCPA,2000,3.199
R12_RCPA,2005,4.516
R12_RCPA,2010,6.022
R12_RCPA,2015,8.072
R12_RCPA,2020,10.497
R12_RCPA,2025,13.219
R12_RCPA,2030,17.945
R12_RCPA,2035,22.837
R12_RCPA,2040,26.753
R12_RCPA,2045,29.785
R12_RCPA,2050,32.073
R12_RCPA,2055,33.834
R12_RCPA,2060,35.157
R12_RCPA,2070,36.571
R12_RCPA,2080,36.0
R12_RCPA,2090,34.186
R12_RCPA,2100,31.948
R12_RCPA,2110,29.724
R12_CHN,1990,-30.199
R12_CHN,1995,-14.327
R12_CHN,2000,4.08
R12_CHN,2005,35.692
R12_CHN,2010,97.426
R12_CHN,2015,161.203
R12_CHN,2020,217.769
R12_CHN,2025,280.327
R12_CHN,2030,328.031
R12_CHN,2035,361.746
R12_CHN,2040,377.075
R12_CHN,2045,386.7
R12_CHN,2050,390.825
R12_CHN,2055,388.282
R12_CHN,2060,383.647
R12_CHN,2070,364.223
R12_CHN,2080,327.139
R12_CHN,2090,285.049
R12_CHN,2100,243.586
R12_CHN,2110,204.163
R12_EEU,1990,16.507
R12_EEU,1995,15.238
R12_EEU,2000,14.205
R12_EEU,2005,13.551
R12_EEU,2010,13.007
R12_EEU,2015,12.578
R12_EEU,2020,12.33
R12_EEU,2025,12.41
R12_EEU,2030,12.452
R12_EEU,2035,12.461
R12_EEU,2040,12.465
R12_EEU,2045,12.444
R12_EEU,2050,12.439
R12_EEU,2055,12.457
R12_EEU,2060,12.508
R12_EEU,2070,12.694
R12_EEU,2080,12.94
R12_EEU,2090,13.319
R12_EEU,2100,13.894
R12_EEU,2110,14.659
R12_FSU,1990,37.544
R12_FSU,1995,37.042
R12_FSU,2000,32.88
R12_FSU,2005,29.476
R12_FSU,2010,27.595
R12_FSU,2015,26.38
R12_FSU,2020,25.289
R12_FSU,2025,23.929
R12_FSU,2030,23.398
R12_FSU,2035,23.153
R12_FSU,2040,23.077
R12_FSU,2045,23.137
R12_FSU,2050,23.318
R12_FSU,2055,23.656
R12_FSU,2060,24.218
R12_FSU,2070,25.962
R12_FSU,2080,28.513
R12_FSU,2090,32.227
R12_FSU,2100,37.518
R12_FSU,2110,45.239
R12_LAM,1990,30.682
R12_LAM,1995,34.397
R12_LAM,2000,36.257
R12_LAM,2005,39.136
R12_LAM,2010,45.383
R12_LAM,2015,48.731
R12_LAM,2020,43.809
R12_LAM,2025,50.77
R12_LAM,2030,54.925
R12_LAM,2035,60.914
R12_LAM,2040,68.103
R12_LAM,2045,76.214
R12_LAM,2050,84.863
R12_LAM,2055,93.754
R12_LAM,2060,102.558
R12_LAM,2070,119.474
R12_LAM,2080,133.497
R12_LAM,2090,143.505
R12_LAM,2100,149.754
R12_LAM,2110,155.623
R12_MEA,1990,14.032
R12_MEA,1995,15.379
R12_MEA,2000,17.636
R12_MEA,2005,21.822
R12_MEA,2010,26.314
R12_MEA,2015,29.34
R12_MEA,2020,30.035
R12_MEA,2025,34.217
R12_MEA,2030,39.183
R12_MEA,2035,44.547
R12_MEA,2040,50.357
R12_MEA,2045,56.437
R12_MEA,2050,62.831
R12_MEA,2055,69.74
R12_MEA,2060,77.288
R12_MEA,2070,93.946
R12_MEA,2080,112.151
R12_MEA,2090,132.885
R12_MEA,2100,157.383
R12_MEA,2110,190.455
R12_NAM,1990,148.964
R12_NAM,1995,132.042
R12_NAM,2000,104.146
R12_NAM,2005,90.425
R12_NAM,2010,90.361
R12_NAM,2015,80.995
R12_NAM,2020,77.542
R12_NAM,2025,66.265
R12_NAM,2030,61.068
R12_NAM,2035,58.093
R12_NAM,2040,56.382
R12_NAM,2045,55.531
R12_NAM,2050,55.434
R12_NAM,2055,55.842
R12_NAM,2060,56.902
R12_NAM,2070,61.045
R12_NAM,2080,67.791
R12_NAM,2090,77.203
R12_NAM,2100,90.394
R12_NAM,2110,109.836
R12_PAO,1990,40.502
R12_PAO,1995,38.668
R12_PAO,2000,36.958
R12_PAO,2005,35.501
R12_PAO,2010,33.785
R12_PAO,2015,32.419
R12_PAO,2020,30.44
R12_PAO,2025,29.227
R12_PAO,2030,27.984
R12_PAO,2035,26.99
R12_PAO,2040,26.13
R12_PAO,2045,25.486
R12_PAO,2050,25.058
R12_PAO,2055,24.771
R12_PAO,2060,24.584
R12_PAO,2070,24.402
R12_PAO,2080,24.454
R12_PAO,2090,24.843
R12_PAO,2100,25.354
R12_PAO,2110,26.347
R12_PAS,1990,17.984
R12_PAS,1995,27.076
R12_PAS,2000,29.532
R12_PAS,2005,37.017
R12_PAS,2010,46.177
R12_PAS,2015,55.641
R12_PAS,2020,60.089
R12_PAS,2025,70.287
R12_PAS,2030,81.343
R12_PAS,2035,90.952
R12_PAS,2040,98.851
R12_PAS,2045,105.261
R12_PAS,2050,110.36
R12_PAS,2055,114.648
R12_PAS,2060,118.249
R12_PAS,2070,123.395
R12_PAS,2080,125.435
R12_PAS,2090,124.839
R12_PAS,2100,122.305
R12_PAS,2110,120.149
R12_SAS,1990,12.3
R12_SAS,1995,14.689
R12_SAS,2000,18.617
R12_SAS,2005,23.427
R12_SAS,2010,30.231
R12_SAS,2015,38.16
R12_SAS,2020,43.939
R12_SAS,2025,56.505
R12_SAS,2030,70.973
R12_SAS,2035,85.582
R12_SAS,2040,100.668
R12_SAS,2045,116.47
R12_SAS,2050,133.167
R12_SAS,2055,151.001
R12_SAS,2060,169.964
R12_SAS,2070,210.284
R12_SAS,2080,251.601
R12_SAS,2090,292.177
R12_SAS,2100,332.976
R12_SAS,2110,384.564
R12_WEU,1990,122.884
R12_WEU,1995,109.183
R12_WEU,2000,96.169
R12_WEU,2005,86.595
R12_WEU,2010,83.535
R12_WEU,2015,77.827
R12_WEU,2020,75.531
R12_WEU,2025,65.96
R12_WEU,2030,60.697
R12_WEU,2035,56.902
R12_WEU,2040,54.273
R12_WEU,2045,52.621
R12_WEU,2050,51.805
R12_WEU,2055,51.567
R12_WEU,2060,51.896
R12_WEU,2070,54.316
R12_WEU,2080,59.024
R12_WEU,2090,65.703
R12_WEU,2100,74.361
R12_WEU,2110,86.581
