node,commodity,level,year,time,value,unit
R12_AFR,i_spec,useful,2020,year,12.5087,GWa
R12_AFR,i_spec,useful,2025,year,13.6931,GWa
R12_AFR,i_spec,useful,2030,year,14.3481,GWa
R12_AFR,i_spec,useful,2035,year,14.715,GWa
R12_AFR,i_spec,useful,2040,year,15.3551,GWa
R12_AFR,i_spec,useful,2045,year,16.4848,GWa
R12_AFR,i_spec,useful,2050,year,18.1999,GWa
R12_AFR,i_spec,useful,2055,year,20.5253,GWa
R12_AFR,i_spec,useful,2060,year,23.5969,GWa
R12_AFR,i_spec,useful,2065,year,27.659,GWa
R12_AFR,i_spec,useful,2070,year,32.9898,GWa
R12_AFR,i_spec,useful,2075,year,39.9523,GWa
R12_AFR,i_spec,useful,2080,year,49.0072,GWa
R12_AFR,i_spec,useful,2085,year,60.7881,GWa
R12_AFR,i_spec,useful,2090,year,76.1916,GWa
R12_AFR,i_spec,useful,2095,year,96.4617,GWa
R12_AFR,i_spec,useful,2100,year,123.3305,GWa
R12_AFR,i_spec,useful,2110,year,216.0261,GWa
R12_CHN,i_spec,useful,2020,year,217.3413,GWa
R12_CHN,i_spec,useful,2025,year,250.3519,GWa
R12_CHN,i_spec,useful,2030,year,275.0255,GWa
R12_CHN,i_spec,useful,2035,year,296.2989,GWa
R12_CHN,i_spec,useful,2040,year,311.5741,GWa
R12_CHN,i_spec,useful,2045,year,325.4775,GWa
R12_CHN,i_spec,useful,2050,year,335.1384,GWa
R12_CHN,i_spec,useful,2055,year,339.4265,GWa
R12_CHN,i_spec,useful,2060,year,341.4588,GWa
R12_CHN,i_spec,useful,2065,year,341.4795,GWa
R12_CHN,i_spec,useful,2070,year,337.4649,GWa
R12_CHN,i_spec,useful,2075,year,329.7871,GWa
R12_CHN,i_spec,useful,2080,year,319.7345,GWa
R12_CHN,i_spec,useful,2085,year,307.7201,GWa
R12_CHN,i_spec,useful,2090,year,294.3986,GWa
R12_CHN,i_spec,useful,2095,year,280.5714,GWa
R12_CHN,i_spec,useful,2100,year,266.455,GWa
R12_CHN,i_spec,useful,2110,year,242.3184,GWa
R12_EEU,i_spec,useful,2020,year,10.6482,GWa
R12_EEU,i_spec,useful,2025,year,11.6458,GWa
R12_EEU,i_spec,useful,2030,year,12.5592,GWa
R12_EEU,i_spec,useful,2035,year,13.4184,GWa
R12_EEU,i_spec,useful,2040,year,14.2401,GWa
R12_EEU,i_spec,useful,2045,year,14.9326,GWa
R12_EEU,i_spec,useful,2050,year,15.5089,GWa
R12_EEU,i_spec,useful,2055,year,16.0151,GWa
R12_EEU,i_spec,useful,2060,year,16.501,GWa
R12_EEU,i_spec,useful,2065,year,16.9868,GWa
R12_EEU,i_spec,useful,2070,year,17.4413,GWa
R12_EEU,i_spec,useful,2075,year,17.8496,GWa
R12_EEU,i_spec,useful,2080,year,18.2134,GWa
R12_EEU,i_spec,useful,2085,year,18.5481,GWa
R12_EEU,i_spec,useful,2090,year,18.871,GWa
R12_EEU,i_spec,useful,2095,year,19.1916,GWa
R12_EEU,i_spec,useful,2100,year,19.4991,GWa
R12_EEU,i_spec,useful,2110,year,20.3142,GWa
R12_FSU,i_spec,useful,2020,year,25.3428,GWa
R12_FSU,i_spec,useful,2025,year,25.0131,GWa
R12_FSU,i_spec,useful,2030,year,25.4857,GWa
R12_FSU,i_spec,useful,2035,year,26.3358,GWa
R12_FSU,i_spec,useful,2040,year,27.4317,GWa
R12_FSU,i_spec,useful,2045,year,28.7468,GWa
R12_FSU,i_spec,useful,2050,year,30.1516,GWa
R12_FSU,i_spec,useful,2055,year,31.6844,GWa
R12_FSU,i_spec,useful,2060,year,33.4465,GWa
R12_FSU,i_spec,useful,2065,year,35.4405,GWa
R12_FSU,i_spec,useful,2070,year,37.6565,GWa
R12_FSU,i_spec,useful,2075,year,40.0671,GWa
R12_FSU,i_spec,useful,2080,year,42.7007,GWa
R12_FSU,i_spec,useful,2085,year,45.6345,GWa
R12_FSU,i_spec,useful,2090,year,48.9741,GWa
R12_FSU,i_spec,useful,2095,year,52.7991,GWa
R12_FSU,i_spec,useful,2100,year,57.1093,GWa
R12_FSU,i_spec,useful,2110,year,68.3383,GWa
R12_LAM,i_spec,useful,2020,year,46.1234,GWa
R12_LAM,i_spec,useful,2025,year,53.5561,GWa
R12_LAM,i_spec,useful,2030,year,58.9862,GWa
R12_LAM,i_spec,useful,2035,year,66.7896,GWa
R12_LAM,i_spec,useful,2040,year,76.6803,GWa
R12_LAM,i_spec,useful,2045,year,88.1539,GWa
R12_LAM,i_spec,useful,2050,year,100.0146,GWa
R12_LAM,i_spec,useful,2055,year,111.8,GWa
R12_LAM,i_spec,useful,2060,year,123.2988,GWa
R12_LAM,i_spec,useful,2065,year,134.4921,GWa
