node_loc,year_act,0
R12_AFR,1990,4.985
R12_AFR,1995,7.136
R12_AFR,2000,8.991
R12_AFR,2005,10.653
R12_AFR,2010,12.843
R12_AFR,2015,15.801
R12_AFR,2020,19.642
R12_AFR,2025,23.16
R12_AFR,2030,26.848
R12_AFR,2035,31.008
R12_AFR,2040,36.024
R12_AFR,2045,42.411
R12_AFR,2050,50.397
R12_AFR,2055,60.224
R12_AFR,2060,72.418
R12_AFR,2070,107.127
R12_AFR,2080,162.633
R12_AFR,2090,252.412
R12_AFR,2100,400.943
R12_AFR,2110,678.658
R12_RCPA,1990,28.577
R12_RCPA,1995,25.274
R12_RCPA,2000,22.151
R12_RCPA,2005,19.234
R12_RCPA,2010,17.453
R12_RCPA,2015,16.233
R12_RCPA,2020,15.496
R12_RCPA,2025,14.996
R12_RCPA,2030,14.475
R12_RCPA,2035,14.208
R12_RCPA,2040,14.277
R12_RCPA,2045,14.638
R12_RCPA,2050,15.229
R12_RCPA,2055,16.007
R12_RCPA,2060,16.962
R12_RCPA,2070,19.551
R12_RCPA,2080,23.304
R12_RCPA,2090,28.652
R12_RCPA,2100,36.342
R12_RCPA,2110,49.079
R12_CHN,1990,58.044
R12_CHN,1995,79.969
R12_CHN,2000,99.922
R12_CHN,2005,127.519
R12_CHN,2010,169.969
R12_CHN,2015,209.209
R12_CHN,2020,242.934
R12_CHN,2025,275.928
R12_CHN,2030,303.263
R12_CHN,2035,332.984
R12_CHN,2040,363.034
R12_CHN,2045,394.405
R12_CHN,2050,422.136
R12_CHN,2055,445.42
R12_CHN,2060,467.585
R12_CHN,2070,507.838
R12_CHN,2080,537.562
R12_CHN,2090,559.029
R12_CHN,2100,577.423
R12_CHN,2110,610.036
R12_EEU,1990,30.409
R12_EEU,1995,26.858
R12_EEU,2000,24.138
R12_EEU,2005,21.208
R12_EEU,2010,19.424
R12_EEU,2015,18.307
R12_EEU,2020,17.426
R12_EEU,2025,16.732
R12_EEU,2030,16.149
R12_EEU,2035,15.848
R12_EEU,2040,15.827
R12_EEU,2045,16.075
R12_EEU,2050,16.539
R12_EEU,2055,17.165
R12_EEU,2060,17.946
R12_EEU,2070,20.018
R12_EEU,2080,22.871
R12_EEU,2090,26.742
R12_EEU,2100,31.944
R12_EEU,2110,39.684
R12_FSU,1990,94.762
R12_FSU,1995,139.005
R12_FSU,2000,120.207
R12_FSU,2005,85.185
R12_FSU,2010,69.091
R12_FSU,2015,63.195
R12_FSU,2020,59.776
R12_FSU,2025,53.106
R12_FSU,2030,49.097
R12_FSU,2035,45.288
R12_FSU,2040,42.528
R12_FSU,2045,41.083
R12_FSU,2050,40.75
R12_FSU,2055,41.174
R12_FSU,2060,42.324
R12_FSU,2070,47.091
R12_FSU,2080,55.631
R12_FSU,2090,69.074
R12_FSU,2100,89.677
R12_FSU,2110,123.667
R12_LAM,1990,49.517
R12_LAM,1995,52.179
R12_LAM,2000,55.427
R12_LAM,2005,57.774
R12_LAM,2010,59.068
R12_LAM,2015,61.54
R12_LAM,2020,64.97
R12_LAM,2025,65.652
R12_LAM,2030,67.074
R12_LAM,2035,68.737
R12_LAM,2040,71.15
R12_LAM,2045,74.733
R12_LAM,2050,79.385
R12_LAM,2055,85.117
R12_LAM,2060,91.998
R12_LAM,2070,110.086
R12_LAM,2080,134.859
R12_LAM,2090,167.821
R12_LAM,2100,210.642
R12_LAM,2110,278.51
R12_MEA,1990,35.342
R12_MEA,1995,41.171
R12_MEA,2000,51.208
R12_MEA,2005,69.511
R12_MEA,2010,88.666
R12_MEA,2015,101.773
R12_MEA,2020,105.507
R12_MEA,2025,123.376
R12_MEA,2030,144.331
R12_MEA,2035,171.383
R12_MEA,2040,205.721
R12_MEA,2045,244.205
R12_MEA,2050,282.478
R12_MEA,2055,320.589
R12_MEA,2060,359.23
R12_MEA,2070,434.665
R12_MEA,2080,500.893
R12_MEA,2090,557.64
R12_MEA,2100,605.265
R12_MEA,2110,661.79
R12_NAM,1990,155.723
R12_NAM,1995,154.473
R12_NAM,2000,146.095
R12_NAM,2005,142.816
R12_NAM,2010,146.978
R12_NAM,2015,145.173
R12_NAM,2020,146.51
R12_NAM,2025,143.202
R12_NAM,2030,143.887
R12_NAM,2035,145.068
R12_NAM,2040,147.116
R12_NAM,2045,150.757
R12_NAM,2050,156.223
R12_NAM,2055,162.968
R12_NAM,2060,171.267
R12_NAM,2070,193.308
R12_NAM,2080,224.134
R12_NAM,2090,264.521
R12_NAM,2100,315.317
R12_NAM,2110,392.109
R12_PAO,1990,26.973
R12_PAO,1995,25.882
R12_PAO,2000,25.077
R12_PAO,2005,24.473
R12_PAO,2010,25.13
R12_PAO,2015,24.61
R12_PAO,2020,25.112
R12_PAO,2025,24.088
R12_PAO,2030,23.669
R12_PAO,2035,23.106
R12_PAO,2040,22.719
R12_PAO,2045,22.748
R12_PAO,2050,23.345
R12_PAO,2055,24.443
R12_PAO,2060,25.993
R12_PAO,2070,30.355
R12_PAO,2080,36.599
R12_PAO,2090,45.261
R12_PAO,2100,56.772
R12_PAO,2110,75.393
R12_PAS,1990,11.099
R12_PAS,1995,20.426
R12_PAS,2000,25.06
R12_PAS,2005,34.072
R12_PAS,2010,44.991
R12_PAS,2015,56.835
R12_PAS,2020,65.144
R12_PAS,2025,78.499
R12_PAS,2030,93.644
R12_PAS,2035,111.801
R12_PAS,2040,132.498
R12_PAS,2045,153.828
R12_PAS,2050,173.371
R12_PAS,2055,191.71
R12_PAS,2060,209.412
R12_PAS,2070,243.225
R12_PAS,2080,273.295
R12_PAS,2090,298.865
R12_PAS,2100,318.94
R12_PAS,2110,344.659
R12_SAS,1990,30.876
R12_SAS,1995,36.376
R12_SAS,2000,44.22
R12_SAS,2005,53.741
R12_SAS,2010,66.175
R12_SAS,2015,80.694
R12_SAS,2020,93.293
R12_SAS,2025,114.677
R12_SAS,2030,139.666
R12_SAS,2035,170.249
R12_SAS,2040,207.769
R12_SAS,2045,250.768
R12_SAS,2050,295.909
R12_SAS,2055,343.64
R12_SAS,2060,395.037
R12_SAS,2070,509.371
R12_SAS,2080,633.808
R12_SAS,2090,763.356
R12_SAS,2100,898.536
R12_SAS,2110,1082.395
R12_WEU,1990,100.031
R12_WEU,1995,97.238
R12_WEU,2000,93.936
R12_WEU,2005,92.331
R12_WEU,2010,94.754
R12_WEU,2015,95.068
R12_WEU,2020,97.415
R12_WEU,2025,94.686
R12_WEU,2030,94.703
R12_WEU,2035,95.151
R12_WEU,2040,96.481
R12_WEU,2045,99.336
R12_WEU,2050,103.907
R12_WEU,2055,109.798
R12_WEU,2060,117.039
R12_WEU,2070,136.25
R12_WEU,2080,163.244
R12_WEU,2090,197.862
R12_WEU,2100,240.217
R12_WEU,2110,304.672
