# Expected baseline material demand of power sector
# pre-computed from a SSP2_v6.5/baseline derivative with power sector materials build
# by: `input_cap_new` x `CAP_NEW` and grouped by [`node`, `commodity`]
node,commodity,level,year,time,value,unit
R12_AFR,aluminum,demand,2020,year,0.01704,t
R12_AFR,aluminum,demand,2025,year,0.03488,t
R12_AFR,aluminum,demand,2030,year,0.13647,t
R12_AFR,aluminum,demand,2035,year,0.00768,t
R12_AFR,aluminum,demand,2040,year,0.04203,t
R12_AFR,aluminum,demand,2045,year,0.19036,t
R12_AFR,aluminum,demand,2050,year,0.10083,t
R12_AFR,aluminum,demand,2055,year,0.1289,t
R12_AFR,aluminum,demand,2060,year,0.2272,t
R12_AFR,aluminum,demand,2070,year,0.39901,t
R12_AFR,aluminum,demand,2080,year,0.52922,t
R12_AFR,aluminum,demand,2090,year,0.83619,t
R12_AFR,aluminum,demand,2100,year,1.03709,t
R12_AFR,aluminum,demand,2110,year,0.6068,t
R12_AFR,cement,demand,2020,year,1.09957,t
R12_AFR,cement,demand,2025,year,1.2776,t
R12_AFR,cement,demand,2030,year,0.25491,t
R12_AFR,cement,demand,2035,year,0.19595,t
R12_AFR,cement,demand,2040,year,0.73311,t
R12_AFR,cement,demand,2045,year,0.58766,t
R12_AFR,cement,demand,2050,year,0.41278,t
R12_AFR,cement,demand,2055,year,0.37029,t
R12_AFR,cement,demand,2060,year,0.48504,t
R12_AFR,cement,demand,2070,year,0.87939,t
R12_AFR,cement,demand,2080,year,1.24647,t
R12_AFR,cement,demand,2090,year,2.87064,t
R12_AFR,cement,demand,2100,year,2.65747,t
R12_AFR,cement,demand,2110,year,1.78344,t
R12_AFR,steel,demand,2020,year,0.27988,t
R12_AFR,steel,demand,2025,year,0.26054,t
R12_AFR,steel,demand,2030,year,0.6972,t
R12_AFR,steel,demand,2035,year,0.14435,t
R12_AFR,steel,demand,2040,year,0.54086,t
R12_AFR,steel,demand,2045,year,1.03514,t
R12_AFR,steel,demand,2050,year,0.92346,t
R12_AFR,steel,demand,2055,year,0.90155,t
R12_AFR,steel,demand,2060,year,1.24676,t
R12_AFR,steel,demand,2070,year,2.33658,t
R12_AFR,steel,demand,2080,year,3.06439,t
R12_AFR,steel,demand,2090,year,7.84483,t
R12_AFR,steel,demand,2100,year,7.21721,t
R12_AFR,steel,demand,2110,year,4.48788,t
R12_CHN,aluminum,demand,2020,year,0.86819,t
R12_CHN,aluminum,demand,2025,year,2.33269,t
R12_CHN,aluminum,demand,2030,year,1.96286,t
R12_CHN,aluminum,demand,2035,year,0.51345,t
R12_CHN,aluminum,demand,2040,year,0.02547,t
R12_CHN,aluminum,demand,2045,year,0.1864,t
R12_CHN,aluminum,demand,2050,year,0.94219,t
R12_CHN,aluminum,demand,2055,year,1.94646,t
R12_CHN,aluminum,demand,2060,year,1.29615,t
R12_CHN,aluminum,demand,2070,year,0.27305,t
R12_CHN,aluminum,demand,2080,year,0.4342,t
R12_CHN,aluminum,demand,2090,year,1.65064,t
R12_CHN,aluminum,demand,2100,year,0.48205,t
R12_CHN,aluminum,demand,2110,year,0.31467,t
R12_CHN,cement,demand,2020,year,9.57644,t
R12_CHN,cement,demand,2025,year,19.84291,t
R12_CHN,cement,demand,2030,year,4.56463,t
R12_CHN,cement,demand,2035,year,0.67307,t
R12_CHN,cement,demand,2040,year,0.37702,t
R12_CHN,cement,demand,2045,year,1.89973,t
R12_CHN,cement,demand,2050,year,2.85897,t
R12_CHN,cement,demand,2055,year,5.49397,t
R12_CHN,cement,demand,2060,year,5.01385,t
R12_CHN,cement,demand,2070,year,2.61522,t
R12_CHN,cement,demand,2080,year,5.35171,t
R12_CHN,cement,demand,2090,year,6.62692,t
R12_CHN,cement,demand,2100,year,1.13298,t
R12_CHN,cement,demand,2110,year,1.54226,t
R12_CHN,steel,demand,2020,year,8.8375,t
R12_CHN,steel,demand,2025,year,20.26001,t
R12_CHN,steel,demand,2030,year,14.11886,t
R12_CHN,steel,demand,2035,year,2.06737,t
R12_CHN,steel,demand,2040,year,1.40152,t
R12_CHN,steel,demand,2045,year,6.7207,t
R12_CHN,steel,demand,2050,year,8.27316,t
R12_CHN,steel,demand,2055,year,16.07721,t
R12_CHN,steel,demand,2060,year,14.20602,t
R12_CHN,steel,demand,2070,year,5.89611,t
R12_CHN,steel,demand,2080,year,10.4368,t
R12_CHN,steel,demand,2090,year,17.87795,t
R12_CHN,steel,demand,2100,year,3.79721,t
R12_CHN,steel,demand,2110,year,5.50989,t
R12_EEU,aluminum,demand,2020,year,0.0272,t
R12_EEU,aluminum,demand,2025,year,0.09286,t
R12_EEU,aluminum,demand,2030,year,0.29019,t
R12_EEU,aluminum,demand,2035,year,0.00295,t
R12_EEU,aluminum,demand,2040,year,0.0074,t
R12_EEU,aluminum,demand,2045,year,0.01858,t
R12_EEU,aluminum,demand,2050,year,0.02101,t
R12_EEU,aluminum,demand,2055,year,0.09002,t
R12_EEU,aluminum,demand,2060,year,0.23483,t
R12_EEU,aluminum,demand,2070,year,0.03968,t
R12_EEU,aluminum,demand,2080,year,0.01757,t
R12_EEU,aluminum,demand,2090,year,0.12003,t
R12_EEU,aluminum,demand,2100,year,0.10344,t
R12_EEU,aluminum,demand,2110,year,0.02259,t
R12_EEU,cement,demand,2020,year,0.23405,t
R12_EEU,cement,demand,2025,year,0.29011,t
R12_EEU,cement,demand,2030,year,0.40745,t
R12_EEU,cement,demand,2035,year,0.57684,t
R12_EEU,cement,demand,2040,year,0.23677,t
R12_EEU,cement,demand,2045,year,0.37384,t
R12_EEU,cement,demand,2050,year,0.14922,t
R12_EEU,cement,demand,2055,year,0.25609,t
R12_EEU,cement,demand,2060,year,0.38253,t
R12_EEU,cement,demand,2070,year,0.12712,t
R12_EEU,cement,demand,2080,year,0.12607,t
R12_EEU,cement,demand,2090,year,0.27532,t
R12_EEU,cement,demand,2100,year,0.28863,t
R12_EEU,cement,demand,2110,year,0.22217,t
R12_EEU,steel,demand,2020,year,0.214,t
R12_EEU,steel,demand,2025,year,0.46862,t
R12_EEU,steel,demand,2030,year,1.0454,t
R12_EEU,steel,demand,2035,year,0.13798,t
R12_EEU,steel,demand,2040,year,0.18035,t
R12_EEU,steel,demand,2045,year,0.50603,t
R12_EEU,steel,demand,2050,year,0.30422,t
R12_EEU,steel,demand,2055,year,0.62384,t
R12_EEU,steel,demand,2060,year,0.99294,t
R12_EEU,steel,demand,2070,year,0.27321,t
R12_EEU,steel,demand,2080,year,0.29599,t
R12_EEU,steel,demand,2090,year,0.75644,t
R12_EEU,steel,demand,2100,year,0.63505,t
R12_EEU,steel,demand,2110,year,0.45888,t
R12_FSU,aluminum,demand,2020,year,0.04512,t
R12_FSU,aluminum,demand,2025,year,0.01253,t
R12_FSU,aluminum,demand,2030,year,0.00925,t
R12_FSU,aluminum,demand,2035,year,0.01581,t
R12_FSU,aluminum,demand,2040,year,0.28891,t
R12_FSU,aluminum,demand,2045,year,0.07773,t
R12_FSU,aluminum,demand,2050,year,0.05952,t
R12_FSU,aluminum,demand,2055,year,0.04173,t
R12_FSU,aluminum,demand,2060,year,0.0519,t
R12_FSU,aluminum,demand,2070,year,0.12188,t
R12_FSU,aluminum,demand,2080,year,0.22761,t
R12_FSU,aluminum,demand,2090,year,0.28009,t
R12_FSU,aluminum,demand,2100,year,0.26032,t
R12_FSU,aluminum,demand,2110,year,0.33053,t
R12_FSU,cement,demand,2020,year,0.64858,t
R12_FSU,cement,demand,2025,year,0.16444,t
R12_FSU,cement,demand,2030,year,1.90548,t
R12_FSU,cement,demand,2035,year,2.17687,t
R12_FSU,cement,demand,2040,year,1.83046,t
R12_FSU,cement,demand,2045,year,0.98546,t
R12_FSU,cement,demand,2050,year,0.31697,t
R12_FSU,cement,demand,2055,year,0.15368,t
R12_FSU,cement,demand,2060,year,0.20999,t
R12_FSU,cement,demand,2070,year,0.34759,t
R12_FSU,cement,demand,2080,year,0.59594,t
R12_FSU,cement,demand,2090,year,0.73193,t
R12_FSU,cement,demand,2100,year,1.58802,t
R12_FSU,cement,demand,2110,year,1.08607,t
R12_FSU,steel,demand,2020,year,0.39101,t
R12_FSU,steel,demand,2025,year,0.19385,t
R12_FSU,steel,demand,2030,year,0.23292,t
R12_FSU,steel,demand,2035,year,0.58856,t
R12_FSU,steel,demand,2040,year,1.68029,t
R12_FSU,steel,demand,2045,year,1.10097,t
R12_FSU,steel,demand,2050,year,0.65522,t
R12_FSU,steel,demand,2055,year,0.4008,t
R12_FSU,steel,demand,2060,year,0.49138,t
R12_FSU,steel,demand,2070,year,0.84631,t
R12_FSU,steel,demand,2080,year,1.38647,t
R12_FSU,steel,demand,2090,year,1.85452,t
R12_FSU,steel,demand,2100,year,3.64757,t
R12_FSU,steel,demand,2110,year,2.4314,t
R12_LAM,aluminum,demand,2020,year,0.09259,t
R12_LAM,aluminum,demand,2025,year,0.26172,t
R12_LAM,aluminum,demand,2030,year,0.45996,t
R12_LAM,aluminum,demand,2035,year,0.23283,t
R12_LAM,aluminum,demand,2040,year,0.21239,t
R12_LAM,aluminum,demand,2045,year,0.16667,t
R12_LAM,aluminum,demand,2050,year,0.24488,t
R12_LAM,aluminum,demand,2055,year,0.38831,t
R12_LAM,aluminum,demand,2060,year,0.55448,t
R12_LAM,aluminum,demand,2070,year,0.28895,t
R12_LAM,aluminum,demand,2080,year,0.40347,t
R12_LAM,aluminum,demand,2090,year,0.56528,t
R12_LAM,aluminum,demand,2100,year,0.49789,t
R12_LAM,aluminum,demand,2110,year,0.46683,t
R12_LAM,cement,demand,2020,year,4.62887,t
R12_LAM,cement,demand,2025,year,2.58639,t
R12_LAM,cement,demand,2030,year,2.40835,t
R12_LAM,cement,demand,2035,year,1.69467,t
R12_LAM,cement,demand,2040,year,2.69244,t
R12_LAM,cement,demand,2045,year,2.14874,t
R12_LAM,cement,demand,2050,year,1.92349,t
R12_LAM,cement,demand,2055,year,2.21354,t
R12_LAM,cement,demand,2060,year,2.17315,t
R12_LAM,cement,demand,2070,year,1.17362,t
R12_LAM,cement,demand,2080,year,1.90321,t
R12_LAM,cement,demand,2090,year,2.19119,t
R12_LAM,cement,demand,2100,year,1.71473,t
R12_LAM,cement,demand,2110,year,2.63609,t
R12_LAM,steel,demand,2020,year,1.25994,t
R12_LAM,steel,demand,2025,year,2.03223,t
R12_LAM,steel,demand,2030,year,1.96459,t
R12_LAM,steel,demand,2035,year,1.08978,t
R12_LAM,steel,demand,2040,year,1.9076,t
R12_LAM,steel,demand,2045,year,2.49753,t
R12_LAM,steel,demand,2050,year,3.97696,t
R12_LAM,steel,demand,2055,year,4.78059,t
R12_LAM,steel,demand,2060,year,4.56454,t
R12_LAM,steel,demand,2070,year,2.47293,t
R12_LAM,steel,demand,2080,year,4.73833,t
R12_LAM,steel,demand,2090,year,5.14948,t
R12_LAM,steel,demand,2100,year,3.841,t
R12_LAM,steel,demand,2110,year,6.16182,t
R12_MEA,aluminum,demand,2020,year,0.05364,t
R12_MEA,aluminum,demand,2025,year,0.06077,t
R12_MEA,aluminum,demand,2030,year,0.471,t
R12_MEA,aluminum,demand,2035,year,0.01536,t
R12_MEA,aluminum,demand,2040,year,0.30832,t
R12_MEA,aluminum,demand,2045,year,0.24888,t
R12_MEA,aluminum,demand,2050,year,0.08105,t
R12_MEA,aluminum,demand,2055,year,0.20308,t
R12_MEA,aluminum,demand,2060,year,0.46048,t
R12_MEA,aluminum,demand,2070,year,0.33181,t
R12_MEA,aluminum,demand,2080,year,0.43438,t
R12_MEA,aluminum,demand,2090,year,0.46335,t
R12_MEA,aluminum,demand,2100,year,0.81756,t
R12_MEA,aluminum,demand,2110,year,0.53083,t
R12_MEA,cement,demand,2020,year,0.29996,t
R12_MEA,cement,demand,2025,year,0.71232,t
R12_MEA,cement,demand,2030,year,0.65003,t
R12_MEA,cement,demand,2035,year,0.17843,t
R12_MEA,cement,demand,2040,year,0.48616,t
R12_MEA,cement,demand,2045,year,0.51641,t
R12_MEA,cement,demand,2050,year,0.29552,t
R12_MEA,cement,demand,2055,year,0.39005,t
R12_MEA,cement,demand,2060,year,0.6739,t
R12_MEA,cement,demand,2070,year,0.73796,t
R12_MEA,cement,demand,2080,year,1.18974,t
R12_MEA,cement,demand,2090,year,1.00227,t
R12_MEA,cement,demand,2100,year,2.0973,t
R12_MEA,cement,demand,2110,year,1.39397,t
R12_MEA,steel,demand,2020,year,0.59835,t
R12_MEA,steel,demand,2025,year,0.42891,t
R12_MEA,steel,demand,2030,year,1.67248,t
R12_MEA,steel,demand,2035,year,0.31025,t
R12_MEA,steel,demand,2040,year,1.23041,t
R12_MEA,steel,demand,2045,year,1.2783,t
R12_MEA,steel,demand,2050,year,0.71717,t
R12_MEA,steel,demand,2055,year,1.00564,t
R12_MEA,steel,demand,2060,year,1.77009,t
R12_MEA,steel,demand,2070,year,1.68947,t
R12_MEA,steel,demand,2080,year,3.09075,t
R12_MEA,steel,demand,2090,year,2.58029,t
R12_MEA,steel,demand,2100,year,6.03318,t
R12_MEA,steel,demand,2110,year,3.8345,t
R12_NAM,aluminum,demand,2020,year,0.25705,t
R12_NAM,aluminum,demand,2025,year,0.39426,t
R12_NAM,aluminum,demand,2030,year,0.20184,t
R12_NAM,aluminum,demand,2035,year,0.0466,t
R12_NAM,aluminum,demand,2040,year,0.08579,t
R12_NAM,aluminum,demand,2045,year,0.37987,t
R12_NAM,aluminum,demand,2050,year,0.41136,t
R12_NAM,aluminum,demand,2055,year,0.4168,t
R12_NAM,aluminum,demand,2060,year,0.25789,t
R12_NAM,aluminum,demand,2070,year,0.297,t
R12_NAM,aluminum,demand,2080,year,0.5728,t
R12_NAM,aluminum,demand,2090,year,0.46153,t
R12_NAM,aluminum,demand,2100,year,0.4794,t
R12_NAM,aluminum,demand,2110,year,0.70145,t
R12_NAM,cement,demand,2020,year,1.27116,t
