node_loc,technology,year_vtg,value,unit
R12_AFR,dri_steel,2010,0.06,Mt/yr
R12_FSU,dri_steel,1990,0.74,Mt/yr
R12_FSU,dri_steel,2000,0.20646,Mt/yr
R12_FSU,dri_steel,2010,0.32116,Mt/yr
R12_LAM,dri_steel,1980,0.458,Mt/yr
R12_LAM,dri_steel,1985,0.1,Mt/yr
R12_LAM,dri_steel,1990,0.564,Mt/yr
R12_LAM,dri_steel,1995,0.322,Mt/yr
R12_LAM,dri_steel,2000,1.016,Mt/yr
R12_LAM,dri_steel,2010,0.32,Mt/yr
R12_MEA,dri_steel,1980,0.08,Mt/yr
R12_MEA,dri_steel,1985,0.16,Mt/yr
R12_MEA,dri_steel,1990,0.364,Mt/yr
R12_MEA,dri_steel,1995,1.34,Mt/yr
R12_MEA,dri_steel,2000,0.67,Mt/yr
R12_MEA,dri_steel,2005,0.17,Mt/yr
R12_MEA,dri_steel,2010,2.438,Mt/yr
R12_MEA,dri_steel,2015,3.842,Mt/yr
R12_NAM,dri_steel,1975,0.08,Mt/yr
R12_NAM,dri_steel,1980,0.12,Mt/yr
R12_NAM,dri_steel,2015,0.5,Mt/yr
R12_PAS,dri_steel,1985,0.18,Mt/yr
R12_SAS,dri_steel,1995,2.44,Mt/yr
R12_SAS,dri_steel,2000,1.078,Mt/yr
R12_SAS,dri_steel,2005,3.167,Mt/yr
R12_SAS,dri_steel,2010,3.167,Mt/yr
R12_WEU,dri_steel,1975,0.12,Mt/yr
