node_loc,technology,year_vtg,value,unit
R12_AFR,dri_steel,1970,0.0,Mt/yr
R12_AFR,dri_steel,1975,0.0,Mt/yr
R12_AFR,dri_steel,1980,0.0,Mt/yr
R12_AFR,dri_steel,1985,0.0,Mt/yr
R12_AFR,dri_steel,1990,0.0,Mt/yr
R12_AFR,dri_steel,1995,0.0,Mt/yr
R12_AFR,dri_steel,2000,0.0,Mt/yr
R12_AFR,dri_steel,2005,0.0,Mt/yr
R12_AFR,dri_steel,2010,0.0,Mt/yr
R12_AFR,dri_steel,2015,0.0,Mt/yr
R12_CHN,dri_steel,1970,0.0,Mt/yr
R12_CHN,dri_steel,1975,0.0,Mt/yr
R12_CHN,dri_steel,1980,0.0,Mt/yr
R12_CHN,dri_steel,1985,0.0,Mt/yr
R12_CHN,dri_steel,1990,0.0,Mt/yr
R12_CHN,dri_steel,1995,0.0,Mt/yr
R12_CHN,dri_steel,2000,0.0,Mt/yr
R12_CHN,dri_steel,2005,0.0,Mt/yr
R12_CHN,dri_steel,2010,0.0,Mt/yr
R12_CHN,dri_steel,2015,0.0,Mt/yr
R12_EEU,dri_steel,1970,0.0,Mt/yr
R12_EEU,dri_steel,1975,0.0,Mt/yr
R12_EEU,dri_steel,1980,0.0,Mt/yr
R12_EEU,dri_steel,1985,0.0,Mt/yr
R12_EEU,dri_steel,1990,0.0,Mt/yr
R12_EEU,dri_steel,1995,0.0,Mt/yr
R12_EEU,dri_steel,2000,0.0,Mt/yr
R12_EEU,dri_steel,2005,0.0,Mt/yr
R12_EEU,dri_steel,2010,0.0,Mt/yr
R12_EEU,dri_steel,2015,0.0,Mt/yr
R12_FSU,dri_steel,1970,0.0,Mt/yr
R12_FSU,dri_steel,1975,0.0,Mt/yr
R12_FSU,dri_steel,1980,0.0,Mt/yr
R12_FSU,dri_steel,1985,0.74,Mt/yr
R12_FSU,dri_steel,1990,0.0,Mt/yr
R12_FSU,dri_steel,1995,0.20646,Mt/yr
R12_FSU,dri_steel,2000,0.0,Mt/yr
R12_FSU,dri_steel,2005,0.32116,Mt/yr
R12_FSU,dri_steel,2010,0.0,Mt/yr
R12_FSU,dri_steel,2015,0.41292,Mt/yr
R12_LAM,dri_steel,1970,0.0,Mt/yr
R12_LAM,dri_steel,1975,0.458,Mt/yr
R12_LAM,dri_steel,1980,0.1,Mt/yr
R12_LAM,dri_steel,1985,0.2,Mt/yr
R12_LAM,dri_steel,1990,0.564,Mt/yr
R12_LAM,dri_steel,1995,0.698,Mt/yr
R12_LAM,dri_steel,2000,0.44,Mt/yr
R12_LAM,dri_steel,2005,0.32,Mt/yr
R12_LAM,dri_steel,2010,0.0,Mt/yr
R12_LAM,dri_steel,2015,0.0,Mt/yr
R12_MEA,dri_steel,1970,0.0,Mt/yr
R12_MEA,dri_steel,1975,0.08,Mt/yr
R12_MEA,dri_steel,1980,0.16,Mt/yr
R12_MEA,dri_steel,1985,0.144,Mt/yr
R12_MEA,dri_steel,1990,1.56,Mt/yr
R12_MEA,dri_steel,1995,0.51,Mt/yr
R12_MEA,dri_steel,2000,0.33,Mt/yr
R12_MEA,dri_steel,2005,1.606,Mt/yr
R12_MEA,dri_steel,2010,3.762,Mt/yr
R12_MEA,dri_steel,2015,3.622,Mt/yr
R12_NAM,dri_steel,1970,0.08,Mt/yr
R12_NAM,dri_steel,1975,0.12,Mt/yr
R12_NAM,dri_steel,1980,0.0,Mt/yr
R12_NAM,dri_steel,1985,0.0,Mt/yr
R12_NAM,dri_steel,1990,0.0,Mt/yr
R12_NAM,dri_steel,1995,0.0,Mt/yr
R12_NAM,dri_steel,2000,0.0,Mt/yr
R12_NAM,dri_steel,2005,0.0,Mt/yr
R12_NAM,dri_steel,2010,0.5,Mt/yr
R12_NAM,dri_steel,2015,0.4,Mt/yr
R12_PAO,dri_steel,1970,0.0,Mt/yr
R12_PAO,dri_steel,1975,0.0,Mt/yr
R12_PAO,dri_steel,1980,0.0,Mt/yr
R12_PAO,dri_steel,1985,0.0,Mt/yr
R12_PAO,dri_steel,1990,0.0,Mt/yr
R12_PAO,dri_steel,1995,0.0,Mt/yr
R12_PAO,dri_steel,2000,0.0,Mt/yr
R12_PAO,dri_steel,2005,0.0,Mt/yr
R12_PAO,dri_steel,2010,0.0,Mt/yr
R12_PAO,dri_steel,2015,0.0,Mt/yr
R12_PAS,dri_steel,1970,0.0,Mt/yr
R12_PAS,dri_steel,1975,0.0,Mt/yr
R12_PAS,dri_steel,1980,0.18,Mt/yr
R12_PAS,dri_steel,1985,0.0,Mt/yr
R12_PAS,dri_steel,1990,0.0,Mt/yr
R12_PAS,dri_steel,1995,0.0,Mt/yr
R12_PAS,dri_steel,2000,0.0,Mt/yr
R12_PAS,dri_steel,2005,0.0,Mt/yr
R12_PAS,dri_steel,2010,0.0,Mt/yr
R12_PAS,dri_steel,2015,0.0,Mt/yr
R12_RCPA,dri_steel,1970,0.0,Mt/yr
R12_RCPA,dri_steel,1975,0.0,Mt/yr
R12_RCPA,dri_steel,1980,0.0,Mt/yr
R12_RCPA,dri_steel,1985,0.0,Mt/yr
R12_RCPA,dri_steel,1990,0.0,Mt/yr
R12_RCPA,dri_steel,1995,0.0,Mt/yr
R12_RCPA,dri_steel,2000,0.0,Mt/yr
R12_RCPA,dri_steel,2005,0.0,Mt/yr
R12_RCPA,dri_steel,2010,0.0,Mt/yr
R12_RCPA,dri_steel,2015,0.0,Mt/yr
R12_SAS,dri_steel,1995,2.44,Mt/yr
R12_SAS,dri_steel,2000,1.078,Mt/yr
R12_SAS,dri_steel,2005,3.167,Mt/yr
R12_SAS,dri_steel,2010,3.167,Mt/yr
R12_SAS,dri_steel,2015,0.0,Mt/yr
R12_WEU,dri_steel,1970,0.12,Mt/yr
R12_WEU,dri_steel,1975,0.0,Mt/yr
R12_WEU,dri_steel,1980,0.0,Mt/yr
R12_WEU,dri_steel,1985,0.0,Mt/yr
R12_WEU,dri_steel,1990,0.0,Mt/yr
R12_WEU,dri_steel,1995,0.0,Mt/yr
R12_WEU,dri_steel,2000,0.0,Mt/yr
R12_WEU,dri_steel,2005,0.0,Mt/yr
R12_WEU,dri_steel,2010,0.0,Mt/yr
R12_WEU,dri_steel,2015,0.0,Mt/yr
