technology,parameter,region,mode,commodity,level,units,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
bof_steel,historical_activity,R12_AFR,M1,,,Mt,,,,,,8.0,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_EEU,M1,,,Mt,,,,,,78.0,,,,,,,,,,,,,,
eaf_steel,bound_activity_lo,R12_CHN,M2,,,Mt,,,,,,,75.3,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_EEU,M2,,,Mt,,,,,,52.0,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_FSU,M1,,,Mt,,,,,,80.0,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_FSU,M2,,,Mt,,,,,,20.0,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_LAM,M1,,,Mt,,,,,,37.5,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_LAM,M2,,,Mt,,,,,,12.5,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_MEA,M1,,,Mt,,,13.4862,15.80,26.413,45.2466,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_NAM,M1,,,Mt,,,,,,31.6,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_NAM,M2,,,Mt,,,,,,47.4,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_PAO,M1,,,Mt,,,,,,78.75,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_PAO,M2,,,Mt,,,,,,26.25,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_PAS,M1,,,Mt,,,,,,71.5,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_PAS,M2,,,Mt,,,,,,38.5,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_SAS,M1,,,Mt,,,,,,38.28,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_SAS,M2,,,Mt,,,,,,48.72,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_WEU,M1,,,Mt,,,,,,69.0,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_WEU,M2,,,Mt,,,,,,46.0,,,,,,,,,,,,,,
finishing_steel,historical_activity,R12_AFR,M1,,,Mt,,,,,,8.0,,,,,,,,,,,,,,
finishing_steel,historical_activity,R12_EEU,M1,,,Mt,,,,,,130.0,,,,,,,,,,,,,,
finishing_steel,historical_activity,R12_FSU,M1,,,Mt,,,,,,100.0,,,,,,,,,,,,,,
finishing_steel,historical_activity,R12_LAM,M1,,,Mt,,,,,,50.0,,,,,,,,,,,,,,
finishing_steel,historical_activity,R12_NAM,M1,,,Mt,,,,,,79.0,,,,,,,,,,,,,,
finishing_steel,historical_activity,R12_PAO,M1,,,Mt,,,,,,105.0,,,,,,,,,,,,,,
