initial_new_capacity_up = demand_cement * clinker_to_cement_ratio (0.579) * fraction_of_demand (0.01),Unnamed: 1,Unnamed: 2
initial_activity_up = demand_cement * clinker_to_cement_ratio (0.72) * max clay replacement (0.35) * fraction_of_demand (0.25),,
Region,Year,Level
R12_AFR,2020,209.099284859894
R12_AFR,2025,277.867648430249
R12_AFR,2030,334.341445014309
R12_AFR,2035,412.471416875549
R12_AFR,2040,475.047653051503
R12_AFR,2045,559.392851994143
R12_AFR,2050,624.052773075476
R12_AFR,2055,706.839264270947
R12_AFR,2060,767.14325215642
R12_AFR,2070,892.516090452188
R12_AFR,2080,992.885044987967
R12_AFR,2090,1066.52784473404
R12_AFR,2100,1115.86669305602
R12_AFR,2110,1115.86669305602
R12_RCPA,2020,237.87210916542
R12_RCPA,2025,241.683846322875
R12_RCPA,2030,239.955896110075
R12_RCPA,2035,224.09915374077
R12_RCPA,2040,196.439211503364
R12_RCPA,2045,161.858596680987
R12_RCPA,2050,130.955149431937
R12_RCPA,2055,106.038833623055
R12_RCPA,2060,88.3467139774966
R12_RCPA,2070,67.213607891838
R12_RCPA,2080,56.1708889905436
R12_RCPA,2090,49.1295111685174
R12_RCPA,2100,44.0796450022432
R12_RCPA,2110,44.0796450022432
R12_EEU,2020,131.196575888412
R12_EEU,2025,131.114485595471
R12_EEU,2030,129.162938296477
R12_EEU,2035,122.158877095857
R12_EEU,2040,110.148949699691
R12_EEU,2045,95.9572756125111
R12_EEU,2050,83.0490783817773
R12_EEU,2055,72.7916668033366
R12_EEU,2060,65.3939980610841
R12_EEU,2070,56.0292601231325
R12_EEU,2080,50.6394421139015
R12_EEU,2090,47.1058303954719
R12_EEU,2100,44.3764461161156
R12_EEU,2110,44.3764461161156
R12_FSU,2020,106.600650622025
R12_FSU,2025,110.535816622901
R12_FSU,2030,113.170640022683
R12_FSU,2035,116.172400419057
R12_FSU,2040,119.53433483567
R12_FSU,2045,122.753384564872
R12_FSU,2050,125.543236298915
R12_FSU,2055,127.35433896335
R12_FSU,2060,128.444325363226
R12_FSU,2070,128.522663388894
R12_FSU,2080,126.429472693253
R12_FSU,2090,123.0981965834
R12_FSU,2100,119.165992699929
R12_FSU,2110,119.165992699929
R12_LAM,2020,94.307933675866
R12_LAM,2025,106.381629331161
R12_LAM,2030,119.363698899731
R12_LAM,2035,143.85968420967
R12_LAM,2040,180.894400654476
R12_LAM,2045,223.956021252342
R12_LAM,2050,263.84673969444
R12_LAM,2055,294.583227690057
R12_LAM,2060,316.722844469908
R12_LAM,2070,338.763568786903
R12_LAM,2080,343.175736254997
R12_LAM,2090,338.521562910732
R12_LAM,2100,329.80232857048
R12_LAM,2110,329.80232857048
R12_MEA,2020,143.802774670291
R12_MEA,2025,162.757631437294
R12_MEA,2030,180.497536337072
R12_MEA,2035,203.165985580373
R12_MEA,2040,230.030904887178
R12_MEA,2045,259.628084779104
R12_MEA,2050,288.119125686162
R12_MEA,2055,312.189088514169
R12_MEA,2060,332.550261679986
R12_MEA,2070,360.280436090893
R12_MEA,2080,375.158515687724
R12_MEA,2090,381.466916980852
R12_MEA,2100,382.312519071756
R12_MEA,2110,382.312519071756
R12_NAM,2020,183.300010763809
R12_NAM,2025,191.040030137601
R12_NAM,2030,198.630962309019
R12_NAM,2035,205.287751360246
R12_NAM,2040,211.886534968852
R12_NAM,2045,217.662533966384
R12_NAM,2050,223.389050749479
R12_NAM,2055,228.957274889158
R12_NAM,2060,234.477562555474
R12_NAM,2070,244.353805120927
R12_NAM,2080,251.470520317501
R12_NAM,2090,255.538650059564
R12_NAM,2100,256.881634866416
R12_NAM,2110,256.881634866416
R12_PAO,2020,66.000370971261
R12_PAO,2025,66.3293890062042
R12_PAO,2030,66.7604509290126
R12_PAO,2035,67.2723272240941
R12_PAO,2040,68.2904732913297
R12_PAO,2045,69.3896651812214
R12_PAO,2050,70.3176360731499
R12_PAO,2055,70.8621852461715
R12_PAO,2060,71.053327148586
R12_PAO,2070,70.0823000835909
R12_PAO,2080,68.0623569203869
R12_PAO,2090,65.2671786507134
R12_PAO,2100,61.9418622235133
R12_PAO,2110,61.9418622235133
R12_PAS,2020,141.305048691909
R12_PAS,2025,156.910604134041
R12_PAS,2030,171.315240980535
R12_PAS,2035,191.488268121524
R12_PAS,2040,218.304980167622
R12_PAS,2045,247.00151054813
R12_PAS,2050,272.842600301346
R12_PAS,2055,291.629036073034
R12_PAS,2060,304.780985214517
R12_PAS,2070,315.790415385984
R12_PAS,2080,313.872296291963
R12_PAS,2090,305.333795550132
R12_PAS,2100,293.363411379587
R12_PAS,2110,293.363411379587
R12_SAS,2020,571.397655268895
R12_SAS,2025,697.595688839393
R12_SAS,2030,775.515283941756
R12_SAS,2035,870.16083449048
R12_SAS,2040,925.281353573412
R12_SAS,2045,988.028188917282
R12_SAS,2050,1028.76632400703
R12_SAS,2055,1069.1285150733
R12_SAS,2060,1098.87291595674
R12_SAS,2070,1138.72203126885
R12_SAS,2080,1151.20719874477
R12_SAS,2090,1139.21055390057
R12_SAS,2100,1110.0391862349
R12_SAS,2110,1110.0391862349
R12_WEU,2020,131.204995765407
R12_WEU,2025,135.462650821765
R12_WEU,2030,141.859251626701
R12_WEU,2035,154.939692062902
R12_WEU,2040,176.190993691104
R12_WEU,2045,200.976163878623
R12_WEU,2050,224.313852893961
R12_WEU,2055,242.589089683869
R12_WEU,2060,256.156391822576
R12_WEU,2070,270.806848666659
R12_WEU,2080,275.834448267281
R12_WEU,2090,275.516290688072
R12_WEU,2100,271.369778046706
R12_WEU,2110,271.369778046706
R12_CHN,2020,2140.84898248878
R12_CHN,2025,2175.15461690587
R12_CHN,2030,2159.60306499068
R12_CHN,2035,2016.89238366693
R12_CHN,2040,1767.95290353028
R12_CHN,2045,1456.72737012888
R12_CHN,2050,1178.59634488743
R12_CHN,2055,954.349502607494
R12_CHN,2060,795.12042579747
R12_CHN,2070,604.922471026542
R12_CHN,2080,505.538000914892
R12_CHN,2090,442.165600516657
R12_CHN,2100,396.716805020189
R12_CHN,2110,396.716805020189
