BCU,tec,urb_rur,year,scenario,unit,value
1,grid_existing,rural,2020,baseline,GWh,5.2
1,grid_existing,urban,2020,baseline,GWh,0.0
1,grid_new,rural,2020,baseline,GWh,0.0
1,grid_new,urban,2020,baseline,GWh,0.0
1,sa_pv,rural,2020,baseline,GWh,0.0
1,sa_pv,urban,2020,baseline,GWh,0.0
1,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
1,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
1,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
1,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
1,mg_hydro,rural,2020,baseline,GWh,0.0
1,mg_hydro,urban,2020,baseline,GWh,0.0
1,unelectrified,rural,2020,baseline,GWh,22.74
1,unelectrified,urban,2020,baseline,GWh,0.0
2,grid_existing,rural,2020,baseline,GWh,22.64
2,grid_existing,urban,2020,baseline,GWh,198.0
2,grid_new,rural,2020,baseline,GWh,0.0
2,grid_new,urban,2020,baseline,GWh,0.0
2,sa_pv,rural,2020,baseline,GWh,0.0
2,sa_pv,urban,2020,baseline,GWh,0.0
2,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
2,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
2,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
2,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
2,mg_hydro,rural,2020,baseline,GWh,0.0
2,mg_hydro,urban,2020,baseline,GWh,0.0
2,unelectrified,rural,2020,baseline,GWh,148.33
2,unelectrified,urban,2020,baseline,GWh,0.0
3,grid_existing,rural,2020,baseline,GWh,1.74
3,grid_existing,urban,2020,baseline,GWh,10.48
3,grid_new,rural,2020,baseline,GWh,0.0
3,grid_new,urban,2020,baseline,GWh,0.0
3,sa_pv,rural,2020,baseline,GWh,0.0
3,sa_pv,urban,2020,baseline,GWh,0.0
3,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
3,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
3,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
3,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
3,mg_hydro,rural,2020,baseline,GWh,0.0
3,mg_hydro,urban,2020,baseline,GWh,0.0
3,unelectrified,rural,2020,baseline,GWh,4.7
3,unelectrified,urban,2020,baseline,GWh,0.0
4,grid_existing,rural,2020,baseline,GWh,41.15
4,grid_existing,urban,2020,baseline,GWh,42.21
4,grid_new,rural,2020,baseline,GWh,0.0
4,grid_new,urban,2020,baseline,GWh,0.0
4,sa_pv,rural,2020,baseline,GWh,0.0
4,sa_pv,urban,2020,baseline,GWh,0.0
4,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
4,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
4,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
4,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
4,mg_hydro,rural,2020,baseline,GWh,0.0
4,mg_hydro,urban,2020,baseline,GWh,0.0
4,unelectrified,rural,2020,baseline,GWh,233.3
4,unelectrified,urban,2020,baseline,GWh,0.0
5,grid_existing,rural,2020,baseline,GWh,75.13
5,grid_existing,urban,2020,baseline,GWh,754.69
5,grid_new,rural,2020,baseline,GWh,0.0
5,grid_new,urban,2020,baseline,GWh,0.0
5,sa_pv,rural,2020,baseline,GWh,0.0
5,sa_pv,urban,2020,baseline,GWh,0.0
5,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
5,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
5,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
5,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
5,mg_hydro,rural,2020,baseline,GWh,0.0
5,mg_hydro,urban,2020,baseline,GWh,0.0
5,unelectrified,rural,2020,baseline,GWh,1155.21
5,unelectrified,urban,2020,baseline,GWh,0.0
6,grid_existing,rural,2020,baseline,GWh,7.59
6,grid_existing,urban,2020,baseline,GWh,0.0
6,grid_new,rural,2020,baseline,GWh,0.0
6,grid_new,urban,2020,baseline,GWh,0.0
6,sa_pv,rural,2020,baseline,GWh,0.0
6,sa_pv,urban,2020,baseline,GWh,0.0
6,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
6,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
6,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
6,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
6,mg_hydro,rural,2020,baseline,GWh,0.0
6,mg_hydro,urban,2020,baseline,GWh,0.0
6,unelectrified,rural,2020,baseline,GWh,60.53
6,unelectrified,urban,2020,baseline,GWh,0.0
7,grid_existing,rural,2020,baseline,GWh,22.3
7,grid_existing,urban,2020,baseline,GWh,98.89
7,grid_new,rural,2020,baseline,GWh,0.0
7,grid_new,urban,2020,baseline,GWh,0.0
7,sa_pv,rural,2020,baseline,GWh,0.0
7,sa_pv,urban,2020,baseline,GWh,0.0
7,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
7,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
7,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
7,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
7,mg_hydro,rural,2020,baseline,GWh,0.0
7,mg_hydro,urban,2020,baseline,GWh,0.0
7,unelectrified,rural,2020,baseline,GWh,228.1
7,unelectrified,urban,2020,baseline,GWh,0.0
8,grid_existing,rural,2020,baseline,GWh,68.57
8,grid_existing,urban,2020,baseline,GWh,194.75
8,grid_new,rural,2020,baseline,GWh,0.0
8,grid_new,urban,2020,baseline,GWh,0.0
8,sa_pv,rural,2020,baseline,GWh,0.0
8,sa_pv,urban,2020,baseline,GWh,0.0
8,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
8,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
8,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
8,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
8,mg_hydro,rural,2020,baseline,GWh,0.0
