,Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
0,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_CHN,Trade|Primary Energy|Biomass|Value|Shipped,billion US$/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_CHN,Trade|Primary Energy|Biomass|Volume|Shipped,EJ/yr,0.0,0.0,3.0069746495467284e-06,2.2519151931290186e-07,2.2519151931290186e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_CHN,Trade|Primary Energy|Coal|Volume|Shipped,EJ/yr,0.1691042394910284,5.54003489429179e-07,0.0141163290528032,0.0784127321478923,0.0784127321478923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_CHN,Trade|Primary Energy|Gas|Value|Shipped,billion US$/yr,0.0,0.0,0.0,0.0,0.0,0.2245218433818191,0.5876488206983336,0.0,0.0,0.4554359601875457,0.7172628758252955,0.0,0.0,0.0,0.0,0.0
4,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_CHN,Trade|Primary Energy|Gas|Volume|Shipped,EJ/yr,0.0103056798407239,0.0312021527372143,0.1762199341271286,0.0761987317159166,0.0761987317159166,0.1018362481475035,0.2593517986038554,0.0,0.0,0.2089129340759094,0.290093351825163,0.0,0.0,0.0,0.0,0.0
5,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_CHN,Trade|Primary Energy|Oil|Volume|Shipped,EJ/yr,1.985495906338968,2.2621468246369223,3.1429991858496207,2.055191798633957,2.055191798633957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_EEU,Trade|Primary Energy|Biomass|Volume|Shipped,EJ/yr,2.720901009437193e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_EEU,Trade|Primary Energy|Coal|Volume|Shipped,EJ/yr,0.0065494109122141,0.005304657636251,0.1548083495183452,0.0584773650697827,0.0584773650697827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_EEU,Trade|Primary Energy|Gas|Value|Shipped,billion US$/yr,0.0,0.0,0.0,0.0,0.0,0.5688695752560748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_EEU,Trade|Primary Energy|Gas|Volume|Shipped,EJ/yr,0.0,0.0,0.0030955010845766,0.0170098349954958,0.0170098349954958,0.2580218581709437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_EEU,Trade|Primary Energy|Oil|Volume|Shipped,EJ/yr,5.242557991672693e-07,0.022075087305345,0.0583888930149085,0.0618850809661349,0.0618850809661349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_FSU,Trade|Primary Energy|Biomass|Volume|Shipped,EJ/yr,0.0,7.059264583678358e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_FSU,Trade|Primary Energy|Coal|Volume|Shipped,EJ/yr,4.485044620474538e-10,0.0243174023751948,0.0,0.000362124694849,0.000362124694849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_FSU,Trade|Primary Energy|Oil|Volume|Shipped,EJ/yr,0.0,1.8269337305089978e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_LAM,Trade|Primary Energy|Biomass|Volume|Shipped,EJ/yr,8.811842060070073e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_LAM,Trade|Primary Energy|Coal|Volume|Shipped,EJ/yr,0.0927650211215447,0.0302967339647976,0.0089994181391336,0.0191759560438667,0.0191759560438667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_LAM,Trade|Primary Energy|Gas|Value|Shipped,billion US$/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875807018772615,1.559668359250384,2.9537006439463127,4.782533408841486,5.553580739645239,7.665600640938416,12.184347307196196
17,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_LAM,Trade|Primary Energy|Gas|Volume|Shipped,EJ/yr,0.1689778311467138,0.2226251688331908,0.0334052456253376,0.0084634812141476,0.0084634812141476,0.0,0.0,0.0,0.0,0.3154,0.6308,1.2616,1.8924,1.7171427391914629,2.3765546814546856,3.7848
18,sparccle_trade,SSP3_NPiREF_frictions,R12_AFR>R12_LAM,Trade|Primary Energy|Oil|Value|Shipped,billion US$/yr,0.0,0.0,0.0,0.0,0.0,4.978353087579684,0.0,0.0,0.0,4.868423025567188,2.369017688915835,0.0,0.0,0.0,0.0,0.0
