,Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025
0,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_CHN,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,,,3.0069746495467284e-06,2.2519151931290186e-07
1,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_CHN,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.1691042394910284,5.54003489429179e-07,0.0141163290528032,0.0784127321478923
2,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_CHN,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,1.985495906338968,2.2621468246369223,3.1429991858496207,2.055191798633957
3,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_EEU,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,2.720901009437193e-08,,,
4,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_EEU,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.0065494109122141,0.005304657636251,0.1548083495183452,0.0584773650697827
5,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_EEU,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,5.242557991672693e-07,0.022075087305345,0.0583888930149085,0.0618850809661349
6,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_FSU,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,,7.059264583678358e-09,,
7,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_FSU,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,4.485044620474538e-10,0.0243174023751948,,0.000362124694849
8,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_FSU,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,,1.8269337305089978e-10,,
9,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_LAM,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,8.811842060070073e-10,,,
10,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_LAM,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.0927650211215447,0.0302967339647976,0.0089994181391336,0.0191759560438667
11,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_LAM,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,0.6705168236252368,0.698754331150089,0.1227087441399977,0.2010539614828622
12,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_MEA,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,,,1.2238669527875102e-08,3.0117040245558235e-06
13,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_MEA,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.1642039068471603,0.3174279990113322,0.0599176385806294,0.130887894715478
14,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_MEA,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,0.0063500522482972,0.0027343302935381,0.0287275263609967,0.0793470349956012
15,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_NAM,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,8.811842060070074e-08,2.839120276928611e-05,5.536490486496511e-07,9.298764478204594e-09
16,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_NAM,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.0037570537669116,0.022128023662463,0.0326557161628634,0.0070532375293685
17,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_NAM,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,4.175652477007694,0.8082812126267176,0.3910632975234186,0.7194878242951328
18,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_PAO,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.0066983780941216,0.0069573232279499,0.0023523212277558,0.0970224719394524
19,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_PAO,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,0.096739922700434,0.1167875807426132,0.0578127759092303,0.0109396834093532
20,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_PAS,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.1640433398086693,0.0455437893549809,0.0460343819769438,0.2386332365580485
21,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_PAS,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,0.1612802553890847,0.4955065997113055,0.5273586704165079,0.6612862120604358
22,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_RCPA,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,,0.0008997617690745,0.2431431793007905,0.0961659645344779
23,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_RCPA,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,,0.0335346541041973,0.0138051486837008,0.0075224103037808
24,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_SAS,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,,,,7.34320171672506e-10
25,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_SAS,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.6608019918358015,1.2073669359815418,1.5002680892613276,1.096961515647495
26,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_SAS,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,1.1533044466180462,1.4824288500946756,0.7911325825083786,0.3553607742111582
27,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_WEU,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,5.364091881994478e-05,1.3455347237624753e-06,8.525758409229913e-09,1.9537572592595402e-07
28,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_WEU,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.4827131203620009,0.3963123573905505,0.0739705389414119,0.2952580057623168
29,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_AFR>R12_WEU,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,1.904570136214846,3.440685682892401,2.0909541168191783,2.1996304230573718
30,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_AFR,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,4.254357346601832e-07,1.9639148217990623e-06,6.571675989687815e-07,3.079249253213375e-08
31,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_AFR,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.0053840462421052,0.0052004932912211,0.0010178487362603,0.0078065441938453
32,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_AFR,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,4.988333405064186e-07,4.2404034399843255e-06,2.191383038643723e-07,1.0427346738704776e-06
33,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_EEU,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,2.6964236703814424e-08,5.1206593304629425e-09,1.1032426259207733e-07,4.435195927545714e-07
34,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_EEU,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.0016102561234104,0.0043754898326538,0.0001347839854616,0.0044526618057228
35,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_EEU,Trade|Primary Energy|Oil [Volume]|Shipped,EJ/yr,4.003076260458771e-10,,,6.2385835188832e-10
36,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_FSU,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,1.0525255793972588e-07,,1.7394576226578321e-07,1.566549699568013e-08
37,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_FSU,Trade|Primary Energy|Coal [Volume]|Shipped,EJ/yr,0.0064868807120486,0.0128512803136256,0.001400905399058,0.0022332914352704
38,sparccle_trade,SSP3_NPiREF_impcosts_hi,R12_CHN>R12_LAM,Trade|Primary Energy|Biomass [Volume]|Shipped,EJ/yr,3.191845012869827e-08,6.599090609430255e-09,4.786005150892726e-07,8.35362627294643e-08
