# Efficiency of LDVs
#
# Source: Extracted from ldv-cost-efficiency-full.csv sheets named, e.g.
# "MESSAGE_LDV_nam" in cells C62:Q74. Cells that duplicated the preceding period
# (i.e. that were filled forward in time) are not included.
#
# Unit: gigavehicle kilometre / (gigawatt year)
#
node,technology,year,value
11_AFR,ELC_100,2010,33.148788
R11_AFR,ELC_100,2015,33.148788
R11_AFR,ELC_100,2020,33.148788
R11_AFR,ELC_100,2025,34.769306
R11_AFR,ELC_100,2030,33.932648
R11_AFR,ELC_100,2035,34.160843
R11_AFR,ELC_100,2040,34.280197
R11_AFR,ELC_100,2045,34.290974
R11_AFR,ELC_100,2050,34.193489
R11_AFR,ELC_100,2055,33.988079
R11_AFR,ELC_100,2060,33.675152
R11_AFR,ELC_100,2070,36.042
R11_AFR,ELC_100,2080,38.408852
R11_AFR,ELC_100,2090,40.7757
R11_AFR,ELC_100,2100,43.142548
R11_AFR,HFC_ptrp,2010,17.205473
R11_AFR,HFC_ptrp,2015,17.205473
R11_AFR,HFC_ptrp,2020,17.205473
R11_AFR,HFC_ptrp,2025,18.306599
R11_AFR,HFC_ptrp,2030,18.488928
R11_AFR,HFC_ptrp,2035,19.058323
R11_AFR,HFC_ptrp,2040,19.580505
R11_AFR,HFC_ptrp,2045,20.056271
R11_AFR,HFC_ptrp,2050,20.486452
R11_AFR,HFC_ptrp,2055,20.871889
R11_AFR,HFC_ptrp,2060,21.213467
R11_AFR,HFC_ptrp,2070,23.009291
R11_AFR,HFC_ptrp,2080,24.805115
R11_AFR,HFC_ptrp,2090,26.600937
R11_AFR,HFC_ptrp,2100,28.396761
R11_AFR,IAHe_ptrp,2010,13.814405
R11_AFR,IAHe_ptrp,2015,13.814405
R11_AFR,IAHe_ptrp,2020,13.814405
R11_AFR,IAHe_ptrp,2025,14.749756
R11_AFR,IAHe_ptrp,2030,14.942543
R11_AFR,IAHe_ptrp,2035,15.444941
R11_AFR,IAHe_ptrp,2040,15.907074
R11_AFR,IAHe_ptrp,2045,16.329617
R11_AFR,IAHe_ptrp,2050,16.713266
R11_AFR,IAHe_ptrp,2055,17.058737
R11_AFR,IAHe_ptrp,2060,17.366772
R11_AFR,IAHe_ptrp,2070,18.892231
