# ‘Elasticity’ of freight activity with respect to GDP(PPP)
#
# Units: dimensionless
#
scenario,      node,     technology, year, value
DIGSY-BEST-C,R12_AFR,*,2020,1
DIGSY-BEST-C,R12_AFR,*,2025,1
DIGSY-BEST-C,R12_AFR,*,2030,.99844784
DIGSY-BEST-C,R12_AFR,*,2035,.99147832
DIGSY-BEST-C,R12_AFR,*,2040,.96910357
DIGSY-BEST-C,R12_AFR,*,2045,.94405073
DIGSY-BEST-C,R12_AFR,*,2050,.9327901
DIGSY-BEST-C,R12_AFR,*,2055,.9327901
DIGSY-BEST-C,R12_AFR,*,2060,.9327901
DIGSY-BEST-C,R12_AFR,*,2070,.9327901
DIGSY-BEST-C,R12_AFR,*,2080,.9327901
DIGSY-BEST-C,R12_AFR,*,2090,.9327901
DIGSY-BEST-C,R12_AFR,*,2100,.9327901
DIGSY-BEST-C,R12_AFR,*,2110,.9327901
DIGSY-BEST-C,R12_CHN,*,2020,1
DIGSY-BEST-C,R12_CHN,*,2025,.89999998
DIGSY-BEST-C,R12_CHN,*,2030,.79824126
DIGSY-BEST-C,R12_CHN,*,2035,.77257538
DIGSY-BEST-C,R12_CHN,*,2040,.73390627
DIGSY-BEST-C,R12_CHN,*,2045,.69622701
DIGSY-BEST-C,R12_CHN,*,2050,.67221886
DIGSY-BEST-C,R12_CHN,*,2055,.65483391
DIGSY-BEST-C,R12_CHN,*,2060,.63744891
DIGSY-BEST-C,R12_CHN,*,2070,.60267895
DIGSY-BEST-C,R12_CHN,*,2080,.567909
DIGSY-BEST-C,R12_CHN,*,2090,.53313911
DIGSY-BEST-C,R12_CHN,*,2100,.49836916
DIGSY-BEST-C,R12_CHN,*,2110,.46359921
DIGSY-BEST-C,R12_EEU,*,2020,1
DIGSY-BEST-C,R12_EEU,*,2025,.89999998
DIGSY-BEST-C,R12_EEU,*,2030,.79822779
DIGSY-BEST-C,R12_EEU,*,2035,.79085064
DIGSY-BEST-C,R12_EEU,*,2040,.76868075
DIGSY-BEST-C,R12_EEU,*,2045,.74644619
DIGSY-BEST-C,R12_EEU,*,2050,.73905063
DIGSY-BEST-C,R12_EEU,*,2055,.73905063
DIGSY-BEST-C,R12_EEU,*,2060,.73905063
DIGSY-BEST-C,R12_EEU,*,2070,.73905063
DIGSY-BEST-C,R12_EEU,*,2080,.73905063
DIGSY-BEST-C,R12_EEU,*,2090,.73905063
DIGSY-BEST-C,R12_EEU,*,2100,.73905063
DIGSY-BEST-C,R12_EEU,*,2110,.73905063
DIGSY-BEST-C,R12_FSU,*,2020,1
DIGSY-BEST-C,R12_FSU,*,2025,.74000001
DIGSY-BEST-C,R12_FSU,*,2030,.47904706
DIGSY-BEST-C,R12_FSU,*,2035,.47515532
DIGSY-BEST-C,R12_FSU,*,2040,.4635402
DIGSY-BEST-C,R12_FSU,*,2045,.4518106
DIGSY-BEST-C,R12_FSU,*,2050,.44773924
DIGSY-BEST-C,R12_FSU,*,2055,.44773924
DIGSY-BEST-C,R12_FSU,*,2060,.44773924
DIGSY-BEST-C,R12_FSU,*,2070,.44773924
DIGSY-BEST-C,R12_FSU,*,2080,.44773924
DIGSY-BEST-C,R12_FSU,*,2090,.44773924
DIGSY-BEST-C,R12_FSU,*,2100,.44773924
DIGSY-BEST-C,R12_FSU,*,2110,.44773924
DIGSY-BEST-C,R12_LAM,*,2020,1
DIGSY-BEST-C,R12_LAM,*,2025,1
DIGSY-BEST-C,R12_LAM,*,2030,.99804395
DIGSY-BEST-C,R12_LAM,*,2035,.99001312
DIGSY-BEST-C,R12_LAM,*,2040,.96593821
DIGSY-BEST-C,R12_LAM,*,2045,.94145995
DIGSY-BEST-C,R12_LAM,*,2050,.9327901
DIGSY-BEST-C,R12_LAM,*,2055,.9327901
DIGSY-BEST-C,R12_LAM,*,2060,.9327901
DIGSY-BEST-C,R12_LAM,*,2070,.9327901
DIGSY-BEST-C,R12_LAM,*,2080,.9327901
DIGSY-BEST-C,R12_LAM,*,2090,.9327901
DIGSY-BEST-C,R12_LAM,*,2100,.9327901
DIGSY-BEST-C,R12_LAM,*,2110,.9327901
