# Fixed operation & maintenance cost of LDVs
#
# Source: Duplicated from corresponding R11 file.
#
# Unit: USD_2010 / vehicle
#
scenario,    node,     technology, year, value
*,           R12_AFR,  ELC_100,    2010, 37592.95347
*,           R12_AFR,  ELC_100,    2015, 40810.61284
*,           R12_AFR,  ELC_100,    2020, 35701.4
*,           R12_AFR,  ELC_100,    2025, 30592
*,           R12_AFR,  ELC_100,    2030, 30567
*,           R12_AFR,  ELC_100,    2035, 30542
*,           R12_AFR,  ELC_100,    2040, 31261
*,           R12_AFR,  ELC_100,    2045, 31980
*,           R12_AFR,  ELC_100,    2050, 31980
*,           R12_AFR,  ELC_100,    2055, 31980
*,           R12_AFR,  ELC_100,    2060, 31980
*,           R12_AFR,  HFC_ptrp,   2010, 71540.63392
*,           R12_AFR,  HFC_ptrp,   2015, 37186.16314
*,           R12_AFR,  HFC_ptrp,   2025, 31205.25641
*,           R12_AFR,  HFC_ptrp,   2035, 29105.05137
*,           R12_AFR,  HFC_ptrp,   2045, 28585.62238
*,           R12_AFR,  IAHe_ptrp,  2010, 30389.91964
*,           R12_AFR,  IAHe_ptrp,  2015, 27278.47119
*,           R12_AFR,  IAHe_ptrp,  2025, 25446.23963
*,           R12_AFR,  IAHe_ptrp,  2035, 25795.46938
*,           R12_AFR,  IAHe_ptrp,  2045, 25034.62917
*,           R12_AFR,  IAHm_ptrp,  2010, 30389.91964
*,           R12_AFR,  IAHm_ptrp,  2015, 27278.47119
*,           R12_AFR,  IAHm_ptrp,  2020, 27278.47119
*,           R12_AFR,  IAHm_ptrp,  2025, 25446.23963
*,           R12_AFR,  IAHm_ptrp,  2030, 25446.23963
*,           R12_AFR,  IAHm_ptrp,  2035, 25795.46938
*,           R12_AFR,  IAHm_ptrp,  2040, 25795.46938
*,           R12_AFR,  IAHm_ptrp,  2045, 25034.62917
*,           R12_AFR,  IAHm_ptrp,  2050, 25034.62917
*,           R12_AFR,  ICAe_ffv,   2010, 23441.74845
*,           R12_AFR,  ICAe_ffv,   2015, 22095.32227
*,           R12_AFR,  ICAe_ffv,   2020, 22095.32227
*,           R12_AFR,  ICAe_ffv,   2025, 22454.54008
