# Load factor (occupancy) of LDVs
#
# Source: Constructed by @r-aneeque
#
# Units: passenger / vehicle
#
node,     year, value
R12_AFR,2020,2.0574164
R12_AFR,2025,2.1338108
R12_AFR,2030,2.0743315
R12_AFR,2035,2.0513215
R12_AFR,2040,2.0380061
R12_AFR,2045,2.0232458
R12_AFR,2050,2.0102484
R12_AFR,2055,2.0067623
R12_AFR,2060,2.0077012
R12_AFR,2065,2.0050247
R12_AFR,2070,2.0069034
R12_AFR,2075,2.0100861
R12_AFR,2080,2.0154283
R12_AFR,2085,2.0219309
R12_AFR,2090,2.0281026
R12_AFR,2095,2.0334969
R12_AFR,2100,2.0403614
R12_AFR,2110,2.0403614
R12_CHN,2020,2.0095136
R12_CHN,2025,1.922536
R12_CHN,2030,1.8795047
R12_CHN,2035,1.8271936
R12_CHN,2040,1.8302491
R12_CHN,2045,1.8170755
R12_CHN,2050,1.8035628
R12_CHN,2055,1.8023657
R12_CHN,2060,1.8094246
R12_CHN,2065,1.804853
R12_CHN,2070,1.8207037
R12_CHN,2075,1.8399476
R12_CHN,2080,1.8606263
R12_CHN,2085,1.8825272
R12_CHN,2090,1.904439
R12_CHN,2095,1.9270594
R12_CHN,2100,1.9495002
R12_CHN,2110,1.9495002
R12_EEU,2020,1.8493048
R12_EEU,2025,1.873937
R12_EEU,2030,1.8843828
R12_EEU,2035,1.8871064
R12_EEU,2040,1.8923442
R12_EEU,2045,1.9032665
R12_EEU,2050,1.9128997
R12_EEU,2055,1.9212908
R12_EEU,2060,1.93282
R12_EEU,2065,1.9357842
R12_EEU,2070,1.9381158
R12_EEU,2075,1.9406182
R12_EEU,2080,1.9434092
R12_EEU,2085,1.9462861
R12_EEU,2090,1.9488846
R12_EEU,2095,1.9507593
R12_EEU,2100,1.9525255
R12_EEU,2110,1.9525255
R12_FSU,2020,1.938018
R12_FSU,2025,1.9817702
R12_FSU,2030,1.960783
R12_FSU,2035,1.9478806
R12_FSU,2040,1.941739
R12_FSU,2045,1.9475403
R12_FSU,2050,1.9579035
R12_FSU,2055,1.9723405
R12_FSU,2060,1.980202
R12_FSU,2065,1.9798871
R12_FSU,2070,1.9791552
R12_FSU,2075,1.9809905
R12_FSU,2080,1.9845498
R12_FSU,2085,1.9903524
R12_FSU,2090,2.0017996
R12_FSU,2095,2.0138571
R12_FSU,2100,2.0234063
R12_FSU,2110,2.0234063
R12_LAM,2020,1.7327521
R12_LAM,2025,1.7207439
R12_LAM,2030,1.734242
R12_LAM,2035,1.7421415
R12_LAM,2040,1.7530392
R12_LAM,2045,1.753733
R12_LAM,2050,1.7533805
R12_LAM,2055,1.7580614
R12_LAM,2060,1.7633744
R12_LAM,2065,1.7631809
R12_LAM,2070,1.7637266
R12_LAM,2075,1.7635329
R12_LAM,2080,1.7632359
