# Load factor (occupancy) of LDVs
#
# Source: IIASA SharePoint > Documents > MESSAGEix-Transport
#   > External shared data > MCE EDITS >
#   > PASTA data-20250822T114700Z-1-001 > PASTA data
#   > load-factor-ldv.csv, rows with scenario="EDITS_BAU"
#
# Units: dimensionless
# (Implicitly passengers per vehicle.)
#
node,     year, value
R12_AFR,  2015, 2.206028607
R12_AFR,  2019, 2.153725067
R12_AFR,  2020, 2.023714991
R12_AFR,  2022, 2.115830939
R12_AFR,  2025, 2.100278234
R12_AFR,  2030, 2.085958988
R12_AFR,  2035, 2.035295253
R12_AFR,  2040, 2.021725774
R12_AFR,  2045, 2.022657468
R12_AFR,  2050, 1.986811334
R12_AFR,  2055, 1.994038823
R12_AFR,  2060, 1.995633177
R12_AFR,  2065, 1.995563284
R12_AFR,  2100, 1.995563284
R12_CHN,  2015, 2.106120069
R12_CHN,  2019, 1.926729433
R12_CHN,  2020, 2.013124284
R12_CHN,  2022, 1.920296479
R12_CHN,  2025, 1.919900383
R12_CHN,  2030, 1.879283078
R12_CHN,  2035, 1.826601106
R12_CHN,  2040, 1.824569243
R12_CHN,  2045, 1.804581304
R12_CHN,  2050, 1.784751488
R12_CHN,  2055, 1.791345972
R12_CHN,  2060, 1.807520296
R12_CHN,  2065, 1.807413721
R12_CHN,  2100, 1.807413721
R12_EEU,  2015, 1.83228028
R12_EEU,  2019, 1.822310453
R12_EEU,  2020, 1.834038659
R12_EEU,  2022, 1.826122917
R12_EEU,  2025, 1.867799987
R12_EEU,  2030, 1.879061516
R12_EEU,  2035, 1.884560182
R12_EEU,  2040, 1.889006296
R12_EEU,  2045, 1.902029392
R12_EEU,  2050, 1.909019937
R12_EEU,  2055, 1.913873238
R12_EEU,  2060, 1.916791231
R12_EEU,  2065, 1.916783447
R12_EEU,  2100, 1.916783447
R12_FSU,  2015, 2.008686688
R12_FSU,  2019, 1.961773355
R12_FSU,  2020, 1.920597307
R12_FSU,  2022, 1.952521319
R12_FSU,  2025, 1.969644261
R12_FSU,  2030, 1.954521417
R12_FSU,  2035, 1.94047236
R12_FSU,  2040, 1.928010429
R12_FSU,  2045, 1.925226257
R12_FSU,  2050, 1.920121631
R12_FSU,  2055, 1.924489248
R12_FSU,  2060, 1.926614594
R12_FSU,  2065, 1.926444683
R12_FSU,  2100, 1.926444683
R12_LAM,  2015, 1.718690305
R12_LAM,  2019, 1.737172911
R12_LAM,  2020, 1.755188444
R12_LAM,  2022, 1.728401556
R12_LAM,  2025, 1.738865169
R12_LAM,  2030, 1.752808148
R12_LAM,  2035, 1.756624343
R12_LAM,  2040, 1.757056457
R12_LAM,  2045, 1.752849922
R12_LAM,  2050, 1.746865863
R12_LAM,  2055, 1.742304664
R12_LAM,  2060, 1.74786057
R12_LAM,  2065, 1.772081442
R12_LAM,  2070, 1.772081441
R12_LAM,  2100, 1.772081441
R12_MEA,  2015, 1.404350336
R12_MEA,  2019, 1.383481502
R12_MEA,  2020, 1.404096627
R12_MEA,  2022, 1.387701554
R12_MEA,  2025, 1.379312986
R12_MEA,  2030, 1.395922932
R12_MEA,  2035, 1.387491109
R12_MEA,  2040, 1.394806716
R12_MEA,  2045, 1.410259718
R12_MEA,  2050, 1.406199097
R12_MEA,  2055, 1.410910274
R12_MEA,  2060, 1.404552902
R12_MEA,  2065, 1.404173632
R12_MEA,  2100, 1.404173632
R12_NAM,  2015, 1.758714731
R12_NAM,  2019, 1.774772009
R12_NAM,  2020, 1.665515014
R12_NAM,  2022, 1.785716221
R12_NAM,  2025, 1.799215904
R12_NAM,  2030, 1.822066479
R12_NAM,  2035, 1.830889142
R12_NAM,  2040, 1.842156521
R12_NAM,  2045, 1.850686279
R12_NAM,  2050, 1.852178685
R12_NAM,  2055, 1.844634383
R12_NAM,  2060, 1.822745739
R12_NAM,  2065, 1.822745627
R12_NAM,  2100, 1.822745627
R12_PAO,  2015, 1.465901765
R12_PAO,  2019, 1.473152925
R12_PAO,  2020, 1.467866967
R12_PAO,  2022, 1.470588342
R12_PAO,  2025, 1.467103477
R12_PAO,  2030, 1.456813912
R12_PAO,  2035, 1.463475855
R12_PAO,  2040, 1.480829039
R12_PAO,  2045, 1.491336887
R12_PAO,  2050, 1.503164796
R12_PAO,  2055, 1.508152253
R12_PAO,  2060, 1.532857159
R12_PAO,  2100, 1.532857159
R12_PAS,  2015, 1.801762466
R12_PAS,  2019, 1.779219317
R12_PAS,  2020, 1.758398576
R12_PAS,  2022, 1.772362753
R12_PAS,  2025, 1.794285286
R12_PAS,  2030, 1.812704155
R12_PAS,  2035, 1.821794252
R12_PAS,  2040, 1.830052545
R12_PAS,  2045, 1.836133394
R12_PAS,  2050, 1.836477579
R12_PAS,  2055, 1.859453549
R12_PAS,  2060, 1.87706839
R12_PAS,  2065, 1.877296935
R12_PAS,  2100, 1.877296935
R12_RCPA, 2015, 1.943747158
R12_RCPA, 2019, 1.927608564
R12_RCPA, 2020, 1.891163171
R12_RCPA, 2022, 1.902560659
R12_RCPA, 2025, 1.927625004
R12_RCPA, 2030, 1.949016538
R12_RCPA, 2035, 1.962110832
R12_RCPA, 2040, 1.963352956
R12_RCPA, 2045, 1.964914483
R12_RCPA, 2050, 1.967106703
R12_RCPA, 2055, 1.972734892
R12_RCPA, 2060, 1.98034641
R12_RCPA, 2100, 1.98034641
R12_SAS,  2015, 3.38419978
R12_SAS,  2019, 3.293882892
R12_SAS,  2020, 3.251554348
R12_SAS,  2022, 3.279715707
R12_SAS,  2025, 3.279706644
R12_SAS,  2030, 3.260281527
R12_SAS,  2035, 3.233163746
R12_SAS,  2040, 3.21601422
R12_SAS,  2045, 3.170972895
R12_SAS,  2050, 3.132171247
R12_SAS,  2055, 3.1548773
R12_SAS,  2060, 3.183737765
R12_SAS,  2065, 3.183910929
R12_SAS,  2100, 3.183910929
R12_WEU,  2015, 1.391764818
R12_WEU,  2019, 1.387311418
R12_WEU,  2020, 1.389966011
R12_WEU,  2022, 1.39138343
R12_WEU,  2025, 1.402213533
R12_WEU,  2030, 1.406700753
R12_WEU,  2035, 1.410311835
R12_WEU,  2040, 1.414122134
R12_WEU,  2045, 1.417882895
R12_WEU,  2050, 1.419352475
R12_WEU,  2055, 1.420611988
R12_WEU,  2060, 1.421140397
R12_WEU,  2065, 1.421140076
R12_WEU,  2100, 1.421140076
