node,year,value
R12_AFR,2015,2.241640342
R12_AFR,2019,2.194992539
R12_AFR,2020,2.057786723
R12_AFR,2022,2.15169614
R12_AFR,2025,2.134202922
R12_AFR,2030,2.141095669
R12_AFR,2035,2.179443821
R12_AFR,2040,2.231076634
R12_AFR,2045,2.269838825
R12_AFR,2050,2.309412908
R12_AFR,2055,2.360476787
R12_AFR,2060,2.414812527
R12_AFR,2065,2.415738092
R12_AFR,2070,2.421102166
R12_AFR,2075,2.423502518
R12_AFR,2080,2.42782795
R12_AFR,2085,2.429384365
R12_AFR,2090,2.432380575
R12_AFR,2095,2.432759821
R12_AFR,2100,2.434439902
R12_CHN,2015,2.101214885
R12_CHN,2019,1.925271832
R12_CHN,2020,2.009513562
R12_CHN,2022,1.919876426
R12_CHN,2025,1.922536027
R12_CHN,2030,1.927115207
R12_CHN,2035,1.924378692
R12_CHN,2040,1.971627688
R12_CHN,2045,2.007096569
R12_CHN,2050,2.048486904
R12_CHN,2055,2.107848346
R12_CHN,2060,2.180454658
R12_CHN,2065,2.194546872
R12_CHN,2070,2.223171498
R12_CHN,2075,2.254266371
R12_CHN,2080,2.280450936
R12_CHN,2085,2.307985657
R12_CHN,2090,2.330908921
R12_CHN,2095,2.354649096
R12_CHN,2100,2.374140336
R12_EEU,2015,1.837456736
R12_EEU,2019,1.830533902
R12_EEU,2020,1.849304762
R12_EEU,2022,1.835411226
R12_EEU,2025,1.873936979
R12_EEU,2030,1.892318783
R12_EEU,2035,1.901540529
R12_EEU,2040,1.911951389
R12_EEU,2045,1.927582334
R12_EEU,2050,1.939729627
R12_EEU,2055,1.949878613
R12_EEU,2060,1.962886904
R12_EEU,2065,1.964531461
R12_EEU,2070,1.96612921
R12_EEU,2075,1.967563493
R12_EEU,2080,1.969311389
R12_EEU,2085,1.970951954
R12_EEU,2090,1.973309981
R12_EEU,2095,1.973757486
R12_EEU,2100,1.975156608
R12_FSU,2015,2.013572697
R12_FSU,2019,1.970412206
R12_FSU,2020,1.93801799
R12_FSU,2022,1.962958261
R12_FSU,2025,1.981770187
R12_FSU,2030,1.978985497
R12_FSU,2035,1.989919485
R12_FSU,2040,2.003341774
R12_FSU,2045,2.02490465
R12_FSU,2050,2.0446015
R12_FSU,2055,2.068860548
R12_FSU,2060,2.089502434
R12_FSU,2065,2.091585922
R12_FSU,2070,2.092863296
R12_FSU,2075,2.094714617
R12_FSU,2080,2.098394012
R12_FSU,2085,2.100653392
R12_FSU,2090,2.109547159
R12_FSU,2095,2.117491147
R12_FSU,2100,2.125927002
R12_LAM,2015,1.707774033
R12_LAM,2019,1.723704252
R12_LAM,2020,1.732752079
R12_LAM,2022,1.71359096
R12_LAM,2025,1.720743871
R12_LAM,2030,1.76258302
R12_LAM,2035,1.799662519
R12_LAM,2040,1.846272703
R12_LAM,2045,1.874862168
R12_LAM,2050,1.902966708
R12_LAM,2055,1.930815625
R12_LAM,2060,1.966972114
R12_LAM,2065,1.973937647
R12_LAM,2070,1.990491468
R12_LAM,2075,1.996382967
R12_LAM,2080,2.00824988
R12_LAM,2085,2.012700634
R12_LAM,2090,2.026637218
R12_LAM,2095,2.03085412
R12_LAM,2100,2.047024347
R12_MEA,2015,1.436309043
R12_MEA,2019,1.447885377
R12_MEA,2020,1.467753966
R12_MEA,2022,1.451674937
R12_MEA,2025,1.447045869
R12_MEA,2030,1.480205443
R12_MEA,2035,1.493417809
R12_MEA,2040,1.50845022
R12_MEA,2045,1.527722524
R12_MEA,2050,1.541314707
R12_MEA,2055,1.553614561
R12_MEA,2060,1.5740034
R12_MEA,2065,1.565194488
R12_MEA,2070,1.582591456
R12_MEA,2075,1.588832426
R12_MEA,2080,1.600807304
R12_MEA,2085,1.628490666
R12_MEA,2090,1.729513844
R12_MEA,2095,2.072718535
R12_MEA,2100,2.491499479
R12_NAM,2015,1.758176055
