# Mode shares in the model base year; Transport Futures "A---" scenario
#
# - Duplicated manually from corresponding R11 data as of 2022-02-22.
#
# Units: dimensionless
#
node, technology, value
R12_AFR, 2W, 0.2
R12_AFR, BUS, 0.2
R12_AFR, LDV, 0.2
R12_AFR, RAIL, 0.3
R12_AFR, AIR, 0.1
R12_CHN, 2W, 0.2
R12_CHN, BUS, 0.2
R12_CHN, LDV, 0.2
R12_CHN, RAIL, 0.3
R12_CHN, AIR, 0.1
R12_RCPA, 2W, 0.2
R12_RCPA, BUS, 0.2
R12_RCPA, LDV, 0.2
R12_RCPA, RAIL, 0.3
R12_RCPA, AIR, 0.1
R12_EEU, 2W, 0.2
R12_EEU, BUS, 0.2
R12_EEU, LDV, 0.2
R12_EEU, RAIL, 0.3
R12_EEU, AIR, 0.1
R12_FSU, 2W, 0.2
R12_FSU, BUS, 0.2
R12_FSU, LDV, 0.2
R12_FSU, RAIL, 0.3
R12_FSU, AIR, 0.1
R12_LAM, 2W, 0.2
R12_LAM, BUS, 0.2
R12_LAM, LDV, 0.2
R12_LAM, RAIL, 0.3
R12_LAM, AIR, 0.1
R12_MEA, 2W, 0.2
R12_MEA, BUS, 0.2
R12_MEA, LDV, 0.2
R12_MEA, RAIL, 0.3
R12_MEA, AIR, 0.1
R12_NAM, 2W, 0.2
R12_NAM, BUS, 0.2
R12_NAM, LDV, 0.2
R12_NAM, RAIL, 0.3
R12_NAM, AIR, 0.1
R12_PAO, 2W, 0.2
R12_PAO, BUS, 0.2
R12_PAO, LDV, 0.2
R12_PAO, RAIL, 0.3
R12_PAO, AIR, 0.1
R12_PAS, 2W, 0.2
R12_PAS, BUS, 0.2
R12_PAS, LDV, 0.2
R12_PAS, RAIL, 0.3
R12_PAS, AIR, 0.1
R12_SAS, 2W, 0.2
R12_SAS, BUS, 0.2
R12_SAS, LDV, 0.2
R12_SAS, RAIL, 0.3
R12_SAS, AIR, 0.1
R12_WEU, 2W, 0.2
R12_WEU, BUS, 0.2
R12_WEU, LDV, 0.2
R12_WEU, RAIL, 0.3
R12_WEU, AIR, 0.1
