# Projected passenger-distance travelled (PDT) per capita
#
# Units: km / year
# 
scenario,node,technology,year,value
LED,R12_AFR,2020,2W,360
LED,R12_AFR,2020,AIR,120
LED,R12_AFR,2020,BUS,1740
LED,R12_AFR,2020,LDV,720
LED,R12_AFR,2020,RAIL,60
LED,R12_AFR,2025,2W,355.6542051
LED,R12_AFR,2025,AIR,122.9540528
LED,R12_AFR,2025,BUS,1745.838841
LED,R12_AFR,2025,LDV,813.0757299
LED,R12_AFR,2025,RAIL,107.7461131
LED,R12_AFR,2030,2W,361.0494758
LED,R12_AFR,2030,AIR,131.1429028
LED,R12_AFR,2030,BUS,1793.900233
LED,R12_AFR,2030,LDV,946.142046
LED,R12_AFR,2030,RAIL,165.1074214
LED,R12_AFR,2035,2W,378.8524394
LED,R12_AFR,2035,AIR,147.3268324
LED,R12_AFR,2035,BUS,1897.937553
LED,R12_AFR,2035,LDV,1145.53788
LED,R12_AFR,2035,RAIL,240.6107073
LED,R12_AFR,2040,2W,399.0339475
LED,R12_AFR,2040,AIR,167.7804331
LED,R12_AFR,2040,BUS,2019.730505
LED,R12_AFR,2040,LDV,1396.666568
LED,R12_AFR,2040,RAIL,335.9516493
LED,R12_AFR,2045,2W,409.9774946
LED,R12_AFR,2045,AIR,188.9429585
LED,R12_AFR,2045,BUS,2100.543973
LED,R12_AFR,2045,LDV,1670.541621
LED,R12_AFR,2045,RAIL,445.3836397
LED,R12_AFR,2050,2W,416.7879821
LED,R12_AFR,2050,AIR,214.0599827
LED,R12_AFR,2050,BUS,2166.962533
LED,R12_AFR,2050,LDV,1992.389173
LED,R12_AFR,2050,RAIL,575.3415005
LED,R12_AFR,2055,2W,418.397962
LED,R12_AFR,2055,AIR,244.4269305
LED,R12_AFR,2055,BUS,2214.51666
LED,R12_AFR,2055,LDV,2370.110951
LED,R12_AFR,2055,RAIL,728.5347453
LED,R12_AFR,2060,2W,413.2283756
LED,R12_AFR,2060,AIR,281.138267
LED,R12_AFR,2060,BUS,2236.458918
LED,R12_AFR,2060,LDV,2806.933818
LED,R12_AFR,2060,RAIL,906.1474053
LED,R12_AFR,2070,2W,378.6988773
LED,R12_AFR,2070,AIR,379.0649336
LED,R12_AFR,2070,BUS,2184.767497
LED,R12_AFR,2070,LDV,3853.939916
LED,R12_AFR,2070,RAIL,1332.150965
LED,R12_AFR,2080,2W,314.091288
LED,R12_AFR,2080,AIR,519.0662183
LED,R12_AFR,2080,BUS,2004.512811
LED,R12_AFR,2080,LDV,5073.593505
LED,R12_AFR,2080,RAIL,1830.118481
LED,R12_AFR,2090,2W,234.107923
LED,R12_AFR,2090,AIR,713.7585493
LED,R12_AFR,2090,BUS,1740.249805
LED,R12_AFR,2090,LDV,6359.950366
LED,R12_AFR,2090,RAIL,2364.518971
LED,R12_AFR,2100,2W,155.8269993
LED,R12_AFR,2100,AIR,964.2162815
LED,R12_AFR,2100,BUS,1452.801742
LED,R12_AFR,2100,LDV,7602.680264
LED,R12_AFR,2100,RAIL,2908.373366
LED,R12_AFR,2110,2W,87.92869231
LED,R12_AFR,2110,AIR,1143.018514
LED,R12_AFR,2110,BUS,1174.260761
LED,R12_AFR,2110,LDV,8508.541795
LED,R12_AFR,2110,RAIL,3384.883888
LED,R12_CHN,2020,2W,158
LED,R12_CHN,2020,AIR,711
LED,R12_CHN,2020,BUS,1501
LED,R12_CHN,2020,LDV,3950
LED,R12_CHN,2020,RAIL,1580
LED,R12_CHN,2025,2W,163.7677239
LED,R12_CHN,2025,AIR,995.1241286
LED,R12_CHN,2025,BUS,1479.292912
LED,R12_CHN,2025,LDV,4769.344481
LED,R12_CHN,2025,RAIL,1787.692123
LED,R12_CHN,2030,2W,163.4392749
LED,R12_CHN,2030,AIR,1302.494982
LED,R12_CHN,2030,BUS,1446.357219
LED,R12_CHN,2030,LDV,5461.828731
LED,R12_CHN,2030,RAIL,1955.411805
LED,R12_CHN,2035,2W,159.9182805
LED,R12_CHN,2035,AIR,1614.111393
LED,R12_CHN,2035,BUS,1415.074826
LED,R12_CHN,2035,LDV,6043.177768
LED,R12_CHN,2035,RAIL,2099.171387
LED,R12_CHN,2040,2W,154.8048132
LED,R12_CHN,2040,AIR,1874.294817
LED,R12_CHN,2040,BUS,1391.430665
LED,R12_CHN,2040,LDV,6497.609252
LED,R12_CHN,2040,RAIL,2223.575341
LED,R12_CHN,2045,2W,149.326449
LED,R12_CHN,2045,AIR,2142.875866
LED,R12_CHN,2045,BUS,1371.181368
LED,R12_CHN,2045,LDV,6928.955065
LED,R12_CHN,2045,RAIL,2348.344419
LED,R12_CHN,2050,2W,143.8521311
LED,R12_CHN,2050,AIR,2418.333366
LED,R12_CHN,2050,BUS,1354.929151
LED,R12_CHN,2050,LDV,7348.126601
LED,R12_CHN,2050,RAIL,2476.893569
LED,R12_CHN,2055,2W,138.6036729
LED,R12_CHN,2055,AIR,2683.115089
LED,R12_CHN,2055,BUS,1343.409581
LED,R12_CHN,2055,LDV,7753.760721
LED,R12_CHN,2055,RAIL,2610.281261
LED,R12_CHN,2060,2W,133.7933318
LED,R12_CHN,2060,AIR,2958.420726
LED,R12_CHN,2060,BUS,1336.529077
LED,R12_CHN,2060,LDV,8175.443458
LED,R12_CHN,2060,RAIL,2755.080126
LED,R12_CHN,2070,2W,125.5897516
LED,R12_CHN,2070,AIR,3425.076405
LED,R12_CHN,2070,BUS,1337.463899
LED,R12_CHN,2070,LDV,9029.08015
LED,R12_CHN,2070,RAIL,3075.132467
LED,R12_CHN,2080,2W,118.5998575
LED,R12_CHN,2080,AIR,3637.552315
LED,R12_CHN,2080,BUS,1347.780996
LED,R12_CHN,2080,LDV,9834.650714
LED,R12_CHN,2080,RAIL,3417.133572
