node,technology,year,value
R12_AFR,2W,2020,360
R12_AFR,AIR,2020,120
R12_AFR,BUS,2020,1740
R12_AFR,LDV,2020,720
R12_AFR,RAIL,2020,60
R12_AFR,2W,2025,355.65421
R12_AFR,AIR,2025,122.95406
R12_AFR,BUS,2025,1745.8389
R12_AFR,LDV,2025,813.07574
R12_AFR,RAIL,2025,107.74612
R12_AFR,2W,2030,359.08841
R12_AFR,AIR,2030,131.1429
R12_AFR,BUS,2030,1791.2177
R12_AFR,LDV,2030,934.61896
R12_AFR,RAIL,2030,164.30664
R12_AFR,2W,2035,374.01553
R12_AFR,AIR,2035,147.32683
R12_AFR,BUS,2035,1891.014
R12_AFR,LDV,2035,1105.8403
R12_AFR,RAIL,2035,237.8777
R12_AFR,2W,2040,390.17221
R12_AFR,AIR,2040,167.78043
R12_AFR,BUS,2040,2007.5153
R12_AFR,LDV,2040,1277.35
R12_AFR,RAIL,2040,329.34897
R12_AFR,2W,2045,395.87546
R12_AFR,AIR,2045,188.94296
R12_AFR,BUS,2045,2081.1792
R12_AFR,LDV,2045,1429.6698
R12_AFR,RAIL,2045,432.05746
R12_AFR,2W,2050,396.31076
R12_AFR,AIR,2050,214.05998
R12_AFR,BUS,2050,2138.6084
R12_AFR,LDV,2050,1622.2423
R12_AFR,RAIL,2050,551.21545
R12_AFR,2W,2055,397.84161
R12_AFR,AIR,2055,244.42693
R12_AFR,BUS,2055,2185.5403
R12_AFR,LDV,2055,1929.7906
R12_AFR,RAIL,2055,697.9848
R12_AFR,2W,2060,392.92603
R12_AFR,AIR,2060,281.13828
R12_AFR,BUS,2060,2207.1956
R12_AFR,LDV,2060,2285.4604
R12_AFR,RAIL,2060,868.14954
R12_AFR,2W,2070,360.09302
R12_AFR,AIR,2070,379.06494
R12_AFR,BUS,2070,2156.1804
R12_AFR,LDV,2070,3137.9534
R12_AFR,RAIL,2070,1276.2893
R12_AFR,2W,2080,298.65964
R12_AFR,AIR,2080,519.06622
R12_AFR,BUS,2080,1978.2842
R12_AFR,LDV,2080,4131.019
R12_AFR,RAIL,2080,1753.3754
R12_AFR,2W,2090,222.60596
R12_AFR,AIR,2090,713.75854
R12_AFR,BUS,2090,1717.479
R12_AFR,LDV,2090,5178.396
R12_AFR,RAIL,2090,2265.3667
R12_AFR,2W,2100,148.17105
R12_AFR,AIR,2100,964.21631
R12_AFR,BUS,2100,1433.7922
R12_AFR,LDV,2100,6190.251
R12_AFR,RAIL,2100,2786.4153
R12_AFR,2W,2110,83.608665
R12_AFR,AIR,2110,1143.0186
R12_AFR,BUS,2110,1158.8958
R12_AFR,LDV,2110,6927.8218
R12_AFR,RAIL,2110,3242.9441
R12_CHN,2W,2020,158
R12_CHN,AIR,2020,711
R12_CHN,BUS,2020,1501
R12_CHN,LDV,2020,3950
R12_CHN,RAIL,2020,1580
R12_CHN,2W,2025,163.76773
R12_CHN,AIR,2025,995.12415
R12_CHN,BUS,2025,1479.293
R12_CHN,LDV,2025,4769.3442
R12_CHN,RAIL,2025,1787.6921
R12_CHN,2W,2030,162.04115
R12_CHN,AIR,2030,1302.495
R12_CHN,BUS,2030,1441.9773
R12_CHN,LDV,2030,5390.9849
R12_CHN,RAIL,2030,1940.1251
R12_CHN,2W,2035,156.95363
R12_CHN,AIR,2035,1614.1115
R12_CHN,BUS,2035,1405.7229
R12_CHN,LDV,2035,5827.7124
R12_CHN,RAIL,2035,2063.3127
R12_CHN,2W,2040,150.11188
R12_CHN,AIR,2040,1874.2948
R12_CHN,BUS,2040,1376.9979
R12_CHN,LDV,2040,5942.4902
R12_CHN,RAIL,2040,2161.1384
R12_CHN,2W,2045,142.79764
R12_CHN,AIR,2045,2142.876
R12_CHN,BUS,2045,1352.2679
R12_CHN,LDV,2045,5965.2837
R12_CHN,RAIL,2045,2253.2161
R12_CHN,2W,2050,135.42221
R12_CHN,AIR,2050,2418.3333
R12_CHN,BUS,2050,1331.885
R12_CHN,LDV,2050,6105.3286
R12_CHN,RAIL,2050,2343.8176
R12_CHN,2W,2055,130.48132
R12_CHN,AIR,2055,2683.115
R12_CHN,BUS,2055,1320.5613
R12_CHN,LDV,2055,6442.3574
R12_CHN,RAIL,2055,2470.0388
R12_CHN,2W,2060,125.95289
R12_CHN,AIR,2060,2958.4207
R12_CHN,BUS,2060,1313.7979
R12_CHN,LDV,2060,6792.7202
R12_CHN,RAIL,2060,2607.0581
R12_CHN,2W,2070,118.23004
R12_CHN,AIR,2070,3425.0764
R12_CHN,BUS,2070,1314.7168
R12_CHN,LDV,2070,7501.98
R12_CHN,RAIL,2070,2909.9153
R12_CHN,2W,2080,111.64977
R12_CHN,AIR,2080,3637.5522
R12_CHN,BUS,2080,1324.8584
R12_CHN,LDV,2080,8171.3032
R12_CHN,RAIL,2080,3233.5415
R12_CHN,2W,2090,105.94526
R12_CHN,AIR,2090,3677.4199
R12_CHN,BUS,2090,1336.9082
R12_CHN,LDV,2090,8855.5176
R12_CHN,RAIL,2090,3586.4294
R12_CHN,2W,2100,100.73518
R12_CHN,AIR,2100,3563.1074
R12_CHN,BUS,2100,1344.8353
R12_CHN,LDV,2100,9551.1924
R12_CHN,RAIL,2100,3963.4792
R12_CHN,2W,2110,96.316139
R12_CHN,AIR,2110,3376.9958
R12_CHN,BUS,2110,1352.0463
R12_CHN,LDV,2110,10335.77
R12_CHN,RAIL,2110,4391.791
R12_EEU,2W,2020,136.08247
R12_EEU,AIR,2020,136.08247
R12_EEU,BUS,2020,4762.8867
R12_EEU,LDV,2020,6259.7939
R12_EEU,RAIL,2020,1905.1547
R12_EEU,2W,2025,142.48674
R12_EEU,AIR,2025,282.50751
R12_EEU,BUS,2025,4617.9932
R12_EEU,LDV,2025,7376.0498
R12_EEU,RAIL,2025,2179.4121
R12_EEU,2W,2030,145.549
R12_EEU,AIR,2030,496.31964
R12_EEU,BUS,2030,4460.2544
R12_EEU,LDV,2030,8411.5137
R12_EEU,RAIL,2030,2428.7422
R12_EEU,2W,2035,145.43506
R12_EEU,AIR,2035,744.34174
R12_EEU,BUS,2035,4286.3408
R12_EEU,LDV,2035,9190.5381
R12_EEU,RAIL,2035,2635.0371
R12_EEU,2W,2040,143.21831
R12_EEU,AIR,2040,1007.6353
R12_EEU,BUS,2040,4102.3882
R12_EEU,LDV,2040,9721.5361
