# Projected passenger-distance travelled (PDT) per capita
#
# Units: km / year
#
node,     technology, year, value
R12_AFR,2W,2020,360
R12_AFR,AIR,2020,120
R12_AFR,BUS,2020,1740
R12_AFR,LDV,2020,720
R12_AFR,RAIL,2020,60
R12_AFR,2W,2025,356
R12_AFR,AIR,2025,123
R12_AFR,BUS,2025,1746
R12_AFR,LDV,2025,813
R12_AFR,RAIL,2025,108
R12_AFR,2W,2030,357
R12_AFR,AIR,2030,131
R12_AFR,BUS,2030,1794
R12_AFR,LDV,2030,908
R12_AFR,RAIL,2030,165
R12_AFR,2W,2035,375
R12_AFR,AIR,2035,147
R12_AFR,BUS,2035,1898
R12_AFR,LDV,2035,1054
R12_AFR,RAIL,2035,238
R12_AFR,2W,2040,399
R12_AFR,AIR,2040,168
R12_AFR,BUS,2040,2040
R12_AFR,LDV,2040,1187
R12_AFR,RAIL,2040,333
R12_AFR,2W,2045,410
R12_AFR,AIR,2045,189
R12_AFR,BUS,2045,2143
R12_AFR,LDV,2045,1320
R12_AFR,RAIL,2045,436
R12_AFR,2W,2050,417
R12_AFR,AIR,2050,214
R12_AFR,BUS,2050,2210
R12_AFR,LDV,2050,1454
R12_AFR,RAIL,2050,564
R12_AFR,2W,2055,418
R12_AFR,AIR,2055,244
R12_AFR,BUS,2055,2259
R12_AFR,LDV,2055,1730
R12_AFR,RAIL,2055,714
R12_AFR,2W,2060,413
R12_AFR,AIR,2060,281
R12_AFR,BUS,2060,2281
R12_AFR,LDV,2060,2049
R12_AFR,RAIL,2060,888
R12_AFR,2W,2070,379
R12_AFR,AIR,2070,379
R12_AFR,BUS,2070,2228
R12_AFR,LDV,2070,2813
R12_AFR,RAIL,2070,1306
R12_AFR,2W,2080,314
R12_AFR,AIR,2080,519
R12_AFR,BUS,2080,2045
R12_AFR,LDV,2080,3704
R12_AFR,RAIL,2080,1794
R12_AFR,2W,2090,234
R12_AFR,AIR,2090,714
R12_AFR,BUS,2090,1775
R12_AFR,LDV,2090,4643
R12_AFR,RAIL,2090,2317
R12_AFR,2W,2100,156
R12_AFR,AIR,2100,964
R12_AFR,BUS,2100,1482
R12_AFR,LDV,2100,5550
R12_AFR,RAIL,2100,2850
R12_AFR,2W,2110,88
R12_AFR,AIR,2110,1143
R12_AFR,BUS,2110,1198
R12_AFR,LDV,2110,6211
R12_AFR,RAIL,2110,3317
R12_CHN,2W,2020,158
R12_CHN,AIR,2020,711
R12_CHN,BUS,2020,1501
R12_CHN,LDV,2020,3950
R12_CHN,RAIL,2020,1580
R12_CHN,2W,2025,164
R12_CHN,AIR,2025,995
R12_CHN,BUS,2025,1479
R12_CHN,LDV,2025,4769
R12_CHN,RAIL,2025,1788
R12_CHN,2W,2030,162
R12_CHN,AIR,2030,1302
R12_CHN,BUS,2030,1446
R12_CHN,LDV,2030,5189
R12_CHN,RAIL,2030,1936
R12_CHN,2W,2035,157
R12_CHN,AIR,2035,1614
R12_CHN,BUS,2035,1401
R12_CHN,LDV,2035,5318
R12_CHN,RAIL,2035,2057
R12_CHN,2W,2040,153
R12_CHN,AIR,2040,1874
R12_CHN,BUS,2040,1391
R12_CHN,LDV,2040,5068
R12_CHN,RAIL,2040,2179
R12_CHN,2W,2045,148
R12_CHN,AIR,2045,2143
R12_CHN,BUS,2045,1385
R12_CHN,LDV,2045,4712
R12_CHN,RAIL,2045,2278
R12_CHN,2W,2050,140
R12_CHN,AIR,2050,2418
R12_CHN,BUS,2050,1368
R12_CHN,LDV,2050,4482
R12_CHN,RAIL,2050,2378
R12_CHN,2W,2055,134
R12_CHN,AIR,2055,2683
R12_CHN,BUS,2055,1357
R12_CHN,LDV,2055,4730
R12_CHN,RAIL,2055,2506
R12_CHN,2W,2060,130
R12_CHN,AIR,2060,2958
R12_CHN,BUS,2060,1350
R12_CHN,LDV,2060,4987
R12_CHN,RAIL,2060,2645
R12_CHN,2W,2070,122
R12_CHN,AIR,2070,3425
R12_CHN,BUS,2070,1351
R12_CHN,LDV,2070,5508
R12_CHN,RAIL,2070,2952
R12_CHN,2W,2080,115
R12_CHN,AIR,2080,3638
R12_CHN,BUS,2080,1361
R12_CHN,LDV,2080,5999
R12_CHN,RAIL,2080,3280
R12_CHN,2W,2090,109
R12_CHN,AIR,2090,3677
R12_CHN,BUS,2090,1374
R12_CHN,LDV,2090,6501
R12_CHN,RAIL,2090,3638
R12_CHN,2W,2100,104
R12_CHN,AIR,2100,3563
R12_CHN,BUS,2100,1382
R12_CHN,LDV,2100,7012
R12_CHN,RAIL,2100,4021
R12_CHN,2W,2110,99
R12_CHN,AIR,2110,3377
R12_CHN,BUS,2110,1389
R12_CHN,LDV,2110,7588
R12_CHN,RAIL,2110,4455
R12_EEU,2W,2020,136
R12_EEU,AIR,2020,136
R12_EEU,BUS,2020,4763
R12_EEU,LDV,2020,6260
R12_EEU,RAIL,2020,1905
R12_EEU,2W,2025,142
R12_EEU,AIR,2025,283
R12_EEU,BUS,2025,4618
R12_EEU,LDV,2025,7376
R12_EEU,RAIL,2025,2179
R12_EEU,2W,2030,145
R12_EEU,AIR,2030,496
R12_EEU,BUS,2030,4470
R12_EEU,LDV,2030,8193
R12_EEU,RAIL,2030,2427
R12_EEU,2W,2035,145
R12_EEU,AIR,2035,744
R12_EEU,BUS,2035,4306
R12_EEU,LDV,2035,8639
R12_EEU,RAIL,2035,2638
R12_EEU,2W,2040,147
R12_EEU,AIR,2040,1008
R12_EEU,BUS,2040,4174
R12_EEU,LDV,2040,8869
R12_EEU,RAIL,2040,2824
R12_EEU,2W,2045,144
R12_EEU,AIR,2045,1261
R12_EEU,BUS,2045,4028
R12_EEU,LDV,2045,8809
R12_EEU,RAIL,2045,2951
R12_EEU,2W,2050,139
R12_EEU,AIR,2050,1505
R12_EEU,BUS,2050,3798
R12_EEU,LDV,2050,8738
R12_EEU,RAIL,2050,3093
R12_EEU,2W,2055,137
R12_EEU,AIR,2055,1745
R12_EEU,BUS,2055,3609
R12_EEU,LDV,2055,9051
R12_EEU,RAIL,2055,3261
R12_EEU,2W,2060,135
R12_EEU,AIR,2060,1984
R12_EEU,BUS,2060,3423
R12_EEU,LDV,2060,9347
R12_EEU,RAIL,2060,3430
R12_EEU,2W,2070,130
R12_EEU,AIR,2070,2461
R12_EEU,BUS,2070,3059
R12_EEU,LDV,2070,9906
