node,technology,year,value
R12_AFR,2W,2020,360
R12_AFR,AIR,2020,120
R12_AFR,BUS,2020,1740
R12_AFR,LDV,2020,720
R12_AFR,RAIL,2020,60
R12_AFR,2W,2025,355.65421
R12_AFR,AIR,2025,122.95406
R12_AFR,BUS,2025,1745.8389
R12_AFR,LDV,2025,813.07574
R12_AFR,RAIL,2025,107.74612
R12_AFR,2W,2030,362.47424
R12_AFR,AIR,2030,131.1429
R12_AFR,BUS,2030,1799.0891
R12_AFR,LDV,2030,963.11963
R12_AFR,RAIL,2030,165.32208
R12_AFR,2W,2035,381.9581
R12_AFR,AIR,2035,147.32683
R12_AFR,BUS,2035,1908.949
R12_AFR,LDV,2035,1191.7943
R12_AFR,RAIL,2035,241.24326
R12_AFR,2W,2040,404.29199
R12_AFR,AIR,2040,167.78043
R12_AFR,BUS,2040,2039.2915
R12_AFR,LDV,2040,1487.0306
R12_AFR,RAIL,2040,337.37753
R12_AFR,2W,2045,417.7066
R12_AFR,AIR,2045,188.94296
R12_AFR,BUS,2045,2130.2483
R12_AFR,LDV,2045,1826.0444
R12_AFR,RAIL,2045,448.11011
R12_AFR,2W,2050,427.2489
R12_AFR,AIR,2050,214.05998
R12_AFR,BUS,2050,2208.3096
R12_AFR,LDV,2050,2237.959
R12_AFR,RAIL,2050,580.04999
R12_AFR,2W,2055,428.89929
R12_AFR,AIR,2055,244.42693
R12_AFR,BUS,2055,2256.771
R12_AFR,LDV,2055,2662.2363
R12_AFR,RAIL,2055,734.49695
R12_AFR,2W,2060,423.59995
R12_AFR,AIR,2060,281.13828
R12_AFR,BUS,2060,2279.1321
R12_AFR,LDV,2060,3152.8994
R12_AFR,RAIL,2060,913.56317
R12_AFR,2W,2070,388.20383
R12_AFR,AIR,2070,379.06494
R12_AFR,BUS,2070,2226.4543
R12_AFR,LDV,2070,4328.9531
R12_AFR,RAIL,2070,1343.0531
R12_AFR,2W,2080,321.97464
R12_AFR,AIR,2080,519.06622
R12_AFR,BUS,2080,2042.7603
R12_AFR,LDV,2080,5698.9336
R12_AFR,RAIL,2080,1845.0959
R12_AFR,2W,2090,239.98378
R12_AFR,AIR,2090,713.75854
R12_AFR,BUS,2090,1773.4548
R12_AFR,LDV,2090,7143.8394
R12_AFR,RAIL,2090,2383.8699
R12_AFR,2W,2100,159.73808
R12_AFR,AIR,2100,964.21631
R12_AFR,BUS,2100,1480.5221
R12_AFR,LDV,2100,8539.7402
R12_AFR,RAIL,2100,2932.175
R12_AFR,2W,2110,90.135612
R12_AFR,AIR,2110,1143.0186
R12_AFR,BUS,2110,1196.6664
R12_AFR,LDV,2110,9557.2529
R12_AFR,RAIL,2110,3412.5852
R12_CHN,2W,2020,158
R12_CHN,AIR,2020,711
R12_CHN,BUS,2020,1501
R12_CHN,LDV,2020,3950
R12_CHN,RAIL,2020,1580
R12_CHN,2W,2025,163.76773
R12_CHN,AIR,2025,995.12415
R12_CHN,BUS,2025,1479.293
R12_CHN,LDV,2025,4769.3442
R12_CHN,RAIL,2025,1787.6921
R12_CHN,2W,2030,164.32448
R12_CHN,AIR,2030,1302.495
R12_CHN,BUS,2030,1450.2495
R12_CHN,LDV,2030,5613.2017
R12_CHN,RAIL,2030,1961.7189
R12_CHN,2W,2035,161.73456
R12_CHN,AIR,2035,1614.1115
R12_CHN,BUS,2035,1422.7094
R12_CHN,LDV,2035,6427.5278
R12_CHN,RAIL,2035,2112.9309
R12_CHN,2W,2040,157.57402
R12_CHN,AIR,2040,1874.2948
R12_CHN,BUS,2040,1404.0852
R12_CHN,LDV,2040,7167.9146
R12_CHN,RAIL,2040,2245.9897
R12_CHN,2W,2045,153.09225
R12_CHN,AIR,2045,2142.876
R12_CHN,BUS,2045,1390.0242
R12_CHN,LDV,2045,7960.687
R12_CHN,RAIL,2045,2381.2759
R12_CHN,2W,2050,148.56075
R12_CHN,AIR,2050,2418.3333
R12_CHN,BUS,2050,1380.5604
R12_CHN,LDV,2050,8784.0664
R12_CHN,RAIL,2050,2522.095
R12_CHN,2W,2055,143.14049
R12_CHN,AIR,2055,2683.115
R12_CHN,BUS,2055,1368.8228
R12_CHN,LDV,2055,9268.9688
R12_CHN,RAIL,2055,2657.9167
R12_CHN,2W,2060,138.17271
R12_CHN,AIR,2060,2958.4207
R12_CHN,BUS,2060,1361.8121
R12_CHN,LDV,2060,9773.0547
R12_CHN,RAIL,2060,2805.3579
R12_CHN,2W,2070,129.70061
R12_CHN,AIR,2070,3425.0764
R12_CHN,BUS,2070,1362.7646
R12_CHN,LDV,2070,10793.506
R12_CHN,RAIL,2070,3131.2512
R12_CHN,2W,2080,122.48192
R12_CHN,AIR,2080,3637.5522
R12_CHN,BUS,2080,1373.277
R12_CHN,LDV,2080,11756.497
R12_CHN,RAIL,2080,3479.4934
R12_CHN,2W,2090,116.22396
R12_CHN,AIR,2090,3677.4199
R12_CHN,BUS,2090,1385.7671
R12_CHN,LDV,2090,12740.913
R12_CHN,RAIL,2090,3859.2229
R12_CHN,2W,2100,110.50841
R12_CHN,AIR,2100,3563.1074
R12_CHN,BUS,2100,1393.9839
R12_CHN,LDV,2100,13741.817
R12_CHN,RAIL,2100,4264.9521
R12_CHN,2W,2110,105.66064
R12_CHN,AIR,2110,3376.9958
R12_CHN,BUS,2110,1401.4584
R12_CHN,LDV,2110,14870.631
R12_CHN,RAIL,2110,4725.8423
R12_EEU,2W,2020,136.08247
R12_EEU,AIR,2020,136.08247
R12_EEU,BUS,2020,4762.8867
R12_EEU,LDV,2020,6259.7939
R12_EEU,RAIL,2020,1905.1547
R12_EEU,2W,2025,142.48674
R12_EEU,AIR,2025,282.50751
R12_EEU,BUS,2025,4617.9932
R12_EEU,LDV,2025,7376.0498
R12_EEU,RAIL,2025,2179.4121
R12_EEU,2W,2030,147.66777
R12_EEU,AIR,2030,496.31964
R12_EEU,BUS,2030,4485.7075
R12_EEU,LDV,2030,8650.0918
R12_EEU,RAIL,2030,2458.6111
R12_EEU,2W,2035,150.18591
R12_EEU,AIR,2035,744.34174
R12_EEU,BUS,2035,4339.3789
R12_EEU,LDV,2035,9795.4834
R12_EEU,RAIL,2035,2707.4893
R12_EEU,2W,2040,151.11797
R12_EEU,AIR,2040,1007.6353
R12_EEU,BUS,2040,4186.3428
R12_EEU,LDV,2040,10850.508
