# Exported from ixmp://ixmp-dev/SSP_SSP2_v5.3.1/NPiREF#10
#
node,type_emission,type_tec,year,value,mrg
R12_AFR,TCE,all,2035,3.72,0.0
R12_AFR,TCE,all,2040,3.7200000000000006,0.0
R12_AFR,TCE,all,2045,3.72,0.0
R12_AFR,TCE,all,2050,3.72,0.0
R12_AFR,TCE,all,2055,3.72,0.0
R12_AFR,TCE,all,2060,3.72,0.0
R12_AFR,TCE,all,2070,3.72,0.0
R12_AFR,TCE,all,2080,3.72,0.0
R12_AFR,TCE,all,2090,3.72,0.0
R12_AFR,TCE,all,2100,3.72,0.0
R12_AFR,TCE,all,2110,3.72,0.0
R12_EEU,TCE,all,2035,248.45900000000003,0.0
R12_EEU,TCE,all,2040,248.45900000000003,0.0
R12_EEU,TCE,all,2045,248.45899999999997,0.0
R12_EEU,TCE,all,2050,248.45900000000003,0.0
R12_EEU,TCE,all,2055,248.45900000000003,0.0
R12_EEU,TCE,all,2060,248.459,0.0
R12_EEU,TCE,all,2070,248.459,0.0
R12_EEU,TCE,all,2080,248.459,0.0
R12_EEU,TCE,all,2090,248.459,0.0
R12_EEU,TCE,all,2100,248.45899999999997,0.0
R12_EEU,TCE,all,2110,248.45899999999997,0.0
R12_LAM,TCE,all,2035,22.723,0.0
R12_LAM,TCE,all,2040,22.723,0.0
R12_LAM,TCE,all,2045,22.723,0.0
R12_LAM,TCE,all,2050,22.723,0.0
R12_LAM,TCE,all,2055,22.723,0.0
R12_LAM,TCE,all,2060,22.723,0.0
R12_LAM,TCE,all,2070,22.723,0.0
R12_LAM,TCE,all,2080,22.723000000000003,0.0
R12_LAM,TCE,all,2090,22.723000000000003,0.0
R12_LAM,TCE,all,2100,22.723,0.0
R12_LAM,TCE,all,2110,22.723,0.0
R12_MEA,TCE,all,2035,5.675,0.0
R12_MEA,TCE,all,2040,5.675,0.0
R12_MEA,TCE,all,2045,5.675000000000001,0.0
R12_MEA,TCE,all,2050,5.675,0.0
R12_MEA,TCE,all,2055,5.675,0.0
R12_MEA,TCE,all,2060,5.675,0.0
R12_MEA,TCE,all,2070,5.675,0.0
R12_MEA,TCE,all,2080,5.675,0.0
R12_MEA,TCE,all,2090,5.675,0.0
R12_MEA,TCE,all,2100,5.675,0.0
R12_MEA,TCE,all,2110,5.675,0.0
R12_NAM,TCE,all,2035,114.017,0.0
R12_NAM,TCE,all,2040,114.017,0.0
R12_NAM,TCE,all,2045,114.017,0.0
R12_NAM,TCE,all,2050,114.017,0.0
R12_NAM,TCE,all,2055,114.017,0.0
R12_NAM,TCE,all,2060,114.01700000000001,0.0
R12_NAM,TCE,all,2070,114.017,0.0
R12_NAM,TCE,all,2080,114.017,0.0
R12_NAM,TCE,all,2090,114.017,0.0
R12_NAM,TCE,all,2100,114.017,0.0
R12_NAM,TCE,all,2110,114.017,0.0
R12_SAS,TCE,all,2035,18.999,0.0
R12_SAS,TCE,all,2040,18.999,0.0
R12_SAS,TCE,all,2045,18.999,0.0
R12_SAS,TCE,all,2050,18.999,0.0
R12_SAS,TCE,all,2055,18.999,0.0
R12_SAS,TCE,all,2060,18.999,0.0
R12_SAS,TCE,all,2070,18.999,0.0
R12_SAS,TCE,all,2080,18.999,0.0
R12_SAS,TCE,all,2090,18.999,0.0
R12_SAS,TCE,all,2100,18.999,0.0
R12_SAS,TCE,all,2110,18.999,0.0
R12_WEU,TCE,all,2035,216.40700000000004,0.0
R12_WEU,TCE,all,2040,216.407,0.0
R12_WEU,TCE,all,2045,216.40699999999998,0.0
R12_WEU,TCE,all,2050,216.407,0.0
R12_WEU,TCE,all,2055,216.407,0.0
R12_WEU,TCE,all,2060,216.407,0.0
R12_WEU,TCE,all,2070,216.407,0.0
R12_WEU,TCE,all,2080,216.40700000000004,0.0
R12_WEU,TCE,all,2090,216.407,0.0
R12_WEU,TCE,all,2100,216.407,0.0
R12_WEU,TCE,all,2110,216.40700000000004,0.0
R12_FSU,TCE,all,2035,0.321,0.0
R12_FSU,TCE,all,2040,0.321,0.0
