# Exported from ixmp://ixmp-dev/SSP_SSP2_v5.3.1/baselineS_25#1
#
node,type_emission,type_tec,year,value,mrg
World,TCE,all,2030,91.66666666666667,0.0
World,TCE,all,2035,116.99247656250002,0.0
World,TCE,all,2040,149.3153407879322,0.0
World,TCE,all,2045,190.56841644604214,0.0
World,TCE,all,2050,243.21895630490545,0.0
World,TCE,all,2055,310.415869582444,0.0
World,TCE,all,2060,396.1780510554779,0.0
World,TCE,all,2070,645.3322986114271,0.0
World,TCE,all,2080,1051.1783136940892,0.0
World,TCE,all,2090,1712.2587069612744,0.0
World,TCE,all,2100,2789.0890074221106,0.0
World,TCE,all,2110,4543.132097793905,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2090,2067.902598211559,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2100,2993.4239524516615,0.0
