# Exported using:
#   mix-models --url="ixmp://ixmp-dev/SSP_SSP4_v6.5/SSP4 - Low Overshoot" transport export-price
# at 2026-04-07T19:36:33.741874
#
node,type_emission,type_tec,year,lvl,mrg
World,TCE,all,2040,146.23157631247022,0.0
World,TCE,all,2045,186.6326647029175,0.0
World,TCE,all,2050,238.1958289205782,0.0
World,TCE,all,2055,304.0049447157383,0.0
World,TCE,all,2060,387.99590584952864,0.0
World,TCE,all,2070,555.2954930196108,0.0
World,TCE,all,2080,904.5178448533748,0.0
World,TCE,all,2090,1473.3642573059742,0.0
World,TCE,all,2100,2399.9551220116377,0.0
World,TCE,all,2110,3909.2740027517575,0.0
