# Exchange rate from MER to PPP
#
node,    year,  value
R11_AFR, 2005, 2.483
R11_AFR, 2010, 2.573
R11_AFR, 2020, 2.627
R11_AFR, 2030, 2.585
R11_AFR, 2040, 2.316
R11_AFR, 2050, 1.958
R11_AFR, 2060, 1.644
R11_AFR, 2070, 1.429
R11_AFR, 2080, 1.301
R11_AFR, 2090, 1.223
R11_AFR, 2100, 1.164
R11_CPA, 2005, 3.54
R11_CPA, 2010, 3.346
R11_CPA, 2020, 2.84
R11_CPA, 2030, 2.274
R11_CPA, 2040, 1.844
R11_CPA, 2050, 1.549
R11_CPA, 2060, 1.364
R11_CPA, 2070, 1.246
R11_CPA, 2080, 1.17
R11_CPA, 2090, 1.116
R11_CPA, 2100, 1.074
R11_EEU, 2005, 1.655
R11_EEU, 2010, 1.623
R11_EEU, 2020, 1.524
R11_EEU, 2030, 1.384
R11_EEU, 2040, 1.244
R11_EEU, 2050, 1.136
R11_EEU, 2060, 1.053
R11_EEU, 2070, 0.989
R11_EEU, 2080, 0.948
R11_EEU, 2090, 0.917
R11_EEU, 2100, 0.892
R11_FSU, 2005, 2.679
R11_FSU, 2010, 2.547
R11_FSU, 2020, 2.303
R11_FSU, 2030, 1.931
R11_FSU, 2040, 1.57
R11_FSU, 2050, 1.327
R11_FSU, 2060, 1.171
R11_FSU, 2070, 1.076
R11_FSU, 2080, 1.029
R11_FSU, 2090, 1.003
R11_FSU, 2100, 0.989
R11_LAM, 2005, 1.927
R11_LAM, 2010, 1.909
R11_LAM, 2020, 1.818
R11_LAM, 2030, 1.647
R11_LAM, 2040, 1.463
R11_LAM, 2050, 1.324
R11_LAM, 2060, 1.229
R11_LAM, 2070, 1.166
R11_LAM, 2080, 1.125
R11_LAM, 2090, 1.095
R11_LAM, 2100, 1.072
R11_MEA, 2005, 2.123
R11_MEA, 2010, 2.073
R11_MEA, 2020, 2.004
R11_MEA, 2030, 1.896
R11_MEA, 2040, 1.691
R11_MEA, 2050, 1.485
R11_MEA, 2060, 1.337
R11_MEA, 2070, 1.245
R11_MEA, 2080, 1.188
R11_MEA, 2090, 1.149
R11_MEA, 2100, 1.113
R11_NAM, 2005, 1
R11_NAM, 2010, 1.004
R11_NAM, 2020, 1.013
R11_NAM, 2030, 1.022
R11_NAM, 2040, 1.017
R11_NAM, 2050, 1.005
R11_NAM, 2060, 0.992
R11_NAM, 2070, 0.971
R11_NAM, 2080, 0.95
R11_NAM, 2090, 0.927
R11_NAM, 2100, 0.901
R11_PAO, 2005, 0.849
R11_PAO, 2010, 0.878
R11_PAO, 2020, 0.932
R11_PAO, 2030, 0.972
R11_PAO, 2040, 0.988
R11_PAO, 2050, 0.986
R11_PAO, 2060, 0.975
R11_PAO, 2070, 0.955
R11_PAO, 2080, 0.932
R11_PAO, 2090, 0.909
R11_PAO, 2100, 0.886
R11_SAS, 2005, 4.627
R11_SAS, 2010, 4.363
R11_SAS, 2020, 3.759
R11_SAS, 2030, 3.069
R11_SAS, 2040, 2.397
R11_SAS, 2050, 1.891
R11_SAS, 2060, 1.577
R11_SAS, 2070, 1.394
R11_SAS, 2080, 1.285
R11_SAS, 2090, 1.217
R11_SAS, 2100, 1.172
R11_PAS, 2005, 2.158
R11_PAS, 2010, 2.092
R11_PAS, 2020, 2.067
R11_PAS, 2030, 1.905
R11_PAS, 2040, 1.674
R11_PAS, 2050, 1.485
R11_PAS, 2060, 1.35
R11_PAS, 2070, 1.257
R11_PAS, 2080, 1.19
R11_PAS, 2090, 1.139
R11_PAS, 2100, 1.098
R11_WEU, 2005, 0.888
R11_WEU, 2010, 0.914
R11_WEU, 2020, 0.964
R11_WEU, 2030, 0.997
R11_WEU, 2040, 1.005
R11_WEU, 2050, 0.997
R11_WEU, 2060, 0.979
R11_WEU, 2070, 0.955
R11_WEU, 2080, 0.929
R11_WEU, 2090, 0.9
R11_WEU, 2100, 0.87
