y,    AFR,   CPA,   EEU,   FSU,   LAM,   MEA,   NAM,   PAO,   PAS,   SAS,   WEU
2005, 2.483, 3.540, 1.655, 2.679, 1.927, 2.123, 1.000, 0.849, 2.158, 4.627, 0.888
2010, 2.573, 3.346, 1.623, 2.547, 1.909, 2.073, 1.004, 0.878, 2.092, 4.363, 0.914
2020, 2.627, 2.840, 1.524, 2.303, 1.818, 2.004, 1.013, 0.932, 2.067, 3.759, 0.964
2030, 2.585, 2.274, 1.384, 1.931, 1.647, 1.896, 1.022, 0.972, 1.905, 3.069, 0.997
2040, 2.316, 1.844, 1.244, 1.570, 1.463, 1.691, 1.017, 0.988, 1.674, 2.397, 1.005
2050, 1.958, 1.549, 1.136, 1.327, 1.324, 1.485, 1.005, 0.986, 1.485, 1.891, 0.997
2060, 1.644, 1.364, 1.053, 1.171, 1.229, 1.337, 0.992, 0.975, 1.350, 1.577, 0.979
2070, 1.429, 1.246, 0.989, 1.076, 1.166, 1.245, 0.971, 0.955, 1.257, 1.394, 0.955
2080, 1.301, 1.170, 0.948, 1.029, 1.125, 1.188, 0.950, 0.932, 1.190, 1.285, 0.929
2090, 1.223, 1.116, 0.917, 1.003, 1.095, 1.149, 0.927, 0.909, 1.139, 1.217, 0.900
2100, 1.164, 1.074, 0.892, 0.989, 1.072, 1.113, 0.901, 0.886, 1.098, 1.172, 0.870
