"BCU_name","hist_cap_gw_km3_year","hist_cap_sw_km3_year"
"50|MEA",0.229,0.301
"30|MEA",2.298,2.308
"50|SAS",0.754,3.777
"30|SAS",0.119,0.597
"30|FSU",1.57,7.872
"10|FSU",0.708,9.412
"10|SAS",0.205,1.026
"67|SAS",21.562,67.908
"148|CHN",0.08,0.43
"13|AFR",0.302,1.483
"57|AFR",2.434,12.201
"38|AFR",0.96,4.813
"6|AFR",0.465,0.314
"161|AFR",0.289,2.659
"0|EEU",0.779,3.597
"14|MEA",16.697,14.807
"93|LAM",0.096,0.662
"139|LAM",0.034,0.169
"100|LAM",0.696,11.737
"137|LAM",0.256,1.91
"76|LAM",0.324,0.276
"84|LAM",0.581,3.597
"75|LAM",7.091,56.795
"111|LAM",0.271,1.817
"155|LAM",2.144,25.698
"31|FSU",1.214,9.723
"22|PAO",0.065,1.74
"21|PAO",0.054,1.254
"19|PAO",0.005,0.071
"20|PAO",0.02,0.099
"18|PAO",2.032,10.185
"91|PAO",0.059,0.693
"149|PAO",0.042,0.211
"48|WEU",8.252,41.364
"39|WEU",1.593,8.687
"39|EEU",1.171,8.348
"48|EEU",0.179,0.862
"96|AFR",0.261,5.946
"158|AFR",0.231,1.157
"95|AFR",0.985,4.939
"8|AFR",1.157,5.799
"7|AFR",0.662,6.945
"53|SAS",108.816,232.301
"65|SAS",44.919,217.764
"24|SAS",1.726,23.661
"24|PAS",0.05,0.25
"28|LAM",5.846,9.498
"106|EEU",0.445,4.985
"106|FSU",0.308,2.029
"42|FSU",1.239,14.439
"51|FSU",0.435,4.349
"32|LAM",13.054,23.308
"9|LAM",0.401,7.033
"152|LAM",0.341,1.608
"101|LAM",0.081,0.408
"99|LAM",0.326,1.749
"125|LAM",0.99,4.452
"113|LAM",0.148,0.588
"46|LAM",2.013,10.567
"29|LAM",2.713,16.128
"73|PAS",0.471,4.817
"53|CHN",0.035,0.079
"107|AFR",1.014,5.702
"80|AFR",2.021,12.315
"78|AFR",0.201,3.657
"109|NAM",0.063,0.315
"52|NAM",0.243,7.581
"81|NAM",0.009,0.27
"103|NAM",0.012,0.059
"36|NAM",1.915,3.206
"126|NAM",0.24,5.752
"90|NAM",18.381,51.243
"63|NAM",0.027,0.133
"142|NAM",2.148,38.38
"17|NAM",0.568,2.849
"153|NAM",5.552,52.285
"47|WEU",0.877,8.757
"119|WEU",2.402,15.937
"67|CHN",0.003,0.005
"54|CHN",0.757,2.211
"77|CHN",0.066,0.285
"118|CHN",0.002,0.001
"105|CHN",0.004,0.013
"159|CHN",19.497,127.096
"70|CHN",0.064,0.292
"88|CHN",0.056,0.155
"62|CHN",10.896,37.965
"61|CHN",9.767,67.751
"60|CHN",0.144,1.326
"162|CHN",15.188,44.845
"11|CHN",2.605,11.25
"35|CHN",23.114,105.297
"98|CHN",5.04,15.04
"123|CHN",0.013,0.113
"37|LAM",1.081,5.418
"83|LAM",1.582,7.928
"108|LAM",0.337,2.45
"82|AFR",0.962,4.824
"33|LAM",7.629,10.406
"85|WEU",0.405,5.386
"41|WEU",0.588,1.607
"121|AFR",0.133,4.296
"5|AFR",0.077,0.685
"145|WEU",1.06,4.161
"4|MEA",1.397,8.655
"3|MEA",3.255,7.742
"3|AFR",0.056,0.034
"87|MEA",9.588,14.204
"95|MEA",0,0.001
"78|MEA",0.008,0.307
"134|LAM",0,0
"116|LAM",0.754,13.752
"96|MEA",7.365,113.38
"5|MEA",0.091,1.336
"85|MEA",5.223,15.1
"120|MEA",2.605,3.356
"40|MEA",3.236,4.618
"4|WEU",0.106,0.53
"45|WEU",0.802,5.937
"86|WEU",0.92,3.224
"130|AFR",0.008,0.3
"127|WEU",0.876,4.391
"51|WEU",0.148,2.871
"127|FSU",0.04,0.414
"140|PAS",0.029,0.147
"49|WEU",1.741,17.186
"68|WEU",0.335,2.453
"128|WEU",0,0.001
"25|FSU",0.684,7.363
"26|FSU",0.087,0.701
"129|AFR",0.155,0.421
"0|WEU",0.482,5.621
"144|PAS",1.319,6.614
"114|PAS",1.306,38.258
"72|PAS",8.183,41.021
"143|PAS",0.375,1.878
"110|PAS",0.013,0.204
"69|PAS",0.064,0.319
"124|SAS",10.984,13.923
"66|SAS",15.105,85.597
"12|SAS",0.002,0.009
"70|PAS",1.153,5.778
"70|SAS",0.022,0.502
"31|MEA",8.484,8.316
"151|MEA",2.01,17.696
"34|MEA",13.779,14.69
"115|MEA",0.918,1.743
"64|WEU",0.23,0
"150|WEU",1.783,8.233
"71|PAO",8.996,77.5
"154|FSU",0.57,2.367
"146|FSU",0.59,11.71
"105|FSU",1.871,18.03
"77|FSU",0.047,1.904
"54|FSU",0.002,0.007
"1|AFR",0.202,3.754
"148|FSU",0,0.001
"59|PAS",4.041,20.257
"88|PAS",1.018,5.105
"88|RCPA",0.857,4.297
"59|RCPA",0.145,6.424
"156|RCPA",2.318,39.83
"98|PAS",6.346,91.279
"61|RCPA",1.103,41.302
"141|SAS",1.55,7.77
"39|FSU",0.056,0.705
"43|FSU",0.351,5.137
"27|LAM",1.212,0.534
"97|LAM",0.136,0.086
"122|LAM",3.638,1.883
"54|RCPA",0.031,0.025
"105|RCPA",0,0
"160|RCPA",0.067,0.087
"160|FSU",0.418,3.605
"11|RCPA",0.008,0.008
"11|FSU",0.183,1.687
"2|AFR",0.084,0.717
"135|AFR",0.882,11.043
"4|AFR",0.326,0.6
"92|AFR",0.156,0.1
"94|PAO",0.331,2.824
"115|SAS",0.005,0.024
"15|SAS",6.808,8.491
"117|PAS",5.557,27.325
"112|PAS",0.001,0.003
"133|PAS",0,0.001
"28|NAM",0.717,2.322
"132|FSU",0.097,0.488
"157|FSU",4.895,34.905
"44|FSU",1.158,8.57
"23|FSU",0.134,1.323
"74|FSU",0.031,0.156
"131|FSU",0.03,0.148
"79|FSU",0.018,0.172
"123|FSU",0.068,0.688
"71|FSU",0,0
"26|WEU",0.887,5.587
"151|WEU",0.26,1.506
"31|WEU",0.019,0.068
"147|PAS",18.516,22.268
"104|NAM",0.058,0.239
"27|NAM",9.042,21.299
"55|NAM",1.651,1.051
"97|NAM",2.158,3.093
"33|NAM",0.01,0
"122|NAM",0.41,0.745
"56|NAM",4.823,14.317
"58|NAM",4.868,37.835
"136|AFR",2.173,0.94
